,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:35.0,,C. Lee misses 3-pt jump shot from 25 ft,0,0
1,1,11:32.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:12.0,J. Morant misses 2-pt jump shot from 8 ft,,0,0
3,1,11:10.0,,Defensive rebound by L. Dončić,0,0
4,1,11:02.0,,L. Dončić misses 2-pt layup from 2 ft,0,0
5,1,10:57.0,,Offensive rebound by M. Kleber,0,0
6,1,10:57.0,,M. Kleber misses 2-pt layup at rim,0,0
7,1,10:57.0,Defensive rebound by J. Valančiūnas,,0,0
8,1,10:53.0,D. Brooks misses 3-pt jump shot from 26 ft,,0,0
9,1,10:50.0,,Defensive rebound by C. Lee,0,0
10,1,10:44.0,,K. Porziņģis misses 3-pt jump shot from 30 ft,0,0
11,1,10:41.0,Defensive rebound by J. Morant,,0,0
12,1,10:29.0,J. Valančiūnas makes 2-pt hook shot from 10 ft,,2,0
13,1,10:12.0,,K. Porziņģis makes 2-pt dunk from 1 ft (assist by L. Dončić),2,2
14,1,10:05.0,Personal foul by K. Porziņģis (drawn by J. Valančiūnas),,2,2
15,1,9:51.0,D. Brooks misses 2-pt jump shot from 18 ft,,2,2
16,1,9:48.0,,Defensive rebound by K. Porziņģis,2,2
17,1,9:38.0,,S. Curry makes 2-pt jump shot from 8 ft (assist by K. Porziņģis),2,4
18,1,9:27.0,Turnover by J. Morant (bad pass; steal by K. Porziņģis),,2,4
19,1,9:16.0,,L. Dončić misses 3-pt jump shot from 27 ft,2,4
20,1,9:12.0,Defensive rebound by D. Brooks,,2,4
21,1,9:01.0,D. Melton misses 2-pt jump shot from 10 ft,,2,4
22,1,8:58.0,,Defensive rebound by S. Curry,2,4
23,1,8:49.0,,S. Curry makes 2-pt jump shot from 16 ft,2,6
24,1,8:29.0,D. Brooks misses 2-pt jump shot from 10 ft,,2,6
25,1,8:28.0,Offensive rebound by D. Brooks,,2,6
26,1,8:27.0,D. Brooks makes 2-pt layup from 1 ft,,4,6
27,1,8:13.0,,L. Dončić makes 2-pt layup from 1 ft,4,8
28,1,7:57.0,J. Morant makes 2-pt jump shot from 8 ft (assist by J. Valančiūnas),,6,8
29,1,7:56.0,Violation by Team (delay of game),,6,8
30,1,7:49.0,,M. Kleber misses 3-pt jump shot from 23 ft,6,8
31,1,7:44.0,Defensive rebound by D. Brooks,,6,8
32,1,7:42.0,Turnover by K. Anderson (bad pass),,6,8
33,1,7:28.0,,S. Curry misses 3-pt jump shot from 27 ft,6,8
34,1,7:26.0,Defensive rebound by K. Anderson,,6,8
35,1,7:09.0,J. Morant misses 2-pt jump shot from 8 ft (block by M. Kleber),,6,8
36,1,7:06.0,,Defensive rebound by L. Dončić,6,8
37,1,7:02.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by C. Lee),6,11
38,1,6:44.0,Turnover by J. Valančiūnas (bad pass),,6,11
39,1,6:44.0,,Dallas full timeout,6,11
40,1,6:44.0,,W. Cauley-Stein enters the game for L. Dončić,6,11
41,1,6:44.0,,D. Wright enters the game for M. Kleber,6,11
42,1,6:24.0,,W. Cauley-Stein misses 2-pt layup at rim (block by K. Anderson),6,11
43,1,6:22.0,,Offensive rebound by W. Cauley-Stein,6,11
44,1,6:20.0,,W. Cauley-Stein makes 2-pt layup at rim,6,13
45,1,6:13.0,D. Brooks makes 3-pt jump shot from 28 ft (assist by J. Morant),,9,13
46,1,6:04.0,,Personal foul by K. Anderson (drawn by K. Porziņģis),9,13
47,1,5:56.0,,K. Porziņģis misses 2-pt jump shot from 11 ft (block by K. Anderson),9,13
48,1,5:54.0,,Offensive rebound by Team,9,13
49,1,5:54.0,T. Jones enters the game for D. Melton,,9,13
50,1,5:50.0,,D. Wright misses 3-pt jump shot from 25 ft,9,13
51,1,5:47.0,Defensive rebound by J. Valančiūnas,,9,13
52,1,5:36.0,K. Anderson misses 2-pt jump shot from 8 ft (block by C. Lee),,9,13
53,1,5:34.0,Offensive rebound by K. Anderson,,9,13
54,1,5:32.0,D. Brooks makes 3-pt jump shot from 28 ft (assist by T. Jones),,12,13
55,1,5:13.0,,S. Curry makes 2-pt jump shot from 12 ft,12,15
56,1,4:59.0,J. Morant makes 2-pt jump shot from 5 ft (assist by D. Brooks),,14,15
57,1,4:52.0,,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by D. Wright),14,17
58,1,4:45.0,Shooting foul by D. Wright (drawn by D. Brooks),,14,17
59,1,4:45.0,D. Brooks makes free throw 1 of 3,,15,17
60,1,4:45.0,D. Brooks makes free throw 2 of 3,,16,17
61,1,4:45.0,G. Dieng enters the game for K. Anderson,,16,17
62,1,4:45.0,D. Brooks makes free throw 3 of 3,,17,17
63,1,4:24.0,,S. Curry makes 2-pt jump shot from 21 ft,17,19
64,1,4:12.0,T. Jones misses 2-pt layup from 4 ft (block by K. Porziņģis),,17,19
65,1,4:07.0,,Defensive rebound by D. Wright,17,19
66,1,4:07.0,,Personal foul by D. Brooks (drawn by D. Wright),17,19
67,1,3:50.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,17,19
68,1,3:48.0,Defensive rebound by G. Dieng,,17,19
69,1,3:37.0,D. Brooks misses 3-pt jump shot from 27 ft,,17,19
70,1,3:35.0,,Defensive rebound by K. Porziņģis,17,19
71,1,3:25.0,,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by W. Cauley-Stein),17,22
72,1,3:24.0,Memphis full timeout,,17,22
73,1,3:24.0,J. Jackson enters the game for J. Morant,,17,22
74,1,3:24.0,A. Tolliver enters the game for J. Valančiūnas,,17,22
75,1,3:24.0,,L. Dončić enters the game for S. Curry,17,22
76,1,3:24.0,,J. Jackson enters the game for C. Lee,17,22
77,1,3:24.0,,M. Kleber enters the game for K. Porziņģis,17,22
78,1,3:06.0,D. Brooks makes 2-pt jump shot from 12 ft (assist by T. Jones),,19,22
79,1,2:45.0,,L. Dončić makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),19,24
80,1,2:45.0,,Shooting foul by G. Dieng (drawn by L. Dončić),19,24
81,1,2:45.0,,L. Dončić misses free throw 1 of 1,19,24
82,1,2:43.0,Defensive rebound by A. Tolliver,,19,24
83,1,2:30.0,D. Brooks misses 3-pt jump shot from 28 ft,,19,24
84,1,2:26.0,,Defensive rebound by W. Cauley-Stein,19,24
85,1,2:20.0,,L. Dončić makes 2-pt jump shot from 11 ft,19,26
86,1,2:07.0,D. Brooks misses 2-pt jump shot from 6 ft (block by J. Jackson),,19,26
87,1,2:04.0,,Defensive rebound by L. Dončić,19,26
88,1,2:04.0,,D. Wright makes 2-pt layup from 2 ft (assist by L. Dončić),19,28
89,1,2:04.0,Memphis full timeout,,19,28
90,1,2:04.0,J. Konchar enters the game for D. Brooks,,19,28
91,1,1:49.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by T. Jones),,22,28
92,1,1:33.0,,L. Dončić makes 2-pt jump shot from 5 ft,22,30
93,1,1:33.0,,Shooting foul by J. Jackson (drawn by L. Dončić),22,30
94,1,1:33.0,,L. Dončić misses free throw 1 of 1,22,30
95,1,1:30.0,,Offensive rebound by M. Kleber,22,30
96,1,1:21.0,,Turnover by M. Kleber (lost ball; steal by T. Jones),22,30
97,1,1:17.0,T. Jones misses 2-pt layup from 3 ft (block by M. Kleber),,22,30
98,1,1:15.0,Offensive rebound by J. Konchar,,22,30
99,1,1:13.0,J. Konchar makes 2-pt layup from 3 ft,,24,30
100,1,0:58.0,,W. Cauley-Stein misses 2-pt jump shot from 19 ft,24,30
101,1,0:55.0,Defensive rebound by J. Konchar,,24,30
102,1,0:47.0,J. Jackson makes 2-pt jump shot from 6 ft,,26,30
103,1,0:34.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by L. Dončić),26,33
104,1,0:11.0,J. Jackson misses 3-pt jump shot from 24 ft,,26,33
105,1,0:07.0,Offensive rebound by J. Konchar,,26,33
106,1,0:02.0,Personal foul by L. Dončić (drawn by T. Jones),,26,33
107,1,0:00.0,J. Konchar makes 2-pt jump shot from 13 ft (assist by J. Jackson),,28,33
108,1,0:00.0,Instant Replay (Request: Ruling Stands),,28,33
109,2,11:45.0,T. Jones makes 2-pt jump shot from 9 ft,,30,33
110,2,11:32.0,,L. Dončić misses 3-pt jump shot from 26 ft,30,33
111,2,11:30.0,Defensive rebound by J. Konchar,,30,33
112,2,11:21.0,G. Dieng makes 2-pt layup from 2 ft (assist by T. Jones),,32,33
113,2,10:55.0,,D. Wright misses 2-pt jump shot from 8 ft,32,33
114,2,10:53.0,Defensive rebound by G. Dieng,,32,33
115,2,10:49.0,T. Jones makes 3-pt jump shot from 26 ft,,35,33
116,2,10:47.0,,Dallas full timeout,35,33
117,2,10:38.0,,Turnover by L. Dončić (bad pass; steal by J. Jackson),35,33
