,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,Turnover by D. Green (bad pass; steal by A. Horford),,0,0
1,1,11:33.0,,M. Thybulle misses 3-pt jump shot from 23 ft,0,0
2,1,11:28.0,,Offensive rebound by M. Thybulle,0,0
3,1,11:27.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by M. Thybulle),0,3
4,1,11:09.0,A. Davis makes 2-pt jump shot from 13 ft,,2,3
5,1,11:01.0,,Personal foul by A. Bradley (drawn by S. Milton),2,3
6,1,10:50.0,,T. Harris makes 2-pt jump shot from 7 ft,2,5
7,1,10:36.0,A. Davis makes 2-pt jump shot from 14 ft,,4,5
8,1,10:36.0,Shooting foul by A. Horford (drawn by A. Davis),,4,5
9,1,10:36.0,A. Davis makes free throw 1 of 1,,5,5
10,1,10:21.0,,A. Horford misses 3-pt jump shot from 25 ft,5,5
11,1,10:18.0,Defensive rebound by A. Davis,,5,5
12,1,10:08.0,Turnover by L. James (lost ball; steal by M. Thybulle),,5,5
13,1,9:50.0,,T. Harris misses 3-pt jump shot from 27 ft,5,5
14,1,9:48.0,Defensive rebound by A. Bradley,,5,5
15,1,9:43.0,Shooting foul by S. Milton (drawn by L. James),,5,5
16,1,9:43.0,L. James misses free throw 1 of 2,,5,5
17,1,9:43.0,Offensive rebound by Team,,5,5
18,1,9:43.0,L. James makes free throw 2 of 2,,6,5
19,1,9:33.0,,Turnover by S. Milton (out of bounds lost ball),6,5
20,1,9:22.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by L. James),,8,5
21,1,9:04.0,,Turnover by T. Harris (step out of bounds),8,5
22,1,8:48.0,A. Davis misses 2-pt layup from 2 ft,,8,5
23,1,8:46.0,,Defensive rebound by A. Horford,8,5
24,1,8:39.0,,B. Simmons makes 2-pt dunk from 1 ft,8,7
25,1,8:20.0,A. Davis misses 2-pt jump shot from 19 ft,,8,7
26,1,8:18.0,Offensive rebound by D. Howard,,8,7
27,1,8:15.0,D. Howard makes 2-pt layup from 1 ft,,10,7
28,1,8:08.0,,Turnover by B. Simmons (bad pass; steal by L. James),10,7
29,1,8:07.0,L. James makes 2-pt layup from 1 ft,,12,7
30,1,8:07.0,Shooting foul by T. Harris (drawn by L. James),,12,7
31,1,8:07.0,L. James makes free throw 1 of 1,,13,7
32,1,7:56.0,,T. Harris misses 3-pt jump shot from 26 ft,13,7
33,1,7:52.0,Defensive rebound by L. James,,13,7
34,1,7:50.0,Turnover by L. James (bad pass),,13,7
35,1,7:38.0,,S. Milton makes 2-pt layup from 1 ft (assist by B. Simmons),13,9
36,1,7:31.0,L. James misses 3-pt jump shot from 27 ft,,13,9
37,1,7:27.0,,Defensive rebound by S. Milton,13,9
38,1,7:23.0,,B. Simmons makes 2-pt layup from 4 ft,13,11
39,1,7:09.0,Turnover by D. Green (bad pass; steal by M. Thybulle),,13,11
40,1,6:56.0,,B. Simmons makes 2-pt layup from 1 ft (assist by S. Milton),13,13
41,1,6:56.0,LA Lakers full timeout,,13,13
42,1,6:35.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by L. James),,16,13
43,1,6:14.0,,Shooting foul by D. Howard (drawn by T. Harris),16,13
44,1,6:14.0,,T. Harris misses free throw 1 of 2,16,13
45,1,6:14.0,,Offensive rebound by Team,16,13
46,1,6:14.0,,T. Harris makes free throw 2 of 2,16,14
47,1,5:56.0,L. James misses 3-pt jump shot from 27 ft,,16,14
48,1,5:52.0,,Defensive rebound by S. Milton,16,14
49,1,5:47.0,,M. Thybulle misses 3-pt jump shot from 24 ft,16,14
