,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:40.0,,C. Osman misses 3-pt jump shot from 22 ft,0,0
1,1,11:38.0,,Offensive rebound by L. Nance,0,0
2,1,11:38.0,,L. Nance makes 2-pt dunk at rim,0,2
3,1,11:15.0,G. Williams makes 2-pt jump shot from 10 ft,,2,2
4,1,11:01.0,,C. Sexton misses 2-pt layup from 3 ft,2,2
5,1,10:58.0,Defensive rebound by D. Theis,,2,2
6,1,10:53.0,M. Smart misses 3-pt jump shot from 23 ft,,2,2
7,1,10:51.0,,Defensive rebound by K. Love,2,2
8,1,10:36.0,,C. Sexton makes 2-pt dunk from 2 ft (assist by K. Love),2,4
9,1,10:15.0,D. Theis misses 2-pt jump shot from 9 ft,,2,4
10,1,10:13.0,,Defensive rebound by K. Love,2,4
11,1,10:11.0,,Shooting foul by M. Smart (drawn by C. Osman),2,4
12,1,10:11.0,,C. Osman makes free throw 1 of 2,2,5
13,1,10:11.0,,K. Porter enters the game for M. Dellavedova,2,5
14,1,10:11.0,,C. Osman makes free throw 2 of 2,2,6
15,1,9:53.0,D. Theis makes 2-pt layup from 2 ft (assist by J. Tatum),,4,6
16,1,9:46.0,,Turnover by C. Osman (bad pass; steal by B. Wanamaker),4,6
17,1,9:41.0,B. Wanamaker makes 2-pt layup at rim,,6,6
18,1,9:27.0,,Turnover by K. Love (bad pass; steal by D. Theis),6,6
19,1,9:22.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by B. Wanamaker),,9,6
20,1,9:00.0,,K. Porter misses 2-pt jump shot from 18 ft,9,6
21,1,8:58.0,Defensive rebound by G. Williams,,9,6
22,1,8:53.0,J. Tatum makes 3-pt jump shot from 25 ft,,12,6
23,1,8:53.0,,Cleveland full timeout,12,6
24,1,8:42.0,,C. Osman misses 3-pt jump shot from 26 ft,12,6
25,1,8:38.0,Defensive rebound by G. Williams,,12,6
26,1,8:23.0,J. Tatum makes 3-pt jump shot from 25 ft,,15,6
27,1,8:15.0,,Shooting foul by B. Wanamaker (drawn by C. Sexton),15,6
28,1,8:15.0,,C. Sexton makes free throw 1 of 2,15,7
29,1,8:15.0,,C. Sexton makes free throw 2 of 2,15,8
30,1,7:58.0,Personal foul by C. Sexton (drawn by B. Wanamaker),,15,8
31,1,7:46.0,M. Smart misses 2-pt jump shot from 5 ft,,15,8
32,1,7:44.0,,Defensive rebound by K. Porter,15,8
33,1,7:40.0,,L. Nance makes 2-pt dunk from 2 ft (assist by K. Porter),15,10
34,1,7:23.0,Turnover by J. Tatum (bad pass; steal by L. Nance),,15,10
35,1,7:18.0,,L. Nance makes 2-pt layup from 2 ft,15,12
36,1,6:59.0,M. Smart misses 3-pt jump shot from 25 ft,,15,12
37,1,6:56.0,,Defensive rebound by K. Love,15,12
38,1,6:42.0,,Shooting foul by D. Theis (drawn by K. Porter),15,12
39,1,6:42.0,,K. Porter makes free throw 1 of 2,15,13
40,1,6:42.0,E. Freedom enters the game for J. Tatum,,15,13
41,1,6:42.0,R. Langford enters the game for D. Theis,,15,13
42,1,6:42.0,,K. Porter misses free throw 2 of 2,15,13
43,1,6:40.0,Defensive rebound by R. Langford,,15,13
44,1,6:20.0,G. Williams misses 2-pt hook shot from 7 ft,,15,13
45,1,6:19.0,Offensive rebound by E. Freedom,,15,13
46,1,6:11.0,B. Wanamaker misses 2-pt layup from 4 ft,,15,13
47,1,6:08.0,,Defensive rebound by L. Nance,15,13
48,1,6:07.0,,Personal foul by B. Wanamaker (drawn by K. Porter),15,13
49,1,6:07.0,,M. Dellavedova enters the game for L. Nance,15,13
50,1,6:07.0,,A. Žižić enters the game for C. Osman,15,13
51,1,5:52.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,15,13
52,1,5:50.0,Defensive rebound by B. Wanamaker,,15,13
53,1,5:48.0,M. Smart misses 2-pt dunk at rim,,15,13
54,1,5:44.0,,Defensive rebound by C. Sexton,15,13
55,1,5:42.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,15,13
56,1,5:42.0,,Offensive rebound by K. Love,15,13
57,1,5:36.0,,K. Love misses 2-pt layup at rim,15,13
58,1,5:35.0,Defensive rebound by B. Wanamaker,,15,13
59,1,5:31.0,B. Wanamaker makes 2-pt layup at rim,,17,13
60,1,5:16.0,,Turnover by C. Sexton (bad pass; steal by E. Freedom),17,13
61,1,5:05.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,17,13
62,1,5:01.0,,Defensive rebound by K. Love,17,13
63,1,4:56.0,,Shooting foul by R. Langford (drawn by K. Love),17,13
64,1,4:56.0,,K. Love makes free throw 1 of 2,17,14
65,1,4:56.0,,K. Love makes free throw 2 of 2,17,15
66,1,4:40.0,Shooting foul by A. Žižić (drawn by E. Freedom),,17,15
67,1,4:40.0,E. Freedom makes free throw 1 of 2,,18,15
68,1,4:40.0,E. Freedom makes free throw 2 of 2,,19,15
69,1,4:30.0,,K. Love makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),19,18
70,1,4:07.0,E. Freedom misses 2-pt hook shot from 8 ft,,19,18
71,1,4:03.0,Offensive rebound by R. Langford,,19,18
72,1,4:03.0,R. Langford misses 2-pt layup from 1 ft,,19,18
73,1,4:02.0,Offensive rebound by R. Langford,,19,18
74,1,4:02.0,E. Freedom misses 2-pt layup from 7 ft,,19,18
75,1,4:00.0,,Defensive rebound by K. Porter,19,18
76,1,3:53.0,,K. Love makes 3-pt jump shot from 25 ft (assist by C. Sexton),19,21
77,1,3:36.0,M. Smart misses 2-pt jump shot from 8 ft,,19,21
78,1,3:35.0,Offensive rebound by E. Freedom,,19,21
79,1,3:35.0,Shooting foul by A. Žižić (drawn by E. Freedom),,19,21
80,1,3:35.0,E. Freedom makes free throw 1 of 2,,20,21
81,1,3:35.0,S. Ojeleye enters the game for M. Smart,,20,21
82,1,3:35.0,J. Tatum enters the game for B. Wanamaker,,20,21
83,1,3:35.0,T. Waters enters the game for G. Williams,,20,21
84,1,3:35.0,,C. Osman enters the game for C. Sexton,20,21
85,1,3:35.0,E. Freedom makes free throw 2 of 2,,21,21
86,1,3:17.0,,A. Žižić misses 2-pt layup from 3 ft,21,21
87,1,3:14.0,Defensive rebound by J. Tatum,,21,21
88,1,3:06.0,E. Freedom misses 2-pt jump shot from 4 ft (block by K. Love),,21,21
89,1,3:02.0,Offensive rebound by E. Freedom,,21,21
90,1,3:01.0,E. Freedom makes 2-pt jump shot from 6 ft,,23,21
91,1,2:49.0,,C. Osman misses 3-pt jump shot from 25 ft,23,21
92,1,2:49.0,,Offensive rebound by A. Žižić,23,21
93,1,2:49.0,,A. Žižić makes 2-pt layup from 1 ft,23,23
94,1,2:49.0,,Shooting foul by S. Ojeleye (drawn by A. Žižić),23,23
95,1,2:49.0,Boston full timeout,,23,23
96,1,2:49.0,,D. Wade enters the game for K. Love,23,23
97,1,2:49.0,,A. Žižić misses free throw 1 of 1,23,23
98,1,2:47.0,Defensive rebound by E. Freedom,,23,23
99,1,2:32.0,R. Langford misses 3-pt jump shot from 25 ft,,23,23
100,1,2:29.0,Offensive rebound by E. Freedom,,23,23
101,1,2:26.0,S. Ojeleye misses 3-pt jump shot from 25 ft,,23,23
102,1,2:23.0,,Defensive rebound by D. Wade,23,23
103,1,2:13.0,,C. Osman misses 2-pt jump shot from 4 ft,23,23
104,1,2:09.0,Defensive rebound by T. Waters,,23,23
105,1,2:04.0,J. Tatum misses 3-pt jump shot from 23 ft,,23,23
106,1,2:00.0,Offensive rebound by R. Langford,,23,23
107,1,1:57.0,S. Ojeleye makes 3-pt jump shot from 28 ft (assist by T. Waters),,26,23
108,1,1:37.0,,A. Žižić makes 2-pt jump shot from 16 ft (assist by K. Porter),26,25
109,1,1:20.0,J. Tatum misses 2-pt jump shot from 5 ft,,26,25
110,1,1:18.0,,Defensive rebound by M. Dellavedova,26,25
111,1,1:12.0,,D. Wade makes 2-pt dunk from 1 ft (assist by M. Dellavedova),26,27
112,1,0:56.0,T. Waters misses 2-pt jump shot from 10 ft,,26,27
113,1,0:53.0,,Defensive rebound by A. Žižić,26,27
114,1,0:38.0,,A. Žižić misses 2-pt jump shot from 6 ft,26,27
115,1,0:36.0,Defensive rebound by J. Tatum,,26,27
116,1,0:25.0,T. Waters misses 2-pt layup from 3 ft,,26,27
117,1,0:25.0,Offensive rebound by Team,,26,27
