,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:43.0,S. Ibaka misses 2-pt hook shot from 13 ft,,0,0
1,1,11:41.0,,Defensive rebound by S. Dinwiddie,0,0
2,1,11:25.0,,J. Harris makes 2-pt layup from 1 ft (assist by C. LeVert),0,2
3,1,11:10.0,Shooting foul by J. Allen (drawn by K. Lowry),,0,2
4,1,11:10.0,K. Lowry misses free throw 1 of 2,,0,2
5,1,11:10.0,Offensive rebound by Team,,0,2
6,1,11:10.0,K. Lowry makes free throw 2 of 2,,1,2
7,1,10:55.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,1,2
8,1,10:53.0,Defensive rebound by K. Lowry,,1,2
9,1,10:44.0,S. Ibaka makes 2-pt hook shot from 8 ft (assist by P. Siakam),,3,2
10,1,10:34.0,,J. Harris misses 3-pt jump shot from 25 ft,3,2
11,1,10:31.0,Defensive rebound by S. Ibaka,,3,2
12,1,10:27.0,P. Siakam misses 3-pt jump shot from 25 ft,,3,2
13,1,10:27.0,,Defensive rebound by J. Allen,3,2
14,1,10:19.0,,Turnover by T. Prince (lost ball; steal by P. Siakam),3,2
15,1,10:05.0,Turnover by K. Lowry (bad pass; steal by J. Harris),,3,2
16,1,9:53.0,,C. LeVert makes 2-pt jump shot from 11 ft (assist by J. Allen),3,4
17,1,9:37.0,P. Siakam misses 2-pt jump shot from 10 ft,,3,4
18,1,9:35.0,,Defensive rebound by J. Allen,3,4
19,1,9:23.0,,J. Allen misses 2-pt layup from 3 ft,3,4
20,1,9:19.0,Defensive rebound by K. Lowry,,3,4
21,1,9:14.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Lowry),,6,4
22,1,8:58.0,,C. LeVert misses 2-pt jump shot from 3 ft,6,4
23,1,8:55.0,,Offensive rebound by J. Allen,6,4
24,1,8:50.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Allen),6,7
25,1,8:37.0,F. VanVleet makes 2-pt layup from 1 ft,,8,7
26,1,8:28.0,,J. Harris misses 2-pt layup from 1 ft (block by O. Anunoby),8,7
27,1,8:27.0,,Offensive rebound by Team,8,7
28,1,8:22.0,,T. Prince misses 3-pt jump shot from 25 ft,8,7
29,1,8:17.0,Defensive rebound by O. Anunoby,,8,7
30,1,8:14.0,Personal foul by S. Dinwiddie (drawn by P. Siakam),,8,7
31,1,8:10.0,Turnover by S. Ibaka (lost ball; steal by C. LeVert),,8,7
32,1,8:05.0,,T. Prince misses 3-pt jump shot from 25 ft,8,7
33,1,8:02.0,Defensive rebound by S. Ibaka,,8,7
34,1,7:56.0,K. Lowry misses 2-pt layup from 4 ft,,8,7
35,1,7:54.0,,Defensive rebound by S. Dinwiddie,8,7
36,1,7:50.0,,C. LeVert makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),8,9
37,1,7:35.0,F. VanVleet misses 3-pt jump shot from 25 ft,,8,9
38,1,7:31.0,,Defensive rebound by J. Allen,8,9
39,1,7:26.0,,T. Prince makes 2-pt layup from 1 ft (assist by S. Dinwiddie),8,11
40,1,7:10.0,Offensive foul by S. Ibaka (drawn by T. Prince),,8,11
41,1,7:10.0,Turnover by S. Ibaka (offensive foul),,8,11
42,1,7:10.0,,Brooklyn full timeout,8,11
43,1,7:10.0,C. Boucher enters the game for S. Ibaka,,8,11
44,1,6:54.0,,C. LeVert misses 3-pt jump shot from 26 ft,8,11
45,1,6:51.0,Defensive rebound by O. Anunoby,,8,11
46,1,6:38.0,Turnover by F. VanVleet (bad pass; steal by C. LeVert),,8,11
47,1,6:26.0,,T. Prince misses 3-pt jump shot from 23 ft,8,11
48,1,6:23.0,Defensive rebound by C. Boucher,,8,11
49,1,6:16.0,K. Lowry misses 3-pt jump shot from 30 ft,,8,11
50,1,6:14.0,,Defensive rebound by T. Prince,8,11
51,1,5:52.0,,C. LeVert misses 2-pt jump shot from 9 ft,8,11
52,1,5:48.0,Defensive rebound by K. Lowry,,8,11
53,1,5:44.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),,10,11
54,1,5:23.0,,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by C. LeVert),10,14
55,1,5:09.0,P. Siakam misses 2-pt jump shot from 14 ft,,10,14
56,1,5:04.0,,Defensive rebound by J. Allen,10,14
57,1,4:56.0,,J. Harris misses 3-pt jump shot from 26 ft,10,14
58,1,4:54.0,Defensive rebound by Team,,10,14
59,1,4:54.0,,W. Chandler enters the game for J. Allen,10,14
60,1,4:54.0,,D. Jordan enters the game for C. LeVert,10,14
61,1,4:54.0,,G. Temple enters the game for T. Prince,10,14
62,1,4:54.0,,Brooklyn full timeout,10,14
63,1,4:54.0,,J. Allen enters the game for W. Chandler,10,14
64,1,4:54.0,,C. LeVert enters the game for D. Jordan,10,14
65,1,4:54.0,,T. Prince enters the game for G. Temple,10,14
66,1,4:54.0,,Instant Replay (Challenge: Ruling Stands),10,14
67,1,4:54.0,,W. Chandler enters the game for J. Allen,10,14
68,1,4:54.0,,D. Jordan enters the game for C. LeVert,10,14
69,1,4:54.0,,G. Temple enters the game for T. Prince,10,14
70,1,4:40.0,P. Siakam misses 2-pt jump shot from 12 ft,,10,14
71,1,4:38.0,,Defensive rebound by J. Harris,10,14
72,1,4:19.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,10,14
73,1,4:16.0,Defensive rebound by K. Lowry,,10,14
74,1,4:13.0,K. Lowry misses 2-pt layup from 2 ft,,10,14
75,1,4:11.0,,Defensive rebound by S. Dinwiddie,10,14
76,1,4:07.0,,J. Harris misses 2-pt layup from 1 ft,10,14
77,1,4:05.0,Defensive rebound by O. Anunoby,,10,14
78,1,3:55.0,C. Boucher misses 3-pt jump shot from 25 ft,,10,14
79,1,3:53.0,,Defensive rebound by J. Harris,10,14
80,1,3:37.0,,J. Harris makes 2-pt layup from 1 ft (assist by D. Jordan),10,16
81,1,3:22.0,P. Siakam makes 2-pt hook shot from 2 ft,,12,16
82,1,3:12.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),12,18
83,1,2:58.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by K. Lowry),,14,18
84,1,2:45.0,,W. Chandler misses 3-pt jump shot from 23 ft,14,18
85,1,2:43.0,Defensive rebound by F. VanVleet,,14,18
86,1,2:32.0,C. Boucher misses 3-pt jump shot from 25 ft,,14,18
87,1,2:27.0,,Defensive rebound by W. Chandler,14,18
88,1,2:23.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),14,21
89,1,2:15.0,Toronto full timeout,,14,21
90,1,2:15.0,T. Davis enters the game for O. Anunoby,,14,21
91,1,2:15.0,R. Hollis-Jefferson enters the game for C. Boucher,,14,21
92,1,2:15.0,S. Ibaka enters the game for P. Siakam,,14,21
93,1,2:15.0,P. McCaw enters the game for F. VanVleet,,14,21
94,1,2:15.0,,C. LeVert enters the game for S. Dinwiddie,14,21
95,1,2:15.0,,T. Luwawu-Cabarrot enters the game for J. Harris,14,21
96,1,2:15.0,,Violation by Team (delay of game),14,21
97,1,2:02.0,T. Davis misses 3-pt jump shot from 25 ft,,14,21
98,1,1:59.0,,Defensive rebound by C. LeVert,14,21
99,1,1:52.0,,G. Temple misses 3-pt jump shot from 25 ft,14,21
100,1,1:48.0,,Offensive rebound by D. Jordan,14,21
101,1,1:45.0,,G. Temple misses 2-pt layup from 1 ft,14,21
102,1,1:43.0,Defensive rebound by P. McCaw,,14,21
103,1,1:40.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Lowry),,14,21
104,1,1:26.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by K. Lowry),,16,21
105,1,0:59.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 24 ft,16,21
106,1,0:57.0,,Offensive rebound by D. Jordan,16,21
107,1,0:50.0,,D. Jordan makes 2-pt hook shot from 6 ft,16,23
108,1,0:35.0,K. Lowry makes 3-pt jump shot from 29 ft,,19,23
109,1,0:28.0,,C. LeVert misses 3-pt jump shot from 24 ft,19,23
110,1,0:26.0,Defensive rebound by K. Lowry,,19,23
111,1,0:24.0,P. McCaw misses 2-pt layup from 1 ft,,19,23
112,1,0:21.0,,Defensive rebound by D. Jordan,19,23
113,1,0:06.0,,W. Chandler misses 3-pt jump shot from 25 ft,19,23
114,1,0:03.0,Defensive rebound by Team,,19,23
115,1,0:00.0,K. Lowry misses 3-pt jump shot from 35 ft,,19,23
116,1,0:00.0,Offensive rebound by Team,,19,23
117,2,11:45.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by D. Jordan),19,26
118,2,11:27.0,F. VanVleet misses 2-pt jump shot from 21 ft,,19,26
119,2,11:24.0,,Defensive rebound by D. Jordan,19,26
120,2,11:15.0,,C. LeVert makes 2-pt jump shot from 5 ft,19,28
121,2,10:53.0,P. McCaw misses 3-pt jump shot from 26 ft,,19,28
122,2,10:50.0,,Defensive rebound by W. Chandler,19,28
123,2,10:38.0,,C. LeVert makes 2-pt jump shot from 12 ft,19,30
124,2,10:29.0,,Violation by Team (kicked ball),19,30
125,2,10:21.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by T. Luwawu-Cabarrot),,19,30
126,2,10:20.0,Offensive rebound by Team,,19,30
127,2,10:13.0,F. VanVleet misses 2-pt hook shot from 6 ft,,19,30
128,2,10:12.0,Offensive rebound by Team,,19,30
129,2,10:06.0,F. VanVleet makes 2-pt jump shot from 20 ft,,21,30
130,2,9:53.0,,Personal foul by R. Hollis-Jefferson (drawn by C. LeVert),21,30
131,2,9:38.0,,Turnover by Team (shot clock),21,30
132,2,9:16.0,Turnover by R. Hollis-Jefferson (lost ball; steal by G. Temple),,21,30
133,2,9:11.0,,G. Temple misses 2-pt layup from 3 ft,21,30
134,2,9:10.0,,Offensive rebound by C. LeVert,21,30
135,2,9:06.0,,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),21,30
136,2,9:04.0,Defensive rebound by R. Hollis-Jefferson,,21,30
137,2,9:02.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,24,30
138,2,9:00.0,,Brooklyn full timeout,24,30
