,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,K. Walker misses 2-pt layup from 2 ft,,0,0
1,1,11:46.0,Offensive rebound by D. Theis,,0,0
2,1,11:45.0,D. Theis misses 2-pt layup from 4 ft,,0,0
3,1,11:43.0,,Defensive rebound by T. Rozier,0,0
4,1,11:28.0,,Turnover by M. Bridges (bad pass; steal by J. Brown),0,0
5,1,11:26.0,J. Brown misses 2-pt layup from 3 ft (block by M. Bridges),,0,0
6,1,11:25.0,,Defensive rebound by C. Zeller,0,0
7,1,11:17.0,,T. Rozier misses 3-pt jump shot from 23 ft,0,0
8,1,11:14.0,,Offensive rebound by P. Washington,0,0
9,1,11:05.0,,M. Bridges misses 2-pt jump shot from 4 ft,0,0
10,1,11:03.0,,Offensive rebound by C. Zeller,0,0
11,1,10:59.0,,P. Washington misses 2-pt dunk from 1 ft,0,0
12,1,10:57.0,,Offensive rebound by C. Zeller,0,0
13,1,10:56.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Zeller),0,3
14,1,10:31.0,J. Tatum misses 2-pt jump shot from 11 ft,,0,3
15,1,10:28.0,Offensive rebound by J. Tatum,,0,3
16,1,10:27.0,J. Tatum makes 2-pt jump shot from 12 ft,,2,3
17,1,10:03.0,,D. Bacon makes 2-pt jump shot from 18 ft,2,5
18,1,9:51.0,Offensive foul by D. Theis (drawn by C. Zeller),,2,5
19,1,9:51.0,Turnover by D. Theis (offensive foul),,2,5
20,1,9:33.0,,P. Washington misses 2-pt hook shot from 7 ft,2,5
21,1,9:31.0,Defensive rebound by J. Brown,,2,5
22,1,9:26.0,K. Walker misses 3-pt jump shot from 26 ft,,2,5
23,1,9:23.0,,Defensive rebound by M. Bridges,2,5
24,1,9:09.0,,D. Bacon misses 2-pt jump shot from 5 ft,2,5
25,1,9:07.0,Defensive rebound by G. Hayward,,2,5
26,1,8:52.0,D. Theis misses 3-pt jump shot from 26 ft,,2,5
27,1,8:48.0,,Defensive rebound by M. Bridges,2,5
28,1,8:40.0,,D. Bacon makes 2-pt jump shot from 4 ft (assist by P. Washington),2,7
29,1,8:25.0,D. Theis misses 2-pt jump shot from 12 ft,,2,7
30,1,8:22.0,,Defensive rebound by C. Zeller,2,7
31,1,8:14.0,,Turnover by T. Rozier (bad pass; steal by G. Hayward),2,7
32,1,8:08.0,D. Theis makes 2-pt layup from 2 ft (assist by G. Hayward),,4,7
33,1,7:49.0,,T. Rozier misses 2-pt layup from 2 ft,4,7
34,1,7:47.0,Defensive rebound by D. Theis,,4,7
35,1,7:47.0,G. Hayward makes 2-pt layup from 2 ft (assist by D. Theis),,6,7
36,1,7:47.0,Shooting foul by D. Bacon (drawn by G. Hayward),,6,7
37,1,7:47.0,G. Hayward makes free throw 1 of 1,,7,7
38,1,7:32.0,,Turnover by D. Bacon (bad pass),7,7
39,1,7:23.0,Personal foul by C. Zeller (drawn by G. Hayward),,7,7
40,1,7:14.0,D. Theis makes 2-pt dunk from 2 ft (assist by G. Hayward),,9,7
41,1,6:53.0,,M. Bridges makes 2-pt jump shot from 4 ft,9,9
42,1,6:34.0,J. Brown makes 2-pt jump shot from 12 ft (assist by G. Hayward),,11,9
43,1,6:14.0,,T. Rozier misses 2-pt layup from 3 ft (block by D. Theis),11,9
44,1,6:14.0,,Offensive rebound by Team,11,9
45,1,6:14.0,,Charlotte full timeout,11,9
46,1,6:14.0,M. Smart enters the game for J. Brown,,11,9
47,1,6:14.0,G. Williams enters the game for J. Tatum,,11,9
48,1,6:14.0,,D. Graham enters the game for D. Bacon,11,9
49,1,6:11.0,,C. Zeller makes 2-pt layup from 1 ft (assist by D. Graham),11,11
50,1,5:56.0,M. Smart makes 3-pt jump shot from 25 ft (assist by G. Williams),,14,11
51,1,5:39.0,,Turnover by C. Zeller (bad pass; steal by K. Walker),14,11
52,1,5:36.0,M. Smart misses 3-pt jump shot from 23 ft,,14,11
53,1,5:34.0,,Defensive rebound by T. Rozier,14,11
54,1,5:20.0,,P. Washington misses 3-pt jump shot from 26 ft,14,11
55,1,5:17.0,Defensive rebound by D. Theis,,14,11
56,1,5:10.0,G. Hayward makes 2-pt dunk from 3 ft (assist by M. Smart),,16,11
57,1,4:56.0,,C. Zeller misses 3-pt jump shot from 25 ft,16,11
58,1,4:54.0,Defensive rebound by G. Hayward,,16,11
59,1,4:50.0,G. Hayward misses 2-pt jump shot from 18 ft,,16,11
60,1,4:49.0,,Defensive rebound by C. Zeller,16,11
61,1,4:36.0,,D. Graham misses 3-pt jump shot from 27 ft,16,11
62,1,4:34.0,Defensive rebound by G. Hayward,,16,11
63,1,4:28.0,Personal foul by M. Bridges (drawn by K. Walker),,16,11
64,1,4:28.0,R. Williams enters the game for D. Theis,,16,11
65,1,4:28.0,,M. Williams enters the game for C. Zeller,16,11
66,1,4:23.0,G. Hayward makes 2-pt layup from 2 ft (assist by G. Williams),,18,11
67,1,4:12.0,,Turnover by P. Washington (bad pass; steal by M. Smart),18,11
