,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
0,1,11:43.0,,M. Morris makes 2-pt jump shot from 16 ft,0,2
1,1,11:24.0,D. Fox misses 2-pt layup from 1 ft,,0,2
2,1,11:22.0,Offensive rebound by R. Holmes,,0,2
3,1,11:22.0,R. Holmes makes 2-pt layup at rim,,2,2
4,1,11:12.0,,R. Barrett misses 2-pt jump shot from 18 ft,2,2
5,1,11:10.0,Defensive rebound by R. Holmes,,2,2
6,1,10:58.0,D. Fox misses 3-pt jump shot from 23 ft,,2,2
7,1,10:56.0,,Defensive rebound by F. Ntilikina,2,2
8,1,10:50.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Barrett),2,5
9,1,10:27.0,D. Fox misses 3-pt jump shot from 24 ft,,2,5
10,1,10:25.0,,Defensive rebound by B. Portis,2,5
11,1,10:19.0,,J. Randle makes 2-pt layup from 2 ft,2,7
12,1,10:04.0,Personal foul by F. Ntilikina (drawn by R. Holmes),,2,7
13,1,9:54.0,B. Hield makes 2-pt jump shot from 17 ft,,4,7
14,1,9:32.0,,B. Portis misses 2-pt jump shot from 6 ft,4,7
15,1,9:31.0,Defensive rebound by N. Bjelica,,4,7
16,1,9:26.0,Shooting foul by J. Randle (drawn by D. Fox),,4,7
17,1,9:26.0,D. Fox makes free throw 1 of 2,,5,7
18,1,9:26.0,D. Fox misses free throw 2 of 2,,5,7
19,1,9:25.0,,Defensive rebound by B. Portis,5,7
20,1,9:16.0,,J. Randle misses 2-pt jump shot from 11 ft,5,7
21,1,9:15.0,Defensive rebound by N. Bjelica,,5,7
22,1,9:09.0,B. Hield makes 3-pt jump shot from 26 ft,,8,7
23,1,8:52.0,,M. Morris misses 2-pt jump shot from 17 ft,8,7
24,1,8:50.0,Defensive rebound by B. Hield,,8,7
25,1,8:37.0,Turnover by B. Hield (bad pass; steal by B. Portis),,8,7
26,1,8:34.0,,Turnover by B. Portis (lost ball; steal by B. Hield),8,7
27,1,8:32.0,Turnover by N. Bjelica (bad pass),,8,7
28,1,8:11.0,,F. Ntilikina makes 2-pt layup from 1 ft (assist by J. Randle),8,9
29,1,8:11.0,Violation by Team (def goaltending),,8,9
30,1,7:51.0,H. Barnes makes 2-pt layup from 1 ft (assist by R. Holmes),,10,9
31,1,7:39.0,,Offensive foul by B. Portis (drawn by N. Bjelica),10,9
32,1,7:39.0,,Turnover by B. Portis (offensive foul),10,9
33,1,7:33.0,Shooting foul by F. Ntilikina (drawn by D. Fox),,10,9
34,1,7:33.0,D. Fox makes free throw 1 of 2,,11,9
35,1,7:33.0,,W. Ellington enters the game for F. Ntilikina,11,9
