,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,J. Harris misses 3-pt jump shot from 26 ft,0,0
1,1,11:41.0,Defensive rebound by E. Payton,,0,0
2,1,11:35.0,E. Payton misses 2-pt layup from 3 ft,,0,0
3,1,11:33.0,,Defensive rebound by S. Dinwiddie,0,0
4,1,11:31.0,,Shooting foul by E. Payton (drawn by S. Dinwiddie),0,0
5,1,11:31.0,,S. Dinwiddie makes free throw 1 of 2,0,1
6,1,11:31.0,,S. Dinwiddie makes free throw 2 of 2,0,2
7,1,11:18.0,M. Morris misses 2-pt jump shot from 10 ft,,0,2
8,1,11:17.0,,Defensive rebound by G. Temple,0,2
9,1,11:07.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by G. Temple),0,5
10,1,10:51.0,T. Gibson misses 2-pt jump shot from 22 ft,,0,5
11,1,10:49.0,,Defensive rebound by G. Temple,0,5
12,1,10:29.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,0,5
13,1,10:26.0,Defensive rebound by T. Gibson,,0,5
14,1,10:18.0,J. Randle makes 2-pt jump shot from 15 ft,,2,5
15,1,10:03.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by T. Prince),2,8
16,1,9:47.0,T. Gibson misses 2-pt jump shot from 18 ft,,2,8
17,1,9:44.0,Offensive rebound by R. Barrett,,2,8
18,1,9:41.0,J. Randle makes 3-pt jump shot from 25 ft (assist by R. Barrett),,5,8
19,1,9:30.0,,J. Harris misses 3-pt jump shot from 25 ft,5,8
20,1,9:27.0,Defensive rebound by M. Morris,,5,8
21,1,9:23.0,R. Barrett misses 3-pt jump shot from 24 ft,,5,8
22,1,9:20.0,,Defensive rebound by G. Temple,5,8
23,1,9:07.0,,T. Prince misses 3-pt jump shot from 25 ft,5,8
24,1,9:04.0,Defensive rebound by R. Barrett,,5,8
25,1,8:57.0,R. Barrett misses 2-pt layup from 6 ft,,5,8
26,1,8:55.0,,Defensive rebound by T. Prince,5,8
27,1,8:52.0,,T. Prince misses 3-pt jump shot from 25 ft,5,8
28,1,8:48.0,Defensive rebound by M. Morris,,5,8
29,1,8:40.0,Offensive foul by M. Morris (drawn by G. Temple),,5,8
30,1,8:40.0,Turnover by M. Morris (offensive foul),,5,8
31,1,8:26.0,,J. Harris misses 2-pt layup from 2 ft,5,8
32,1,8:25.0,Defensive rebound by R. Barrett,,5,8
33,1,8:24.0,Turnover by R. Barrett (lost ball; steal by J. Allen),,5,8
34,1,8:21.0,,J. Harris makes 2-pt layup from 2 ft,5,10
35,1,8:10.0,J. Randle makes 2-pt jump shot from 10 ft,,7,10
36,1,8:02.0,,Personal foul by J. Randle (drawn by J. Allen),7,10
37,1,8:02.0,M. Robinson enters the game for T. Gibson,,7,10
