,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,,D. Russell misses 3-pt jump shot from 30 ft,0,0
1,1,11:35.0,Defensive rebound by C. Capela,,0,0
2,1,11:23.0,R. Westbrook misses 2-pt jump shot from 13 ft,,0,0
3,1,11:21.0,,Defensive rebound by D. Lee,0,0
4,1,11:06.0,,G. Robinson makes 2-pt jump shot from 21 ft (assist by D. Green),0,2
5,1,10:40.0,D. House misses 2-pt jump shot from 14 ft,,0,2
6,1,10:38.0,,Defensive rebound by D. Lee,0,2
7,1,10:29.0,,D. Russell makes 2-pt jump shot from 18 ft,0,4
8,1,10:11.0,R. Westbrook misses 3-pt jump shot from 26 ft,,0,4
9,1,10:09.0,,Defensive rebound by G. Robinson,0,4
10,1,9:53.0,,Turnover by W. Cauley-Stein (bad pass; steal by C. Capela),0,4
11,1,9:41.0,R. Westbrook misses 2-pt layup from 3 ft,,0,4
12,1,9:40.0,,Defensive rebound by W. Cauley-Stein,0,4
13,1,9:35.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by G. Robinson),0,7
14,1,9:13.0,J. Harden makes 3-pt jump shot from 28 ft,,3,7
15,1,9:01.0,,D. Lee misses 2-pt jump shot from 12 ft,3,7
16,1,8:59.0,Defensive rebound by R. Westbrook,,3,7
17,1,8:54.0,Personal foul by D. Russell (drawn by J. Harden),,3,7
18,1,8:49.0,R. Westbrook makes 2-pt jump shot from 16 ft (assist by J. Harden),,5,7
19,1,8:40.0,,G. Robinson makes 2-pt layup from 4 ft (assist by D. Russell),5,9
20,1,8:24.0,R. Westbrook misses 2-pt jump shot from 18 ft,,5,9
21,1,8:22.0,Offensive rebound by R. Westbrook,,5,9
22,1,8:21.0,R. Westbrook misses 2-pt layup from 2 ft (block by D. Russell),,5,9
23,1,8:19.0,,Defensive rebound by D. Lee,5,9
24,1,8:14.0,,G. Robinson makes 2-pt jump shot from 12 ft (assist by D. Lee),5,11
25,1,8:03.0,Personal foul by G. Robinson (drawn by J. Harden),,5,11
26,1,7:53.0,J. Harden misses 2-pt jump shot from 13 ft,,5,11
27,1,7:51.0,,Defensive rebound by D. Lee,5,11
28,1,7:40.0,,D. Russell misses 3-pt jump shot from 23 ft,5,11
29,1,7:38.0,,Offensive rebound by D. Green,5,11
30,1,7:26.0,,D. Green misses 3-pt jump shot from 28 ft,5,11
31,1,7:24.0,Defensive rebound by C. Capela,,5,11
32,1,7:16.0,R. Westbrook misses 2-pt layup from 3 ft,,5,11
33,1,7:12.0,,Defensive rebound by D. Lee,5,11
34,1,7:08.0,,D. Green makes 2-pt layup from 3 ft (assist by D. Lee),5,13
35,1,6:47.0,R. Westbrook misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,5,13
36,1,6:46.0,Offensive rebound by R. Westbrook,,5,13
37,1,6:45.0,R. Westbrook makes 2-pt layup from 3 ft,,7,13
38,1,6:33.0,,W. Cauley-Stein misses 2-pt jump shot from 10 ft,7,13
39,1,6:32.0,Defensive rebound by P. Tucker,,7,13
40,1,6:24.0,C. Capela misses 2-pt layup from 2 ft,,7,13
41,1,6:23.0,,Defensive rebound by D. Russell,7,13
42,1,6:13.0,,D. Russell misses 2-pt jump shot from 10 ft,7,13
43,1,6:12.0,Defensive rebound by J. Harden,,7,13
44,1,6:03.0,,Violation by Team (kicked ball),7,13
45,1,6:03.0,,Golden State full timeout,7,13
46,1,6:03.0,G. Clark enters the game for C. Capela,,7,13
47,1,6:03.0,B. McLemore enters the game for D. House,,7,13
48,1,5:51.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by J. Harden),,10,13
49,1,5:34.0,,G. Robinson misses 2-pt jump shot from 18 ft,10,13
50,1,5:28.0,Defensive rebound by P. Tucker,,10,13
51,1,5:22.0,Turnover by J. Harden (bad pass; steal by D. Russell),,10,13
52,1,5:18.0,,D. Russell makes 2-pt layup from 7 ft,10,15
53,1,5:00.0,G. Clark misses 3-pt jump shot from 23 ft,,10,15
54,1,4:58.0,,Defensive rebound by D. Lee,10,15
55,1,4:53.0,,Personal foul by J. Harden (drawn by D. Russell),10,15
56,1,4:53.0,A. Rivers enters the game for R. Westbrook,,10,15
57,1,4:53.0,,A. Burks enters the game for W. Cauley-Stein,10,15
58,1,4:53.0,,J. Evans enters the game for D. Lee,10,15
59,1,4:53.0,,E. Paschall enters the game for D. Russell,10,15
60,1,4:41.0,,D. Green misses 2-pt layup from 4 ft,10,15
61,1,4:40.0,,Offensive rebound by D. Green,10,15
62,1,4:40.0,,D. Green misses 2-pt layup from 2 ft,10,15
63,1,4:40.0,,Offensive rebound by D. Green,10,15
64,1,4:36.0,,D. Green misses 2-pt layup from 3 ft,10,15
65,1,4:35.0,Defensive rebound by P. Tucker,,10,15
66,1,4:30.0,J. Harden misses 2-pt layup from 5 ft,,10,15
67,1,4:29.0,Offensive rebound by J. Harden,,10,15
68,1,4:24.0,J. Harden misses 2-pt layup from 5 ft,,10,15
69,1,4:23.0,,Defensive rebound by J. Evans,10,15
70,1,4:17.0,,Turnover by E. Paschall (lost ball; steal by G. Clark),10,15
71,1,3:56.0,B. McLemore misses 3-pt jump shot from 29 ft,,10,15
72,1,3:54.0,,Defensive rebound by G. Robinson,10,15
73,1,3:44.0,,E. Paschall misses 2-pt jump shot from 16 ft,10,15
74,1,3:42.0,Defensive rebound by J. Harden,,10,15
75,1,3:33.0,B. McLemore makes 3-pt jump shot from 27 ft (assist by J. Harden),,13,15
76,1,3:15.0,,A. Burks misses 3-pt jump shot from 28 ft,13,15
77,1,3:13.0,Defensive rebound by B. McLemore,,13,15
78,1,3:02.0,G. Clark makes 3-pt jump shot from 23 ft (assist by J. Harden),,16,15
79,1,2:48.0,,J. Evans misses 2-pt jump shot from 8 ft,16,15
80,1,2:47.0,,Offensive rebound by E. Paschall,16,15
81,1,2:45.0,,J. Evans makes 2-pt layup from 9 ft (assist by E. Paschall),16,17
82,1,2:45.0,,Shooting foul by G. Clark (drawn by J. Evans),16,17
83,1,2:45.0,Houston full timeout,,16,17
84,1,2:45.0,R. Westbrook enters the game for J. Harden,,16,17
85,1,2:45.0,,K. Bowman enters the game for D. Green,16,17
86,1,2:45.0,,M. Chriss enters the game for G. Robinson,16,17
87,1,2:45.0,,J. Evans makes free throw 1 of 1,16,18
88,1,2:37.0,Shooting foul by E. Paschall (drawn by R. Westbrook),,16,18
89,1,2:37.0,R. Westbrook makes free throw 1 of 2,,17,18
90,1,2:37.0,C. Capela enters the game for P. Tucker,,17,18
91,1,2:37.0,R. Westbrook makes free throw 2 of 2,,18,18
92,1,2:22.0,,A. Burks makes 2-pt jump shot from 10 ft (assist by J. Evans),18,20
93,1,2:11.0,G. Clark misses 3-pt jump shot from 25 ft,,18,20
94,1,2:09.0,Offensive rebound by C. Capela,,18,20
95,1,2:06.0,C. Capela misses 2-pt layup from 2 ft (block by K. Bowman),,18,20
96,1,2:05.0,,Defensive rebound by J. Evans,18,20
97,1,2:03.0,,Turnover by J. Evans (palming),18,20
98,1,1:53.0,A. Rivers misses 2-pt jump shot from 10 ft,,18,20
99,1,1:51.0,Offensive rebound by C. Capela,,18,20
100,1,1:51.0,C. Capela makes 2-pt layup at rim,,20,20
101,1,1:31.0,,M. Chriss misses 2-pt dunk from 2 ft,20,20
102,1,1:30.0,,Offensive rebound by E. Paschall,20,20
103,1,1:26.0,,J. Evans makes 3-pt jump shot from 27 ft (assist by E. Paschall),20,23
104,1,1:17.0,Shooting foul by E. Paschall (drawn by R. Westbrook),,20,23
105,1,1:17.0,R. Westbrook makes free throw 1 of 3,,21,23
106,1,1:17.0,R. Westbrook makes free throw 2 of 3,,22,23
