,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:42.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,0
1,1,11:24.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by L. Dončić),3,2
2,1,11:00.0,J. Murray misses 3-pt jump shot from 24 ft,,3,2
3,1,10:57.0,,Defensive rebound by M. Kleber,3,2
4,1,10:42.0,,C. Lee makes 2-pt jump shot from 5 ft,3,4
5,1,10:29.0,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Murray),,6,4
6,1,10:09.0,,M. Kleber misses 2-pt layup from 1 ft,6,4
7,1,10:08.0,,Offensive rebound by B. Marjanović,6,4
8,1,10:05.0,,Turnover by B. Marjanović (lost ball; steal by J. Murray),6,4
9,1,9:58.0,W. Barton misses 3-pt jump shot from 23 ft,,6,4
10,1,9:55.0,,Defensive rebound by B. Marjanović,6,4
11,1,9:47.0,,L. Dončić misses 2-pt jump shot from 13 ft,6,4
12,1,9:43.0,,Offensive rebound by L. Dončić,6,4
13,1,9:43.0,,L. Dončić makes 2-pt layup from 2 ft,6,6
14,1,9:29.0,W. Barton makes 2-pt layup from 1 ft (assist by P. Millsap),,8,6
15,1,9:14.0,,L. Dončić makes 3-pt jump shot from 25 ft,8,9
16,1,8:48.0,J. Murray misses 3-pt jump shot from 25 ft,,8,9
17,1,8:44.0,,Defensive rebound by T. Hardaway,8,9
18,1,8:37.0,,T. Hardaway misses 2-pt jump shot from 19 ft,8,9
19,1,8:35.0,Defensive rebound by W. Barton,,8,9
20,1,8:25.0,P. Millsap makes 3-pt jump shot from 27 ft (assist by W. Barton),,11,9
21,1,8:02.0,,M. Kleber misses 3-pt jump shot from 23 ft,11,9
22,1,7:59.0,Defensive rebound by W. Barton,,11,9
23,1,7:55.0,W. Barton makes 3-pt jump shot from 24 ft,,14,9
24,1,7:54.0,,Dallas full timeout,14,9
25,1,7:35.0,,M. Kleber makes 2-pt dunk at rim (assist by L. Dončić),14,11
26,1,7:19.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by N. Jokić),,17,11
27,1,7:08.0,,Turnover by L. Dončić (bad pass; steal by P. Millsap),17,11
28,1,7:03.0,W. Barton misses 2-pt layup at rim,,17,11
29,1,7:02.0,,Defensive rebound by M. Kleber,17,11
30,1,6:56.0,,B. Marjanović misses 2-pt jump shot from 10 ft,17,11
