,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:45.0,D. Lillard misses 2-pt jump shot from 17 ft,,0,0
1,1,11:43.0,,Defensive rebound by A. Baynes,0,0
2,1,11:29.0,,D. Booker makes 3-pt jump shot from 27 ft,0,3
3,1,11:14.0,Shooting foul by R. Rubio (drawn by T. Ariza),,0,3
4,1,11:14.0,T. Ariza misses free throw 1 of 2,,0,3
5,1,11:14.0,Offensive rebound by Team,,0,3
6,1,11:14.0,T. Ariza makes free throw 2 of 2,,1,3
7,1,11:00.0,,R. Rubio makes 2-pt jump shot from 2 ft (assist by D. Booker),1,5
8,1,10:50.0,H. Whiteside makes 2-pt jump shot from 14 ft (assist by C. McCollum),,3,5
9,1,10:34.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by D. Booker),3,7
10,1,10:25.0,C. McCollum misses 3-pt jump shot from 26 ft,,3,7
11,1,10:23.0,,Defensive rebound by A. Baynes,3,7
12,1,10:18.0,,R. Rubio makes 2-pt jump shot from 17 ft,3,9
13,1,9:48.0,C. Anthony misses 2-pt jump shot from 21 ft,,3,9
14,1,9:45.0,,Defensive rebound by A. Baynes,3,9
15,1,9:38.0,,D. Šarić misses 3-pt jump shot from 27 ft,3,9
16,1,9:35.0,Defensive rebound by C. Anthony,,3,9
17,1,9:25.0,Turnover by D. Lillard (out of bounds lost ball),,3,9
18,1,9:10.0,,D. Booker misses 2-pt jump shot from 13 ft,3,9
19,1,9:06.0,Defensive rebound by H. Whiteside,,3,9
20,1,8:57.0,C. Anthony misses 2-pt jump shot from 19 ft,,3,9
21,1,8:54.0,,Defensive rebound by A. Baynes,3,9
22,1,8:45.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by R. Rubio),3,12
23,1,8:29.0,C. McCollum makes 2-pt layup from 2 ft,,5,12
24,1,8:24.0,,D. Booker misses 3-pt jump shot from 28 ft,5,12
25,1,8:20.0,,Offensive rebound by R. Rubio,5,12
26,1,8:18.0,,R. Rubio makes 2-pt jump shot from 19 ft,5,14
27,1,8:04.0,T. Ariza misses 2-pt jump shot from 7 ft,,5,14
28,1,8:01.0,,Defensive rebound by A. Baynes,5,14
29,1,7:58.0,,R. Rubio misses 3-pt jump shot from 26 ft,5,14
30,1,7:54.0,Defensive rebound by C. Anthony,,5,14
31,1,7:43.0,C. Anthony misses 3-pt jump shot from 26 ft,,5,14
32,1,7:41.0,,Defensive rebound by D. Booker,5,14
33,1,7:24.0,,A. Baynes makes 3-pt jump shot from 27 ft (assist by R. Rubio),5,17
34,1,7:23.0,Portland full timeout,,5,17
