,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
0,1,11:43.0,,Personal foul by T. Lyles (drawn by T. Young),0,0
1,1,11:38.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Young),0,2
2,1,11:18.0,L. Aldridge misses 2-pt jump shot from 14 ft,,0,2
3,1,11:14.0,,Defensive rebound by J. Parker,0,2
4,1,11:10.0,,J. Parker makes 2-pt layup from 3 ft,0,4
5,1,10:45.0,D. Murray misses 2-pt layup from 1 ft,,0,4
6,1,10:43.0,,Defensive rebound by D. Hunter,0,4
7,1,10:28.0,,A. Len misses 2-pt jump shot from 16 ft,0,4
8,1,10:26.0,Defensive rebound by T. Lyles,,0,4
9,1,10:19.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,3,4
10,1,10:10.0,,C. Reddish makes 3-pt jump shot from 26 ft (assist by T. Young),3,7
11,1,9:51.0,B. Forbes misses 2-pt jump shot from 19 ft,,3,7
12,1,9:48.0,,Defensive rebound by C. Reddish,3,7
13,1,9:40.0,,J. Parker misses 3-pt jump shot from 26 ft,3,7
14,1,9:37.0,Defensive rebound by D. Murray,,3,7
15,1,9:34.0,B. Forbes misses 3-pt jump shot from 26 ft,,3,7
16,1,9:31.0,Offensive rebound by T. Lyles,,3,7
17,1,9:31.0,Shooting foul by T. Young (drawn by T. Lyles),,3,7
18,1,9:31.0,T. Lyles misses free throw 1 of 2,,3,7
19,1,9:31.0,Offensive rebound by Team,,3,7
20,1,9:31.0,T. Lyles misses free throw 2 of 2,,3,7
21,1,9:29.0,,Defensive rebound by A. Len,3,7
22,1,9:21.0,,T. Young misses 3-pt jump shot from 28 ft,3,7
23,1,9:18.0,Defensive rebound by L. Aldridge,,3,7
24,1,9:10.0,D. DeRozan makes 2-pt jump shot from 8 ft,,5,7
25,1,9:00.0,,T. Young misses 3-pt jump shot from 27 ft,5,7
26,1,8:57.0,Defensive rebound by T. Lyles,,5,7
27,1,8:48.0,D. DeRozan misses 2-pt jump shot from 6 ft (block by A. Len),,5,7
28,1,8:45.0,,Defensive rebound by T. Young,5,7
29,1,8:37.0,,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),5,9
30,1,8:17.0,L. Aldridge misses 2-pt jump shot from 13 ft,,5,9
31,1,8:16.0,Offensive rebound by T. Lyles,,5,9
32,1,8:16.0,Shooting foul by C. Reddish (drawn by T. Lyles),,5,9
33,1,8:16.0,T. Lyles makes free throw 1 of 2,,6,9
34,1,8:16.0,T. Lyles misses free throw 2 of 2,,6,9
35,1,8:14.0,,Defensive rebound by A. Len,6,9
36,1,7:59.0,,D. Hunter misses 3-pt jump shot from 25 ft,6,9
37,1,7:55.0,,Offensive rebound by C. Reddish,6,9
38,1,7:54.0,,C. Reddish misses 2-pt jump shot from 15 ft,6,9
39,1,7:51.0,,Offensive rebound by J. Parker,6,9
40,1,7:50.0,,J. Parker misses 2-pt layup from 2 ft (block by L. Aldridge),6,9
41,1,7:47.0,Defensive rebound by L. Aldridge,,6,9
42,1,7:39.0,B. Forbes makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,8,9
43,1,7:18.0,,T. Young misses 2-pt jump shot from 14 ft,8,9
44,1,7:15.0,Defensive rebound by B. Forbes,,8,9
45,1,7:11.0,B. Forbes misses 3-pt jump shot from 26 ft,,8,9
46,1,7:08.0,,Defensive rebound by A. Len,8,9
47,1,7:02.0,,Personal foul by D. Murray (drawn by T. Young),8,9
48,1,7:02.0,D. White enters the game for D. Murray,,8,9
49,1,7:02.0,,B. Fernando enters the game for A. Len,8,9
50,1,7:02.0,,K. Huerter enters the game for C. Reddish,8,9
51,1,6:55.0,,D. Hunter misses 3-pt jump shot from 25 ft,8,9
52,1,6:51.0,Defensive rebound by T. Lyles,,8,9
53,1,6:41.0,D. White misses 3-pt jump shot from 26 ft,,8,9
54,1,6:37.0,,Defensive rebound by K. Huerter,8,9
55,1,6:28.0,,Shooting foul by D. White (drawn by T. Young),8,9
56,1,6:28.0,,Atlanta full timeout,8,9
57,1,6:28.0,,T. Young misses free throw 1 of 2,8,9
58,1,6:28.0,,Offensive rebound by Team,8,9
59,1,6:28.0,R. Gay enters the game for B. Forbes,,8,9
60,1,6:28.0,P. Mills enters the game for T. Lyles,,8,9
61,1,6:28.0,,T. Young makes free throw 2 of 2,8,10
62,1,6:13.0,L. Aldridge makes 2-pt layup from 4 ft,,10,10
63,1,5:59.0,,Turnover by J. Parker (out of bounds lost ball),10,10
64,1,5:46.0,Turnover by L. Aldridge (lost ball; steal by T. Young),,10,10
65,1,5:42.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Young),10,12
66,1,5:27.0,P. Mills makes 2-pt layup from 1 ft,,12,12
67,1,5:13.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Young),12,14
68,1,4:57.0,D. DeRozan makes 2-pt jump shot from 19 ft,,14,14
