,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:52.0,,Turnover by R. Rubio (bad pass; steal by J. Valančiūnas),0,0
1,1,11:36.0,J. Jackson misses 3-pt jump shot from 26 ft,,0,0
2,1,11:34.0,,Defensive rebound by A. Baynes,0,0
3,1,11:20.0,,D. Booker makes 2-pt jump shot from 10 ft (assist by D. Ayton),0,2
4,1,11:11.0,J. Valančiūnas makes 3-pt jump shot from 27 ft (assist by J. Morant),,3,2
5,1,10:55.0,,D. Booker makes 3-pt jump shot from 26 ft,3,5
6,1,10:39.0,J. Morant makes 2-pt layup from 2 ft,,5,5
7,1,10:38.0,,Phoenix full timeout,5,5
8,1,10:25.0,,A. Baynes misses 3-pt jump shot from 25 ft,5,5
9,1,10:23.0,Defensive rebound by J. Jackson,,5,5
10,1,10:12.0,Turnover by D. Brooks (lost ball; steal by R. Rubio),,5,5
11,1,10:07.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by K. Oubre),5,7
12,1,9:37.0,J. Crowder misses 3-pt jump shot from 26 ft,,5,7
13,1,9:35.0,,Defensive rebound by D. Ayton,5,7
14,1,9:20.0,,R. Rubio makes 2-pt jump shot from 4 ft (assist by D. Booker),5,9
15,1,9:09.0,D. Brooks makes 2-pt layup from 6 ft,,7,9
16,1,8:57.0,,K. Oubre misses 3-pt jump shot from 23 ft,7,9
17,1,8:53.0,Defensive rebound by J. Morant,,7,9
18,1,8:36.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Morant),,9,9
19,1,8:21.0,,D. Booker makes 2-pt jump shot from 15 ft (assist by A. Baynes),9,11
20,1,8:08.0,J. Valančiūnas makes 2-pt dunk from 3 ft (assist by J. Morant),,11,11
21,1,7:56.0,,Shooting foul by D. Brooks (drawn by D. Booker),11,11
22,1,7:56.0,,D. Booker makes free throw 1 of 2,11,12
23,1,7:56.0,,D. Booker misses free throw 2 of 2,11,12
24,1,7:52.0,Defensive rebound by J. Crowder,,11,12
25,1,7:32.0,D. Brooks misses 3-pt jump shot from 26 ft,,11,12
26,1,7:30.0,,Defensive rebound by A. Baynes,11,12
27,1,7:24.0,,K. Oubre misses 3-pt jump shot from 26 ft,11,12
28,1,7:21.0,Defensive rebound by J. Valančiūnas,,11,12
29,1,7:13.0,J. Jackson misses 3-pt jump shot from 24 ft,,11,12
30,1,7:10.0,,Defensive rebound by A. Baynes,11,12
31,1,6:59.0,,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),11,14
32,1,6:43.0,Personal foul by A. Baynes (drawn by J. Jackson),,11,14
33,1,6:43.0,B. Clarke enters the game for J. Morant,,11,14
34,1,6:43.0,T. Jones enters the game for J. Valančiūnas,,11,14
35,1,6:38.0,Offensive foul by J. Crowder (drawn by A. Baynes),,11,14
36,1,6:38.0,Turnover by J. Crowder (offensive foul),,11,14
37,1,6:38.0,,M. Bridges enters the game for A. Baynes,11,14
38,1,6:25.0,,D. Ayton misses 2-pt jump shot from 19 ft,11,14
39,1,6:23.0,,Offensive rebound by K. Oubre,11,14
40,1,6:23.0,,Shooting foul by D. Brooks (drawn by K. Oubre),11,14
41,1,6:23.0,,K. Oubre makes free throw 1 of 2,11,15
42,1,6:23.0,D. Melton enters the game for D. Brooks,,11,15
43,1,6:23.0,,E. Okobo enters the game for R. Rubio,11,15
44,1,6:23.0,,K. Oubre makes free throw 2 of 2,11,16
45,1,6:11.0,T. Jones misses 2-pt jump shot from 9 ft,,11,16
46,1,6:07.0,,Defensive rebound by E. Okobo,11,16
47,1,6:00.0,,M. Bridges misses 2-pt jump shot from 10 ft,11,16
48,1,5:58.0,,Offensive rebound by D. Ayton,11,16
49,1,5:56.0,,D. Ayton misses 2-pt layup from 1 ft,11,16
50,1,5:54.0,,Offensive rebound by D. Ayton,11,16
51,1,5:52.0,,D. Ayton makes 2-pt layup from 1 ft,11,18
52,1,5:52.0,Turnover by T. Jones (back court),,11,18
53,1,5:35.0,,Offensive foul by D. Ayton (drawn by D. Melton),11,18
54,1,5:35.0,,Turnover by D. Ayton (offensive foul),11,18
55,1,5:27.0,J. Jackson misses 3-pt jump shot from 25 ft,,11,18
56,1,5:24.0,,Defensive rebound by K. Oubre,11,18
57,1,5:06.0,,D. Booker misses 2-pt jump shot from 11 ft,11,18
58,1,5:03.0,Defensive rebound by B. Clarke,,11,18
59,1,4:55.0,J. Jackson makes 2-pt dunk from 6 ft (assist by T. Jones),,13,18
60,1,4:38.0,,K. Oubre makes 2-pt layup from 2 ft (assist by D. Ayton),13,20
61,1,4:38.0,Memphis full timeout,,13,20
62,1,4:38.0,K. Anderson enters the game for J. Crowder,,13,20
63,1,4:23.0,J. Jackson misses 2-pt hook shot from 7 ft,,13,20
64,1,4:23.0,,Defensive rebound by K. Oubre,13,20
65,1,4:00.0,,D. Booker makes 2-pt jump shot from 17 ft,13,22
66,1,3:34.0,B. Clarke makes 2-pt layup from 3 ft,,15,22
67,1,3:29.0,,Shooting foul by D. Melton (drawn by D. Booker),15,22
68,1,3:29.0,,D. Booker makes free throw 1 of 2,15,23
69,1,3:29.0,J. Valančiūnas enters the game for J. Jackson,,15,23
70,1,3:29.0,,A. Baynes enters the game for D. Ayton,15,23
71,1,3:29.0,,C. Johnson enters the game for K. Oubre,15,23
72,1,3:29.0,,D. Booker makes free throw 2 of 2,15,24
73,1,3:04.0,Turnover by Team (shot clock),,15,24
74,1,2:53.0,,D. Booker makes 2-pt jump shot from 16 ft,15,26
75,1,2:36.0,J. Valančiūnas makes 3-pt jump shot from 27 ft (assist by T. Jones),,18,26
76,1,2:19.0,,C. Johnson misses 3-pt jump shot from 23 ft,18,26
77,1,2:18.0,,Offensive rebound by A. Baynes,18,26
78,1,2:18.0,,Shooting foul by J. Valančiūnas (drawn by A. Baynes),18,26
79,1,2:18.0,,A. Baynes misses free throw 1 of 2,18,26
80,1,2:18.0,,Offensive rebound by Team,18,26
81,1,2:18.0,,T. Johnson enters the game for D. Booker,18,26
82,1,2:18.0,,R. Rubio enters the game for E. Okobo,18,26
83,1,2:18.0,,A. Baynes makes free throw 2 of 2,18,27
84,1,2:06.0,Shooting foul by C. Johnson (drawn by J. Valančiūnas),,18,27
85,1,2:06.0,J. Valančiūnas makes free throw 1 of 2,,19,27
86,1,2:06.0,J. Valančiūnas misses free throw 2 of 2,,19,27
87,1,2:04.0,,Defensive rebound by A. Baynes,19,27
88,1,1:47.0,,Turnover by C. Johnson (lost ball; steal by K. Anderson),19,27
89,1,1:41.0,D. Melton makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,22,27
90,1,1:28.0,,T. Johnson misses 2-pt jump shot from 17 ft,22,27
91,1,1:24.0,Defensive rebound by T. Jones,,22,27
92,1,1:18.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by T. Jones),,24,27
93,1,1:00.0,,A. Baynes makes 2-pt jump shot from 16 ft (assist by R. Rubio),24,29
94,1,0:44.0,T. Jones makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,27,29
95,1,0:34.0,,A. Baynes misses 3-pt jump shot from 26 ft,27,29
96,1,0:31.0,Defensive rebound by B. Clarke,,27,29
97,1,0:09.0,K. Anderson misses 2-pt jump shot from 13 ft,,27,29
98,1,0:07.0,,Defensive rebound by R. Rubio,27,29
99,1,0:03.0,,T. Johnson makes 2-pt layup from 2 ft (assist by R. Rubio),27,31
100,1,0:00.0,D. Melton misses 3-pt jump shot from 28 ft,,27,31
101,1,0:00.0,Offensive rebound by Team,,27,31
102,2,11:42.0,J. Valančiūnas makes 2-pt jump shot from 14 ft,,29,31
103,2,11:25.0,,D. Ayton misses 2-pt jump shot from 11 ft,29,31
104,2,11:23.0,Defensive rebound by J. Morant,,29,31
105,2,11:17.0,Personal foul by T. Johnson (drawn by G. Allen),,29,31
106,2,11:02.0,S. Hill makes 2-pt jump shot from 7 ft (assist by J. Valančiūnas),,31,31
107,2,10:48.0,,T. Johnson misses 2-pt jump shot from 13 ft,31,31
108,2,10:46.0,Defensive rebound by K. Anderson,,31,31
109,2,10:38.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Anderson),,34,31
110,2,10:24.0,,Personal foul by K. Anderson (drawn by M. Bridges),34,31
111,2,10:24.0,,K. Oubre enters the game for T. Johnson,34,31
112,2,10:19.0,,R. Rubio makes 2-pt jump shot from 17 ft,34,33
113,2,10:00.0,J. Morant makes 3-pt jump shot from 28 ft,,37,33
114,2,9:43.0,,D. Ayton misses 2-pt jump shot from 11 ft,37,33
115,2,9:41.0,Defensive rebound by J. Valančiūnas,,37,33
116,2,9:34.0,J. Morant misses 2-pt jump shot from 11 ft,,37,33
117,2,9:31.0,,Defensive rebound by D. Ayton,37,33
118,2,9:26.0,,R. Rubio misses 2-pt layup from 2 ft,37,33
119,2,9:21.0,,Offensive rebound by C. Johnson,37,33
120,2,9:21.0,,C. Johnson makes 2-pt dunk at rim,37,35
121,2,9:12.0,K. Anderson makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,40,35
122,2,8:55.0,,K. Oubre misses 2-pt jump shot from 10 ft,40,35
123,2,8:51.0,,Offensive rebound by K. Oubre,40,35
124,2,8:51.0,,K. Oubre makes 2-pt layup at rim,40,37
125,2,8:42.0,Offensive foul by J. Valančiūnas (drawn by M. Bridges),,40,37
126,2,8:42.0,Turnover by J. Valančiūnas (offensive foul),,40,37
127,2,8:42.0,D. Brooks enters the game for K. Anderson,,40,37
128,2,8:42.0,,D. Booker enters the game for C. Johnson,40,37
129,2,8:30.0,,K. Oubre misses 2-pt jump shot from 10 ft,40,37
130,2,8:29.0,Defensive rebound by D. Brooks,,40,37
131,2,8:18.0,D. Brooks makes 2-pt jump shot from 9 ft,,42,37
132,2,8:00.0,,D. Ayton makes 2-pt jump shot from 13 ft (assist by R. Rubio),42,39
133,2,7:42.0,J. Valančiūnas misses 3-pt jump shot from 26 ft,,42,39
134,2,7:40.0,,Defensive rebound by M. Bridges,42,39
135,2,7:34.0,,M. Bridges makes 2-pt jump shot from 6 ft,42,41
136,2,7:15.0,D. Brooks misses 3-pt jump shot from 25 ft,,42,41
137,2,7:12.0,Offensive rebound by J. Valančiūnas,,42,41
138,2,7:11.0,J. Valančiūnas makes 2-pt layup at rim,,44,41
139,2,7:06.0,,Phoenix full timeout,44,41
140,2,7:06.0,J. Jackson enters the game for J. Valančiūnas,,44,41
141,2,7:06.0,,E. Okobo enters the game for R. Rubio,44,41
142,2,6:52.0,,K. Oubre makes 2-pt jump shot from 9 ft (assist by M. Bridges),44,43
143,2,6:38.0,Turnover by J. Morant (lost ball; steal by M. Bridges),,44,43
144,2,6:33.0,,M. Bridges makes 2-pt dunk from 1 ft,44,45
145,2,6:17.0,Personal foul by D. Ayton (drawn by S. Hill),,44,45
146,2,6:17.0,T. Jones enters the game for J. Morant,,44,45
147,2,6:17.0,,A. Baynes enters the game for D. Ayton,44,45
148,2,6:07.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by S. Hill),,47,45
149,2,5:49.0,,Shooting foul by J. Jackson (drawn by A. Baynes),47,45
150,2,5:49.0,,A. Baynes makes free throw 1 of 2,47,46
151,2,5:49.0,,A. Baynes misses free throw 2 of 2,47,46
152,2,5:46.0,Defensive rebound by D. Brooks,,47,46
153,2,5:33.0,D. Brooks makes 3-pt jump shot from 29 ft (assist by S. Hill),,50,46
154,2,5:17.0,,E. Okobo makes 3-pt jump shot from 24 ft (assist by D. Booker),50,49
155,2,5:04.0,J. Jackson makes 2-pt dunk from 1 ft,,52,49
156,2,4:50.0,,E. Okobo makes 2-pt layup from 1 ft,52,51
157,2,4:42.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by G. Allen),,55,51
158,2,4:31.0,,Personal foul by J. Jackson (drawn by D. Booker),55,51
159,2,4:31.0,B. Clarke enters the game for G. Allen,,55,51
160,2,4:31.0,J. Crowder enters the game for S. Hill,,55,51
161,2,4:31.0,,C. Johnson enters the game for M. Bridges,55,51
162,2,4:26.0,,D. Booker misses 3-pt jump shot from 25 ft,55,51
163,2,4:22.0,Defensive rebound by B. Clarke,,55,51
164,2,4:14.0,J. Jackson misses 3-pt jump shot from 24 ft,,55,51
165,2,4:14.0,,Defensive rebound by K. Oubre,55,51
166,2,4:06.0,,E. Okobo misses 2-pt layup from 1 ft (block by J. Jackson),55,51
167,2,4:03.0,Defensive rebound by J. Jackson,,55,51
168,2,3:56.0,D. Brooks misses 3-pt jump shot from 27 ft,,55,51
169,2,3:53.0,,Defensive rebound by C. Johnson,55,51
170,2,3:44.0,,A. Baynes misses 3-pt jump shot from 27 ft,55,51
171,2,3:41.0,Defensive rebound by J. Crowder,,55,51
172,2,3:37.0,Memphis full timeout,,55,51
173,2,3:37.0,,D. Ayton enters the game for C. Johnson,55,51
174,2,3:37.0,,R. Rubio enters the game for E. Okobo,55,51
175,2,3:22.0,D. Brooks misses 2-pt layup from 7 ft,,55,51
176,2,3:20.0,,Defensive rebound by R. Rubio,55,51
177,2,3:20.0,,Turnover by R. Rubio (traveling),55,51
178,2,3:10.0,B. Clarke makes 2-pt layup from 11 ft (assist by J. Jackson),,57,51
179,2,2:53.0,,R. Rubio makes 2-pt jump shot from 17 ft,57,53
180,2,2:40.0,B. Clarke makes 2-pt layup from 2 ft (assist by D. Brooks),,59,53
181,2,2:22.0,,R. Rubio misses 3-pt jump shot from 25 ft,59,53
182,2,2:20.0,Defensive rebound by J. Jackson,,59,53
183,2,2:07.0,D. Brooks misses 3-pt jump shot from 25 ft,,59,53
184,2,2:04.0,,Defensive rebound by A. Baynes,59,53
185,2,1:53.0,,R. Rubio misses 3-pt jump shot from 25 ft,59,53
186,2,1:51.0,Defensive rebound by J. Crowder,,59,53
187,2,1:44.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Crowder),,62,53
188,2,1:22.0,,K. Oubre misses 3-pt jump shot from 23 ft,62,53
189,2,1:20.0,Defensive rebound by T. Jones,,62,53
190,2,1:14.0,J. Crowder misses 3-pt jump shot from 26 ft,,62,53
191,2,1:11.0,,Defensive rebound by D. Booker,62,53
192,2,1:06.0,,K. Oubre misses 2-pt layup from 2 ft (block by J. Jackson),62,53
193,2,1:03.0,Defensive rebound by D. Brooks,,62,53
194,2,1:00.0,D. Brooks misses 2-pt layup from 3 ft,,62,53
195,2,0:57.0,,Defensive rebound by D. Ayton,62,53
196,2,0:37.0,,D. Booker makes 2-pt jump shot from 17 ft,62,55
197,2,0:30.0,T. Jones misses 3-pt jump shot from 26 ft,,62,55
198,2,0:27.0,,Defensive rebound by D. Ayton,62,55
199,2,0:07.0,,D. Booker makes 2-pt layup from 2 ft,62,57
200,2,0:03.0,Personal take foul by R. Rubio (drawn by T. Jones),,62,57
201,2,0:03.0,J. Morant enters the game for J. Jackson,,62,57
202,2,0:03.0,J. Valančiūnas enters the game for T. Jones,,62,57
203,2,0:03.0,,M. Bridges enters the game for A. Baynes,62,57
204,2,0:00.0,D. Brooks misses 3-pt jump shot from 30 ft,,62,57
