,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:42.0,D. Russell misses 2-pt jump shot from 4 ft,,0,0
1,1,11:40.0,Offensive rebound by G. Robinson,,0,0
2,1,11:29.0,G. Robinson makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),,3,0
3,1,11:03.0,,Turnover by C. Anthony (bad pass; steal by D. Green),3,0
4,1,10:52.0,G. Robinson makes 3-pt jump shot from 25 ft (assist by D. Lee),,6,0
5,1,10:40.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),6,2
6,1,10:23.0,D. Russell misses 2-pt jump shot from 17 ft,,6,2
7,1,10:21.0,,Defensive rebound by H. Whiteside,6,2
8,1,10:15.0,,D. Lillard misses 3-pt jump shot from 29 ft,6,2
9,1,10:11.0,,Offensive rebound by H. Whiteside,6,2
10,1,10:09.0,,C. Anthony misses 3-pt jump shot from 26 ft,6,2
11,1,10:07.0,Defensive rebound by D. Lee,,6,2
12,1,9:55.0,Shooting foul by K. Bazemore (drawn by D. Green),,6,2
13,1,9:55.0,D. Green misses free throw 1 of 2,,6,2
14,1,9:55.0,Offensive rebound by Team,,6,2
15,1,9:55.0,D. Green makes free throw 2 of 2,,7,2
16,1,9:43.0,,Turnover by K. Bazemore (lost ball; steal by D. Russell),7,2
17,1,9:40.0,D. Russell misses 2-pt layup from 1 ft (block by K. Bazemore),,7,2
18,1,9:34.0,Offensive rebound by W. Cauley-Stein,,7,2
19,1,9:34.0,W. Cauley-Stein makes 2-pt dunk at rim,,9,2
20,1,9:26.0,,C. Anthony makes 2-pt jump shot from 14 ft,9,4
21,1,9:09.0,Turnover by W. Cauley-Stein (traveling),,9,4
22,1,9:01.0,,Offensive foul by D. Lillard (drawn by D. Green),9,4
23,1,9:01.0,,Turnover by D. Lillard (offensive foul),9,4
24,1,8:45.0,Turnover by D. Russell (bad pass; steal by K. Bazemore),,9,4
25,1,8:39.0,,Shooting foul by G. Robinson (drawn by C. McCollum),9,4
26,1,8:39.0,,C. McCollum makes free throw 1 of 2,9,5
27,1,8:39.0,,C. McCollum makes free throw 2 of 2,9,6
28,1,8:28.0,G. Robinson misses 3-pt jump shot from 23 ft,,9,6
29,1,8:24.0,,Defensive rebound by C. Anthony,9,6
30,1,8:18.0,,D. Lillard makes 2-pt layup from 2 ft,9,8
31,1,8:18.0,,Shooting foul by D. Lee (drawn by D. Lillard),9,8
32,1,8:18.0,,D. Lillard makes free throw 1 of 1,9,9
33,1,8:07.0,D. Russell makes 2-pt jump shot from 9 ft,,11,9
34,1,7:56.0,,C. McCollum misses 3-pt jump shot from 26 ft,11,9
