,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,T. Prince misses 2-pt jump shot from 12 ft,0,0
1,1,11:45.0,,Offensive rebound by T. Prince,0,0
2,1,11:44.0,,T. Prince makes 2-pt layup from 1 ft,0,2
3,1,11:32.0,B. Simmons makes 2-pt dunk at rim (assist by A. Horford),,2,2
4,1,11:21.0,,J. Harris misses 3-pt jump shot from 25 ft,2,2
5,1,11:19.0,Defensive rebound by T. Harris,,2,2
6,1,11:00.0,J. Richardson makes 2-pt jump shot from 13 ft,,4,2
7,1,10:48.0,,J. Allen misses 2-pt layup from 1 ft,4,2
8,1,10:46.0,Defensive rebound by A. Horford,,4,2
9,1,10:40.0,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Richardson),,7,2
10,1,10:21.0,,J. Harris makes 2-pt layup from 1 ft (assist by J. Allen),7,4
11,1,10:21.0,,Shooting foul by A. Horford (drawn by J. Harris),7,4
12,1,10:21.0,,J. Harris makes free throw 1 of 1,7,5
13,1,10:10.0,M. Thybulle misses 3-pt jump shot from 22 ft,,7,5
14,1,10:07.0,,Defensive rebound by T. Prince,7,5
15,1,9:56.0,,Turnover by J. Harris (bad pass),7,5
16,1,9:39.0,T. Harris makes 3-pt jump shot from 26 ft (assist by M. Thybulle),,10,5
17,1,9:25.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,10,5
18,1,9:21.0,Defensive rebound by T. Harris,,10,5
19,1,9:15.0,Turnover by B. Simmons (traveling),,10,5
20,1,9:01.0,,Turnover by J. Allen (bad pass; steal by B. Simmons),10,5
21,1,9:00.0,Shooting foul by S. Dinwiddie (drawn by B. Simmons),,10,5
22,1,9:00.0,B. Simmons misses free throw 1 of 2,,10,5
23,1,9:00.0,Offensive rebound by Team,,10,5
24,1,9:00.0,B. Simmons misses free throw 2 of 2,,10,5
25,1,8:58.0,,Defensive rebound by T. Prince,10,5
26,1,8:44.0,,J. Harris misses 3-pt jump shot from 26 ft,10,5
27,1,8:42.0,,Offensive rebound by T. Prince,10,5
28,1,8:39.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),10,8
29,1,8:28.0,J. Richardson makes 2-pt jump shot from 14 ft (assist by B. Simmons),,12,8
30,1,8:13.0,,G. Temple misses 3-pt jump shot from 23 ft,12,8
31,1,8:11.0,Defensive rebound by M. Thybulle,,12,8
32,1,7:56.0,J. Richardson misses 2-pt layup from 9 ft,,12,8
33,1,7:53.0,Offensive rebound by A. Horford,,12,8
34,1,7:53.0,A. Horford misses 2-pt layup at rim,,12,8
35,1,7:51.0,,Defensive rebound by J. Allen,12,8
36,1,7:43.0,,Turnover by J. Allen (lost ball; steal by B. Simmons),12,8
37,1,7:33.0,T. Harris misses 3-pt jump shot from 25 ft,,12,8
38,1,7:30.0,,Defensive rebound by T. Prince,12,8
39,1,7:21.0,,Personal foul by T. Harris (drawn by J. Allen),12,8
40,1,7:15.0,,S. Dinwiddie misses 2-pt layup from 8 ft,12,8
41,1,7:12.0,Defensive rebound by B. Simmons,,12,8
42,1,7:06.0,Personal foul by J. Harris (drawn by A. Horford),,12,8
43,1,6:51.0,M. Thybulle misses 3-pt jump shot from 25 ft,,12,8
44,1,6:46.0,,Defensive rebound by T. Prince,12,8
45,1,6:39.0,,Shooting foul by A. Horford (drawn by S. Dinwiddie),12,8
46,1,6:39.0,,Brooklyn full timeout,12,8
47,1,6:39.0,F. Korkmaz enters the game for J. Richardson,,12,8
48,1,6:39.0,,C. LeVert enters the game for G. Temple,12,8
49,1,6:39.0,,S. Dinwiddie makes free throw 1 of 2,12,9
50,1,6:39.0,,S. Dinwiddie makes free throw 2 of 2,12,10
51,1,6:28.0,T. Harris makes 2-pt dunk from 2 ft (assist by B. Simmons),,14,10
52,1,6:10.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,14,13
53,1,5:59.0,Personal foul by C. LeVert (drawn by B. Simmons),,14,13
54,1,5:59.0,K. O'Quinn enters the game for A. Horford,,14,13
55,1,5:50.0,Offensive foul by F. Korkmaz (drawn by C. LeVert),,14,13
56,1,5:50.0,Turnover by F. Korkmaz (offensive foul),,14,13
57,1,5:39.0,,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),14,15
58,1,5:27.0,K. O'Quinn makes 3-pt jump shot from 25 ft (assist by B. Simmons),,17,15
59,1,5:01.0,,S. Dinwiddie misses 2-pt jump shot from 3 ft,17,15
60,1,4:57.0,,Offensive rebound by J. Allen,17,15
61,1,4:57.0,,J. Allen makes 2-pt layup from 1 ft,17,17
62,1,4:40.0,T. Harris misses 2-pt jump shot from 10 ft,,17,17
63,1,4:38.0,,Defensive rebound by J. Allen,17,17
64,1,4:31.0,,S. Dinwiddie misses 2-pt layup from 5 ft,17,17
65,1,4:29.0,Defensive rebound by B. Simmons,,17,17
66,1,4:25.0,B. Simmons misses 2-pt layup from 5 ft,,17,17
67,1,4:22.0,Offensive rebound by B. Simmons,,17,17
68,1,4:22.0,B. Simmons makes 2-pt layup at rim,,19,17
69,1,4:15.0,,Offensive foul by T. Prince (drawn by F. Korkmaz),19,17
70,1,4:15.0,,Turnover by T. Prince (offensive foul),19,17
71,1,4:15.0,,N. Claxton enters the game for J. Allen,19,17
72,1,4:15.0,,R. Kurucs enters the game for T. Prince,19,17
73,1,4:02.0,T. Harris misses 3-pt jump shot from 25 ft,,19,17
74,1,3:58.0,,Defensive rebound by J. Harris,19,17
75,1,3:45.0,,C. LeVert makes 2-pt jump shot from 10 ft,19,19
76,1,3:44.0,Philadelphia full timeout,,19,19
77,1,3:44.0,J. Richardson enters the game for T. Harris,,19,19
78,1,3:44.0,M. Scott enters the game for M. Thybulle,,19,19
79,1,3:44.0,,T. Luwawu-Cabarrot enters the game for S. Dinwiddie,19,19
80,1,3:44.0,,D. Musa enters the game for J. Harris,19,19
81,1,3:32.0,J. Richardson makes 2-pt jump shot from 18 ft,,21,19
82,1,3:15.0,,C. LeVert misses 2-pt jump shot from 11 ft,21,19
83,1,3:11.0,Defensive rebound by M. Scott,,21,19
84,1,3:04.0,Personal foul by D. Musa (drawn by B. Simmons),,21,19
85,1,2:54.0,B. Simmons makes 2-pt hook shot from 8 ft (assist by J. Richardson),,23,19
86,1,2:45.0,,Shooting foul by K. O'Quinn (drawn by N. Claxton),23,19
87,1,2:45.0,,N. Claxton misses free throw 1 of 2,23,19
88,1,2:45.0,,Offensive rebound by Team,23,19
89,1,2:45.0,,N. Claxton makes free throw 2 of 2,23,20
90,1,2:35.0,Personal foul by T. Luwawu-Cabarrot (drawn by B. Simmons),,23,20
91,1,2:35.0,B. Simmons makes free throw 1 of 2,,24,20
92,1,2:35.0,B. Simmons makes free throw 2 of 2,,25,20
93,1,2:20.0,,Shooting foul by K. O'Quinn (drawn by R. Kurucs),25,20
94,1,2:20.0,,R. Kurucs makes free throw 1 of 2,25,21
95,1,2:20.0,R. Neto enters the game for B. Simmons,,25,21
96,1,2:20.0,,R. Kurucs makes free throw 2 of 2,25,22
97,1,2:08.0,K. O'Quinn misses 3-pt jump shot from 25 ft,,25,22
98,1,2:05.0,Offensive rebound by M. Scott,,25,22
99,1,2:05.0,M. Scott misses 2-pt layup at rim,,25,22
100,1,2:05.0,,Defensive rebound by Team,25,22
101,1,1:53.0,,C. LeVert makes 2-pt layup from 1 ft,25,24
102,1,1:41.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),,28,24
103,1,1:27.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by C. LeVert),28,27
104,1,1:05.0,K. O'Quinn misses 2-pt hook shot from 3 ft,,28,27
105,1,1:04.0,,Defensive rebound by Team,28,27
106,1,1:04.0,Loose ball foul by M. Scott (drawn by T. Luwawu-Cabarrot),,28,27
107,1,1:04.0,,T. Luwawu-Cabarrot makes free throw 1 of 2,28,28
108,1,1:04.0,,T. Luwawu-Cabarrot misses free throw 2 of 2,28,28
109,1,1:00.0,,Offensive rebound by N. Claxton,28,28
110,1,0:59.0,,D. Musa misses 3-pt jump shot from 25 ft,28,28
111,1,0:56.0,Defensive rebound by K. O'Quinn,,28,28
112,1,0:47.0,Shooting foul by C. LeVert (drawn by F. Korkmaz),,28,28
113,1,0:47.0,F. Korkmaz misses free throw 1 of 2,,28,28
114,1,0:47.0,Offensive rebound by Team,,28,28
115,1,0:47.0,F. Korkmaz makes free throw 2 of 2,,29,28
116,1,0:36.0,,C. LeVert makes 2-pt jump shot from 10 ft,29,30
117,1,0:28.0,R. Neto misses 3-pt jump shot from 25 ft,,29,30
118,1,0:25.0,,Defensive rebound by Team,29,30
119,1,0:04.0,,N. Claxton makes 2-pt layup from 1 ft (assist by C. LeVert),29,32
120,1,0:00.0,R. Neto misses 3-pt jump shot from 25 ft,,29,32
121,1,0:00.0,Offensive rebound by Team,,29,32
122,2,11:44.0,Turnover by J. Bolden (bad pass; steal by D. Musa),,29,32
123,2,11:39.0,,Personal foul by J. Bolden (drawn by D. Musa),29,32
124,2,11:32.0,,N. Claxton makes 2-pt layup from 1 ft,29,34
125,2,11:23.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by R. Neto),,32,34
126,2,11:05.0,,D. Musa misses 2-pt layup from 3 ft,32,34
127,2,11:02.0,,Offensive rebound by N. Claxton,32,34
128,2,11:02.0,,N. Claxton makes 2-pt jump shot from 1 ft,32,36
129,2,11:02.0,,Shooting foul by J. Bolden (drawn by N. Claxton),32,36
130,2,11:02.0,,N. Claxton makes free throw 1 of 1,32,37
131,2,10:51.0,Turnover by J. Ennis (lost ball; steal by R. Kurucs),,32,37
132,2,10:42.0,,Shooting foul by J. Ennis (drawn by C. LeVert),32,37
133,2,10:42.0,,C. LeVert makes free throw 1 of 2,32,38
134,2,10:42.0,B. Simmons enters the game for R. Neto,,32,38
135,2,10:42.0,,C. LeVert misses free throw 2 of 2,32,38
136,2,10:39.0,,Offensive rebound by N. Claxton,32,38
137,2,10:30.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by R. Kurucs),32,41
138,2,10:08.0,J. Ennis misses 3-pt jump shot from 25 ft,,32,41
139,2,10:04.0,,Defensive rebound by C. LeVert,32,41
140,2,9:58.0,,N. Claxton makes 3-pt jump shot from 25 ft (assist by C. LeVert),32,44
141,2,9:57.0,Philadelphia full timeout,,32,44
142,2,9:44.0,J. Richardson makes 2-pt hook shot from 6 ft,,34,44
143,2,9:31.0,,D. Musa misses 3-pt jump shot from 25 ft,34,44
144,2,9:28.0,Defensive rebound by B. Simmons,,34,44
145,2,9:10.0,Shooting foul by D. Musa (drawn by J. Ennis),,34,44
146,2,9:10.0,J. Ennis makes free throw 1 of 2,,35,44
147,2,9:10.0,,S. Dinwiddie enters the game for C. LeVert,35,44
148,2,9:10.0,,G. Temple enters the game for D. Musa,35,44
149,2,9:10.0,J. Ennis makes free throw 2 of 2,,36,44
150,2,8:56.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by N. Claxton),36,46
151,2,8:49.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by B. Simmons),,39,46
152,2,8:33.0,,R. Kurucs makes 3-pt jump shot from 25 ft (assist by N. Claxton),39,49
153,2,8:22.0,J. Bolden makes 2-pt layup from 2 ft (assist by J. Ennis),,41,49
154,2,8:08.0,,N. Claxton makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),41,51
155,2,7:59.0,Turnover by B. Simmons (bad pass),,41,51
156,2,7:48.0,,G. Temple misses 3-pt jump shot from 25 ft,41,51
157,2,7:44.0,Defensive rebound by T. Harris,,41,51
158,2,7:30.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Simmons),,41,51
159,2,7:30.0,B. Simmons makes free throw 1 of 2,,42,51
160,2,7:30.0,A. Horford enters the game for J. Bolden,,42,51
161,2,7:30.0,F. Korkmaz enters the game for J. Ennis,,42,51
162,2,7:30.0,M. Thybulle enters the game for J. Richardson,,42,51
163,2,7:30.0,,J. Allen enters the game for N. Claxton,42,51
164,2,7:30.0,,J. Harris enters the game for R. Kurucs,42,51
165,2,7:30.0,,T. Prince enters the game for T. Luwawu-Cabarrot,42,51
166,2,7:30.0,B. Simmons makes free throw 2 of 2,,43,51
