,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
70,1,3:46.0,Defensive rebound by C. Capela,,16,15
71,1,3:34.0,J. Harden misses 2-pt jump shot from 5 ft,,16,15
72,1,3:28.0,Offensive rebound by C. Capela,,16,15
73,1,3:28.0,C. Capela makes 2-pt layup from 1 ft,,18,15
74,1,3:17.0,,M. Carter-Williams misses 3-pt jump shot from 25 ft,18,15
75,1,3:13.0,Defensive rebound by C. Capela,,18,15
76,1,3:04.0,Personal foul by J. Isaac (drawn by A. Rivers),,18,15
77,1,3:04.0,T. Sefolosha enters the game for P. Tucker,,18,15
78,1,3:04.0,,M. Bamba enters the game for K. Birch,18,15
79,1,3:04.0,,A. Gordon enters the game for J. Isaac,18,15
80,1,2:56.0,J. Harden makes 3-pt jump shot from 26 ft,,21,15
81,1,2:36.0,,M. Carter-Williams makes 2-pt layup from 4 ft,21,17
82,1,2:24.0,C. Capela misses 2-pt layup from 6 ft (block by T. Ross),,21,17
83,1,2:21.0,,Defensive rebound by T. Ross,21,17
84,1,2:18.0,,D. Augustin misses 2-pt layup from 3 ft,21,17
85,1,2:17.0,,Offensive rebound by M. Carter-Williams,21,17
86,1,2:17.0,,M. Carter-Williams misses 2-pt layup at rim,21,17
87,1,2:16.0,,Offensive rebound by M. Bamba,21,17
88,1,2:15.0,,M. Bamba misses 2-pt layup from 2 ft,21,17
89,1,2:14.0,,Offensive rebound by M. Bamba,21,17
90,1,2:12.0,,M. Bamba misses 2-pt layup at rim,21,17
91,1,2:12.0,,Offensive rebound by Team,21,17
92,1,2:12.0,Houston full timeout,,21,17
93,1,2:12.0,I. Hartenstein enters the game for C. Capela,,21,17
94,1,2:12.0,R. Westbrook enters the game for J. Harden,,21,17
95,1,2:00.0,,A. Gordon misses 2-pt jump shot from 22 ft,21,17
96,1,1:57.0,Defensive rebound by T. Sefolosha,,21,17
97,1,1:56.0,R. Westbrook makes 2-pt dunk from 1 ft,,23,17
98,1,1:34.0,,M. Bamba makes 3-pt jump shot from 28 ft (assist by T. Ross),23,20
99,1,1:16.0,B. McLemore misses 3-pt jump shot from 25 ft (block by T. Ross),,23,20
100,1,1:16.0,,Defensive rebound by M. Bamba,23,20
101,1,1:10.0,,T. Ross makes 2-pt dunk from 2 ft (assist by M. Bamba),23,22
102,1,1:02.0,Personal foul by D. Augustin (drawn by A. Rivers),,23,22
103,1,0:53.0,I. Hartenstein misses 2-pt layup from 2 ft (block by M. Carter-Williams),,23,22
104,1,0:50.0,,Defensive rebound by Team,23,22
105,1,0:50.0,Loose ball foul by I. Hartenstein (drawn by M. Bamba),,23,22
106,1,0:34.0,,D. Augustin misses 3-pt jump shot from 26 ft,23,22
107,1,0:30.0,Defensive rebound by B. McLemore,,23,22
108,1,0:28.0,R. Westbrook makes 2-pt dunk at rim,,25,22
109,1,0:05.0,,Turnover by M. Carter-Williams (lost ball; steal by I. Hartenstein),25,22
110,1,0:01.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,28,22
111,2,11:41.0,,Turnover by M. Carter-Williams (out of bounds lost ball),28,22
112,2,11:29.0,A. Rivers misses 3-pt jump shot from 26 ft,,28,22
113,2,11:26.0,,Defensive rebound by D. Augustin,28,22
114,2,11:15.0,,A. Gordon makes 2-pt layup from 2 ft (assist by D. Augustin),28,24
115,2,10:59.0,Turnover by T. Sefolosha (traveling),,28,24
116,2,10:48.0,,A. Gordon makes 2-pt layup from 1 ft (assist by T. Ross),28,26
117,2,10:39.0,Turnover by B. McLemore (bad pass; steal by T. Ross),,28,26
118,2,10:35.0,,A. Gordon makes 2-pt layup from 1 ft,28,28
119,2,10:35.0,Violation by Team (def goaltending),,28,28
120,2,10:35.0,Houston full timeout,,28,28
121,2,10:35.0,G. Clark enters the game for I. Hartenstein,,28,28
122,2,10:35.0,D. House enters the game for A. Rivers,,28,28
123,2,10:35.0,P. Tucker enters the game for T. Sefolosha,,28,28
124,2,10:24.0,G. Clark makes 3-pt jump shot from 23 ft (assist by B. McLemore),,31,28
125,2,10:04.0,,T. Ross misses 3-pt jump shot from 25 ft,31,28
126,2,10:00.0,Defensive rebound by D. House,,31,28
127,2,9:53.0,G. Clark misses 3-pt jump shot from 23 ft,,31,28
128,2,9:50.0,,Defensive rebound by A. Gordon,31,28
129,2,9:42.0,,A. Gordon misses 2-pt hook shot from 8 ft,31,28
130,2,9:40.0,Defensive rebound by G. Clark,,31,28
131,2,9:36.0,R. Westbrook makes 2-pt layup from 1 ft,,33,28
132,2,9:20.0,,M. Bamba misses 2-pt layup from 1 ft,33,28
133,2,9:20.0,Defensive rebound by Team,,33,28
134,2,9:10.0,R. Westbrook makes 2-pt layup from 2 ft,,35,28
135,2,9:03.0,,Orlando full timeout,35,28
136,2,8:51.0,,T. Ross misses 2-pt jump shot from 15 ft,35,28
137,2,8:48.0,Defensive rebound by P. Tucker,,35,28
138,2,8:39.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,38,28
139,2,8:19.0,,T. Ross makes 2-pt layup from 6 ft (assist by A. Gordon),38,30
140,2,8:10.0,Turnover by R. Westbrook (traveling),,38,30
141,2,8:10.0,J. Harden enters the game for R. Westbrook,,38,30
