,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,,K. Middleton makes 2-pt jump shot from 15 ft,0,2
1,1,11:22.0,P. George misses 3-pt jump shot from 29 ft,,0,2
2,1,11:20.0,,Defensive rebound by G. Antetokounmpo,0,2
3,1,11:15.0,,Turnover by G. Antetokounmpo (lost ball; steal by M. Harkless),0,2
4,1,11:11.0,Personal foul by G. Antetokounmpo (drawn by P. Beverley),,0,2
5,1,11:00.0,Turnover by I. Zubac (bad pass),,0,2
6,1,10:48.0,,E. Bledsoe misses 2-pt jump shot from 13 ft,0,2
7,1,10:45.0,Defensive rebound by I. Zubac,,0,2
8,1,10:36.0,M. Harkless misses 3-pt jump shot from 23 ft,,0,2
9,1,10:33.0,,Defensive rebound by K. Middleton,0,2
10,1,10:27.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,2
11,1,10:24.0,Defensive rebound by I. Zubac,,0,2
12,1,10:14.0,P. George misses 2-pt jump shot from 13 ft,,0,2
13,1,10:11.0,Offensive rebound by I. Zubac,,0,2
14,1,10:07.0,Personal foul by W. Matthews (drawn by K. Leonard),,0,2
15,1,9:57.0,K. Leonard misses 2-pt jump shot from 15 ft,,0,2
16,1,9:54.0,,Defensive rebound by G. Antetokounmpo,0,2
17,1,9:45.0,,B. Lopez misses 3-pt jump shot from 28 ft,0,2
18,1,9:42.0,Defensive rebound by P. George,,0,2
19,1,9:35.0,P. George makes 2-pt jump shot from 15 ft,,2,2
20,1,9:20.0,,K. Middleton makes 2-pt layup from 1 ft,2,4
21,1,9:03.0,K. Leonard makes 3-pt jump shot from 27 ft,,5,4
22,1,8:50.0,,W. Matthews misses 3-pt jump shot from 26 ft,5,4
23,1,8:48.0,,Offensive rebound by G. Antetokounmpo,5,4
24,1,8:39.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,5,4
25,1,8:37.0,Defensive rebound by P. Beverley,,5,4
26,1,8:31.0,I. Zubac makes 2-pt dunk from 1 ft (assist by M. Harkless),,7,4
27,1,8:18.0,,B. Lopez misses 3-pt jump shot from 24 ft,7,4
28,1,8:16.0,Defensive rebound by P. George,,7,4
29,1,8:13.0,Turnover by P. Beverley (step out of bounds),,7,4
30,1,7:58.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),7,6
31,1,7:43.0,M. Harkless misses 3-pt jump shot from 28 ft,,7,6
32,1,7:41.0,,Defensive rebound by K. Middleton,7,6
33,1,7:30.0,,B. Lopez misses 3-pt jump shot from 27 ft,7,6
34,1,7:27.0,Defensive rebound by I. Zubac,,7,6
35,1,7:14.0,K. Leonard misses 2-pt jump shot from 13 ft,,7,6
36,1,7:12.0,,Defensive rebound by W. Matthews,7,6
37,1,7:01.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,7,6
38,1,6:57.0,Defensive rebound by M. Harkless,,7,6
39,1,6:51.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by K. Leonard),,10,6
40,1,6:51.0,,Milwaukee full timeout,10,6
41,1,6:35.0,,B. Lopez misses 2-pt layup from 4 ft,10,6
42,1,6:32.0,Defensive rebound by M. Harkless,,10,6
43,1,6:32.0,Turnover by M. Harkless (bad pass),,10,6
44,1,6:17.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,10,8
45,1,5:56.0,P. Beverley misses 3-pt jump shot from 27 ft,,10,8
46,1,5:53.0,Offensive rebound by P. Beverley,,10,8
47,1,5:48.0,K. Leonard misses 2-pt jump shot from 13 ft,,10,8
48,1,5:46.0,,Defensive rebound by W. Matthews,10,8
49,1,5:35.0,,B. Lopez misses 2-pt hook shot from 5 ft,10,8
50,1,5:33.0,Defensive rebound by P. George,,10,8
51,1,5:28.0,P. George misses 2-pt jump shot from 14 ft,,10,8
52,1,5:28.0,Offensive rebound by Team,,10,8
53,1,5:28.0,Personal foul by B. Lopez (drawn by I. Zubac),,10,8
54,1,5:28.0,L. Williams enters the game for M. Harkless,,10,8
55,1,5:28.0,,P. Connaughton enters the game for G. Antetokounmpo,10,8
