,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
0,1,11:44.0,,Shooting foul by G. Robinson (drawn by L. Dončić),0,0
1,1,11:44.0,,Instant Replay (Request: Ruling Stands),0,0
2,1,11:44.0,,L. Dončić makes free throw 1 of 3,0,1
3,1,11:44.0,,L. Dončić makes free throw 2 of 3,0,2
4,1,11:44.0,,L. Dončić makes free throw 3 of 3,0,3
5,1,11:33.0,A. Burks misses 2-pt jump shot from 21 ft,,0,3
6,1,11:30.0,,Defensive rebound by Team,0,3
7,1,11:10.0,,L. Dončić makes 3-pt jump shot from 28 ft (assist by T. Hardaway),0,6
8,1,10:49.0,E. Paschall misses 2-pt jump shot from 21 ft,,0,6
9,1,10:46.0,Offensive rebound by K. Bowman,,0,6
10,1,10:37.0,E. Paschall misses 2-pt jump shot from 17 ft,,0,6
11,1,10:34.0,,Defensive rebound by K. Porziņģis,0,6
12,1,10:27.0,,T. Hardaway makes 2-pt layup at rim (assist by L. Dončić),0,8
13,1,10:26.0,Golden State full timeout,,0,8
14,1,10:12.0,A. Burks makes 2-pt jump shot from 9 ft (assist by K. Bowman),,2,8
15,1,9:56.0,,Turnover by L. Dončić (lost ball; steal by A. Burks),2,8
16,1,9:53.0,Shooting foul by K. Porziņģis (drawn by W. Cauley-Stein),,2,8
17,1,9:53.0,Instant Replay (Request: Ruling Stands),,2,8
18,1,9:53.0,W. Cauley-Stein misses free throw 1 of 2,,2,8
19,1,9:53.0,Offensive rebound by Team,,2,8
20,1,9:53.0,W. Cauley-Stein makes free throw 2 of 2,,3,8
21,1,9:38.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Powell),3,11
22,1,9:18.0,E. Paschall misses 3-pt jump shot from 26 ft,,3,11
23,1,9:16.0,,Defensive rebound by L. Dončić,3,11
24,1,9:11.0,,K. Porziņģis misses 3-pt jump shot from 28 ft,3,11
25,1,9:08.0,,Offensive rebound by D. Finney-Smith,3,11
26,1,9:06.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),3,14
27,1,8:51.0,G. Robinson makes 2-pt jump shot from 12 ft,,5,14
28,1,8:40.0,,L. Dončić makes 3-pt jump shot from 26 ft,5,17
29,1,8:20.0,E. Paschall makes 2-pt layup from 2 ft (assist by A. Burks),,7,17
30,1,8:09.0,,K. Porziņģis misses 2-pt layup from 2 ft,7,17
31,1,8:08.0,,Offensive rebound by K. Porziņģis,7,17
32,1,8:04.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),7,20
33,1,7:43.0,G. Robinson misses 2-pt jump shot from 17 ft,,7,20
34,1,7:41.0,,Defensive rebound by L. Dončić,7,20
35,1,7:30.0,,L. Dončić makes 2-pt dunk from 1 ft (assist by K. Porziņģis),7,22
36,1,7:17.0,Personal foul by D. Finney-Smith (drawn by A. Burks),,7,22
37,1,7:11.0,G. Robinson misses 3-pt jump shot from 25 ft,,7,22
38,1,7:07.0,,Defensive rebound by D. Finney-Smith,7,22
39,1,7:00.0,,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by L. Dončić),7,24
40,1,6:43.0,E. Paschall misses 3-pt jump shot from 25 ft,,7,24
41,1,6:39.0,,Defensive rebound by K. Porziņģis,7,24
