,QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
0,1,11:36.0,,B. Hield makes 2-pt jump shot from 18 ft (assist by H. Barnes),0,2
1,1,11:20.0,Turnover by J. Brown (lost ball; steal by H. Barnes),,0,2
2,1,11:16.0,,B. Hield misses 2-pt layup from 2 ft (block by J. Tatum),0,2
3,1,11:13.0,Defensive rebound by J. Brown,,0,2
4,1,11:10.0,M. Smart misses 3-pt jump shot from 24 ft,,0,2
5,1,11:06.0,Offensive rebound by J. Brown,,0,2
6,1,10:57.0,D. Theis makes 2-pt hook shot from 3 ft (assist by K. Walker),,2,2
7,1,10:57.0,Shooting foul by R. Holmes (drawn by D. Theis),,2,2
8,1,10:57.0,D. Theis makes free throw 1 of 1,,3,2
9,1,10:33.0,,N. Bjelica makes 2-pt jump shot from 16 ft (assist by C. Joseph),3,4
10,1,10:15.0,D. Theis misses 2-pt layup from 3 ft (block by N. Bjelica),,3,4
11,1,10:12.0,,Defensive rebound by N. Bjelica,3,4
12,1,10:05.0,,R. Holmes makes 2-pt dunk from 2 ft (assist by N. Bjelica),3,6
13,1,9:48.0,J. Brown makes 3-pt jump shot from 26 ft (assist by K. Walker),,6,6
14,1,9:30.0,,C. Joseph misses 2-pt jump shot from 15 ft,6,6
15,1,9:27.0,Defensive rebound by D. Theis,,6,6
16,1,9:21.0,J. Tatum misses 3-pt jump shot from 23 ft,,6,6
17,1,9:18.0,,Defensive rebound by B. Hield,6,6
18,1,9:15.0,,B. Hield misses 3-pt jump shot from 25 ft,6,6
19,1,9:11.0,Defensive rebound by J. Brown,,6,6
20,1,9:04.0,K. Walker makes 2-pt layup from 2 ft (assist by M. Smart),,8,6
21,1,8:41.0,,H. Barnes makes 3-pt jump shot from 25 ft,8,9
22,1,8:26.0,Turnover by D. Theis (bad pass),,8,9
23,1,8:19.0,,R. Holmes misses 2-pt jump shot from 17 ft,8,9
24,1,8:16.0,Defensive rebound by J. Tatum,,8,9
25,1,8:09.0,J. Tatum makes 2-pt layup from 2 ft,,10,9
26,1,7:43.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),10,11
27,1,7:29.0,Turnover by J. Brown (lost ball; steal by B. Hield),,10,11
28,1,7:26.0,,Turnover by B. Hield (lost ball; steal by J. Brown),10,11
29,1,7:22.0,K. Walker misses 3-pt jump shot from 27 ft,,10,11
30,1,7:19.0,,Defensive rebound by N. Bjelica,10,11
31,1,7:13.0,,N. Bjelica misses 3-pt jump shot from 27 ft,10,11
