,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft (assist by T. Ferguson),0,2
1,1,11:23.0,Turnover by M. Gasol (lost ball; steal by C. Paul),,0,2
2,1,11:20.0,,C. Paul makes 2-pt layup from 1 ft (assist by S. Adams),0,4
3,1,11:08.0,K. Lowry makes 2-pt jump shot from 21 ft,,2,4
4,1,10:58.0,,Turnover by S. Adams (bad pass; steal by O. Anunoby),2,4
5,1,10:41.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by P. Siakam),,5,4
6,1,10:28.0,,Personal foul by M. Gasol (drawn by S. Adams),5,4
7,1,10:14.0,,D. Gallinari misses 3-pt jump shot from 27 ft,5,4
8,1,10:14.0,,Offensive rebound by Team,5,4
9,1,10:14.0,,Turnover by Team (shot clock),5,4
10,1,10:00.0,K. Lowry makes 2-pt jump shot from 16 ft,,7,4
11,1,9:45.0,,Turnover by D. Gallinari (bad pass; steal by O. Anunoby),7,4
12,1,9:38.0,S. Ibaka makes 2-pt layup from 3 ft (assist by K. Lowry),,9,4
13,1,9:29.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by C. Paul),9,7
14,1,9:17.0,K. Lowry misses 3-pt jump shot from 25 ft,,9,7
15,1,9:15.0,,Defensive rebound by S. Adams,9,7
16,1,9:07.0,,T. Ferguson misses 3-pt jump shot from 24 ft,9,7
17,1,9:06.0,,Offensive rebound by Team,9,7
18,1,9:06.0,Loose ball foul by P. Siakam (drawn by S. Adams),,9,7
19,1,8:53.0,,D. Gallinari misses 3-pt jump shot from 27 ft,9,7
20,1,8:50.0,Defensive rebound by O. Anunoby,,9,7
21,1,8:38.0,P. Siakam makes 2-pt layup from 3 ft,,11,7
22,1,8:25.0,,D. Gallinari makes 2-pt layup from 3 ft,11,9
23,1,8:25.0,,Shooting foul by K. Lowry (drawn by D. Gallinari),11,9
24,1,8:25.0,,D. Gallinari makes free throw 1 of 1,11,10
25,1,8:09.0,P. Siakam misses 2-pt jump shot from 11 ft,,11,10
26,1,8:07.0,,Defensive rebound by S. Adams,11,10
27,1,7:55.0,,Turnover by C. Paul (bad pass; steal by M. Gasol),11,10
28,1,7:50.0,S. Ibaka makes 2-pt layup from 1 ft (assist by P. Siakam),,13,10
29,1,7:29.0,,D. Gallinari makes 2-pt jump shot from 4 ft,13,12
30,1,7:19.0,O. Anunoby misses 3-pt jump shot from 23 ft,,13,12
