,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:33.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by I. Zubac),0,3
1,1,11:16.0,J. Brown misses 3-pt jump shot from 27 ft,,0,3
2,1,11:13.0,,Defensive rebound by P. Beverley,0,3
3,1,11:06.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,3
4,1,11:03.0,Defensive rebound by D. Theis,,0,3
5,1,10:50.0,K. Walker misses 2-pt layup from 5 ft (block by P. Beverley),,0,3
6,1,10:46.0,Offensive rebound by K. Walker,,0,3
7,1,10:45.0,J. Brown misses 3-pt jump shot from 26 ft,,0,3
8,1,10:42.0,,Defensive rebound by K. Leonard,0,3
9,1,10:25.0,,Turnover by P. George (bad pass; steal by J. Tatum),0,3
10,1,10:16.0,K. Walker misses 3-pt jump shot from 26 ft,,0,3
11,1,10:13.0,,Defensive rebound by P. George,0,3
12,1,10:04.0,,P. George makes 3-pt jump shot from 28 ft (assist by K. Leonard),0,6
13,1,9:45.0,M. Smart misses 3-pt jump shot from 26 ft,,0,6
14,1,9:43.0,Offensive rebound by M. Smart,,0,6
15,1,9:41.0,M. Smart misses 3-pt jump shot from 23 ft,,0,6
16,1,9:41.0,,Defensive rebound by P. Beverley,0,6
17,1,9:34.0,,P. George misses 3-pt jump shot from 25 ft,0,6
18,1,9:33.0,,Offensive rebound by I. Zubac,0,6
19,1,9:33.0,,Personal foul by J. Tatum (drawn by I. Zubac),0,6
20,1,9:24.0,,K. Leonard misses 3-pt jump shot from 27 ft,0,6
21,1,9:20.0,Defensive rebound by D. Theis,,0,6
22,1,9:10.0,J. Tatum misses 2-pt jump shot from 18 ft,,0,6
23,1,9:07.0,,Defensive rebound by P. Beverley,0,6
24,1,8:51.0,,K. Leonard misses 2-pt jump shot from 15 ft,0,6
25,1,8:49.0,Defensive rebound by K. Walker,,0,6
26,1,8:41.0,K. Walker makes 2-pt layup from 2 ft,,2,6
27,1,8:24.0,,Shooting foul by J. Brown (drawn by I. Zubac),2,6
28,1,8:24.0,,I. Zubac misses free throw 1 of 2,2,6
29,1,8:24.0,,Offensive rebound by Team,2,6
30,1,8:24.0,,I. Zubac misses free throw 2 of 2,2,6
31,1,8:21.0,Defensive rebound by J. Tatum,,2,6
32,1,8:09.0,K. Walker misses 3-pt jump shot from 26 ft,,2,6
33,1,8:05.0,,Defensive rebound by I. Zubac,2,6
34,1,8:03.0,,Personal foul by K. Walker (drawn by M. Harkless),2,6
35,1,7:55.0,,Turnover by P. George (lost ball; steal by K. Walker),2,6
36,1,7:52.0,D. Theis makes 2-pt layup from 1 ft (assist by K. Walker),,4,6
37,1,7:38.0,,I. Zubac makes 2-pt dunk at rim (assist by K. Leonard),4,8
38,1,7:14.0,J. Tatum makes 2-pt hook shot from 3 ft,,6,8
39,1,7:02.0,,P. George makes 2-pt jump shot from 7 ft (assist by P. Beverley),6,10
40,1,6:51.0,Shooting foul by P. George (drawn by J. Brown),,6,10
41,1,6:51.0,,LA Clippers full timeout,6,10
42,1,6:51.0,B. Wanamaker enters the game for M. Smart,,6,10
43,1,6:51.0,J. Brown makes free throw 1 of 2,,7,10
44,1,6:51.0,J. Brown misses free throw 2 of 2,,7,10
45,1,6:49.0,,Defensive rebound by P. George,7,10
46,1,6:34.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by P. George),7,12
47,1,6:08.0,B. Wanamaker misses 3-pt jump shot from 24 ft,,7,12
48,1,6:05.0,,Defensive rebound by P. George,7,12
49,1,6:01.0,,K. Leonard misses 3-pt jump shot from 26 ft,7,12
50,1,5:58.0,Defensive rebound by K. Walker,,7,12
51,1,5:49.0,K. Walker misses 3-pt jump shot from 24 ft,,7,12
52,1,5:48.0,,Defensive rebound by I. Zubac,7,12
53,1,5:39.0,,Turnover by K. Leonard (bad pass; steal by D. Theis),7,12
54,1,5:37.0,Shooting foul by P. George (drawn by J. Brown),,7,12
55,1,5:37.0,J. Brown misses free throw 1 of 2,,7,12
