,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,Turnover by J. Embiid (bad pass; steal by D. Murray),0,0
1,1,11:35.0,D. Murray misses 2-pt jump shot from 15 ft,,0,0
2,1,11:32.0,,Defensive rebound by J. Embiid,0,0
3,1,11:24.0,,Turnover by T. Harris (out of bounds lost ball),0,0
4,1,11:13.0,D. DeRozan misses 2-pt jump shot from 18 ft,,0,0
5,1,11:10.0,,Defensive rebound by A. Horford,0,0
6,1,11:05.0,,B. Simmons makes 2-pt layup from 2 ft,0,2
7,1,10:53.0,D. DeRozan makes 2-pt jump shot from 12 ft,,2,2
8,1,10:40.0,,Turnover by A. Horford (bad pass; steal by D. DeRozan),2,2
9,1,10:34.0,J. Poeltl misses 2-pt layup from 2 ft (block by J. Embiid),,2,2
10,1,10:34.0,,Defensive rebound by B. Simmons,2,2
11,1,10:26.0,,B. Simmons misses 2-pt jump shot from 4 ft,2,2
12,1,10:26.0,Defensive rebound by D. DeRozan,,2,2
13,1,10:08.0,D. DeRozan makes 2-pt jump shot from 16 ft,,4,2
14,1,9:53.0,,J. Embiid makes 2-pt jump shot from 22 ft (assist by A. Horford),4,4
15,1,9:36.0,B. Forbes misses 3-pt jump shot from 26 ft,,4,4
16,1,9:32.0,,Defensive rebound by J. Embiid,4,4
17,1,9:22.0,,Shooting foul by B. Forbes (drawn by T. Harris),4,4
18,1,9:22.0,,T. Harris makes free throw 1 of 2,4,5
19,1,9:22.0,,T. Harris misses free throw 2 of 2,4,5
20,1,9:20.0,Defensive rebound by L. Aldridge,,4,5
21,1,9:08.0,Personal foul by J. Embiid (drawn by J. Poeltl),,4,5
22,1,9:05.0,B. Forbes misses 3-pt jump shot from 26 ft,,4,5
23,1,9:02.0,,Defensive rebound by B. Simmons,4,5
24,1,8:58.0,,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),4,7
25,1,8:58.0,San Antonio full timeout,,4,7
