,QUARTER,TIME_REMAINING,TORONTO_ACTION,DENVER_ACTION,TORONTO_SCORE,DENVER_SCORE
0,1,11:34.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),0,3
1,1,11:15.0,N. Powell misses 3-pt jump shot from 23 ft,,0,3
2,1,11:13.0,,Defensive rebound by N. Jokić,0,3
3,1,11:10.0,,Offensive foul by J. Murray (drawn by K. Lowry),0,3
4,1,11:10.0,,Turnover by J. Murray (offensive foul),0,3
5,1,10:55.0,P. Siakam misses 2-pt hook shot from 7 ft,,0,3
6,1,10:52.0,,Defensive rebound by N. Jokić,0,3
7,1,10:42.0,,J. Murray makes 2-pt layup from 1 ft (assist by G. Harris),0,5
8,1,10:42.0,,Violation by Team (delay of game),0,5
9,1,10:21.0,N. Powell makes 2-pt layup from 3 ft (assist by O. Anunoby),,2,5
10,1,10:12.0,,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),2,7
11,1,9:59.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,7
12,1,9:56.0,,Defensive rebound by N. Jokić,2,7
13,1,9:54.0,,W. Barton misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),2,7
14,1,9:54.0,,Offensive rebound by Team,2,7
15,1,9:47.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by J. Murray),2,9
16,1,9:41.0,Shooting foul by G. Harris (drawn by K. Lowry),,2,9
17,1,9:41.0,K. Lowry makes free throw 1 of 2,,3,9
18,1,9:41.0,K. Lowry makes free throw 2 of 2,,4,9
19,1,9:25.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by G. Harris),4,12
20,1,9:14.0,K. Lowry misses 2-pt jump shot from 7 ft,,4,12
21,1,9:11.0,Offensive rebound by R. Hollis-Jefferson,,4,12
22,1,9:11.0,R. Hollis-Jefferson misses 2-pt layup at rim,,4,12
23,1,9:11.0,Offensive rebound by O. Anunoby,,4,12
24,1,9:07.0,O. Anunoby makes 2-pt layup at rim,,6,12
25,1,8:55.0,,G. Harris makes 3-pt jump shot from 22 ft (assist by J. Murray),6,15
26,1,8:41.0,P. Siakam makes 3-pt jump shot from 25 ft,,9,15
27,1,8:20.0,,Shooting foul by R. Hollis-Jefferson (drawn by N. Jokić),9,15
28,1,8:20.0,,N. Jokić misses free throw 1 of 2,9,15
29,1,8:20.0,,Offensive rebound by Team,9,15
30,1,8:20.0,,N. Jokić makes free throw 2 of 2,9,16
31,1,8:09.0,Shooting foul by W. Barton (drawn by R. Hollis-Jefferson),,9,16
32,1,8:09.0,R. Hollis-Jefferson makes free throw 1 of 2,,10,16
33,1,8:09.0,R. Hollis-Jefferson makes free throw 2 of 2,,11,16
34,1,7:53.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by J. Grant),11,19
35,1,7:35.0,P. Siakam misses 3-pt jump shot from 24 ft,,11,19
36,1,7:32.0,,Defensive rebound by W. Barton,11,19
37,1,7:27.0,,Turnover by W. Barton (bad pass; steal by O. Anunoby),11,19
38,1,7:21.0,P. Siakam misses 3-pt jump shot from 24 ft,,11,19
39,1,7:17.0,Offensive rebound by O. Anunoby,,11,19
40,1,7:17.0,O. Anunoby makes 2-pt layup from 1 ft,,13,19
41,1,6:59.0,,J. Murray makes 3-pt jump shot from 28 ft (assist by W. Barton),13,22
42,1,6:48.0,Toronto full timeout,,13,22
43,1,6:33.0,N. Powell misses 3-pt jump shot from 24 ft,,13,22
44,1,6:30.0,,Defensive rebound by N. Jokić,13,22
45,1,6:17.0,,Turnover by W. Barton (bad pass; steal by O. Anunoby),13,22
46,1,6:15.0,O. Anunoby makes 2-pt dunk from 1 ft,,15,22
47,1,5:55.0,,Shooting foul by O. Anunoby (drawn by J. Grant),15,22
48,1,5:55.0,,J. Grant makes free throw 1 of 2,15,23
49,1,5:55.0,T. Davis enters the game for R. Hollis-Jefferson,,15,23
50,1,5:55.0,,M. Morris enters the game for W. Barton,15,23
51,1,5:55.0,,J. Grant makes free throw 2 of 2,15,24
52,1,5:41.0,P. Siakam misses 2-pt hook shot from 8 ft,,15,24
53,1,5:40.0,,Defensive rebound by N. Jokić,15,24
54,1,5:31.0,,N. Jokić makes 2-pt dunk from 1 ft (assist by J. Grant),15,26
55,1,5:16.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by T. Davis),,17,26
56,1,5:01.0,,M. Morris misses 2-pt jump shot from 12 ft,17,26
57,1,4:59.0,Defensive rebound by N. Powell,,17,26
58,1,4:53.0,N. Powell misses 2-pt layup from 3 ft,,17,26
59,1,4:51.0,,Defensive rebound by N. Jokić,17,26
60,1,4:47.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by J. Grant),17,29
61,1,4:33.0,Shooting foul by J. Grant (drawn by K. Lowry),,17,29
62,1,4:33.0,K. Lowry makes free throw 1 of 2,,18,29
63,1,4:33.0,P. McCaw enters the game for N. Powell,,18,29
