,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,A. Wiggins misses 2-pt jump shot from 12 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Poeltl,0,0
2,1,11:30.0,,L. Aldridge misses 2-pt jump shot from 12 ft,0,0
3,1,11:27.0,Defensive rebound by K. Towns,,0,0
4,1,11:22.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Culver),,3,0
5,1,11:04.0,,B. Forbes makes 2-pt jump shot from 4 ft (assist by D. White),3,2
6,1,10:53.0,K. Towns misses 2-pt hook shot from 4 ft,,3,2
7,1,10:53.0,,Defensive rebound by J. Poeltl,3,2
8,1,10:36.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by B. Forbes),3,5
9,1,10:26.0,Shooting foul by D. DeRozan (drawn by A. Wiggins),,3,5
10,1,10:26.0,A. Wiggins makes free throw 1 of 2,,4,5
11,1,10:26.0,A. Wiggins makes free throw 2 of 2,,5,5
12,1,10:12.0,,L. Aldridge misses 2-pt jump shot from 15 ft,5,5
13,1,10:08.0,Defensive rebound by K. Towns,,5,5
14,1,10:00.0,Shooting foul by B. Forbes (drawn by R. Covington),,5,5
15,1,10:00.0,R. Covington makes free throw 1 of 2,,6,5
16,1,10:00.0,R. Covington makes free throw 2 of 2,,7,5
17,1,9:49.0,,Personal foul by K. Towns (drawn by L. Aldridge),7,5
18,1,9:36.0,,D. DeRozan misses 2-pt hook shot from 11 ft,7,5
19,1,9:34.0,Defensive rebound by T. Graham,,7,5
20,1,9:26.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Culver),,10,5
21,1,9:26.0,,San Antonio full timeout,10,5
22,1,9:26.0,,R. Gay enters the game for J. Poeltl,10,5
23,1,9:15.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. DeRozan),10,7
24,1,8:59.0,J. Culver misses 3-pt jump shot from 26 ft,,10,7
25,1,8:55.0,,Defensive rebound by B. Forbes,10,7
26,1,8:46.0,,R. Gay misses 3-pt jump shot from 25 ft,10,7
27,1,8:46.0,Defensive rebound by Team,,10,7
28,1,8:29.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Covington),,12,7
29,1,8:11.0,,B. Forbes misses 2-pt jump shot from 4 ft (block by J. Culver),12,7
30,1,8:10.0,Defensive rebound by K. Towns,,12,7
31,1,8:09.0,Turnover by K. Towns (bad pass),,12,7
32,1,8:09.0,,P. Mills enters the game for B. Forbes,12,7
33,1,7:55.0,,D. White misses 2-pt layup from 1 ft,12,7
34,1,7:53.0,Defensive rebound by K. Towns,,12,7
35,1,7:43.0,T. Graham misses 2-pt layup from 2 ft,,12,7
36,1,7:40.0,,Defensive rebound by R. Gay,12,7
37,1,7:34.0,,Turnover by R. Gay (bad pass; steal by J. Culver),12,7
38,1,7:24.0,K. Towns misses 3-pt jump shot from 25 ft,,12,7
39,1,7:19.0,,Defensive rebound by R. Gay,12,7
40,1,7:11.0,,L. Aldridge misses 2-pt jump shot from 9 ft,12,7
41,1,7:05.0,Defensive rebound by A. Wiggins,,12,7
42,1,7:03.0,A. Wiggins misses 2-pt jump shot from 10 ft,,12,7
43,1,6:57.0,,Defensive rebound by L. Aldridge,12,7
44,1,6:49.0,,D. White misses 3-pt jump shot from 25 ft,12,7
45,1,6:46.0,Defensive rebound by K. Towns,,12,7
46,1,6:39.0,Shooting foul by D. White (drawn by A. Wiggins),,12,7
47,1,6:39.0,A. Wiggins makes free throw 1 of 2,,13,7
48,1,6:39.0,J. Teague enters the game for T. Graham,,13,7
49,1,6:39.0,,D. Murray enters the game for D. White,13,7
50,1,6:39.0,A. Wiggins makes free throw 2 of 2,,14,7
51,1,6:26.0,,Turnover by L. Aldridge (lost ball; steal by J. Teague),14,7
52,1,6:22.0,J. Teague makes 2-pt layup at rim (assist by K. Towns),,16,7
53,1,6:10.0,,P. Mills makes 2-pt jump shot from 19 ft (assist by L. Aldridge),16,9
54,1,5:52.0,Turnover by J. Culver (bad pass),,16,9
55,1,5:52.0,J. Okogie enters the game for A. Wiggins,,16,9
56,1,5:38.0,,L. Aldridge misses 2-pt jump shot from 6 ft,16,9
57,1,5:30.0,,Offensive rebound by L. Aldridge,16,9
58,1,5:30.0,,L. Aldridge makes 2-pt layup from 1 ft,16,11
59,1,5:25.0,Turnover by J. Culver (bad pass; steal by P. Mills),,16,11
60,1,5:09.0,,Shooting foul by J. Teague (drawn by R. Gay),16,11
61,1,5:09.0,,R. Gay makes free throw 1 of 2,16,12
62,1,5:09.0,K. Bates-Diop enters the game for R. Covington,,16,12
63,1,5:09.0,,J. Poeltl enters the game for L. Aldridge,16,12
64,1,5:09.0,,R. Gay makes free throw 2 of 2,16,13
65,1,4:58.0,,Violation by Team (kicked ball),16,13
66,1,4:55.0,K. Towns misses 3-pt jump shot from 26 ft,,16,13
67,1,4:53.0,,Defensive rebound by R. Gay,16,13
68,1,4:41.0,,D. DeRozan makes 2-pt layup at rim,16,15
69,1,4:41.0,,Violation by Team (delay of game),16,15
70,1,4:40.0,Minnesota full timeout,,16,15
71,1,4:40.0,K. Martin enters the game for J. Culver,,16,15
72,1,4:26.0,K. Bates-Diop misses 2-pt layup from 2 ft,,16,15
73,1,4:21.0,,Defensive rebound by R. Gay,16,15
74,1,4:17.0,,Personal foul by K. Martin (drawn by J. Poeltl),16,15
75,1,4:03.0,,D. DeRozan misses 2-pt jump shot from 12 ft,16,15
76,1,4:01.0,Defensive rebound by K. Towns,,16,15
77,1,3:50.0,J. Teague misses 2-pt jump shot from 6 ft,,16,15
78,1,3:47.0,,Defensive rebound by J. Poeltl,16,15
79,1,3:40.0,,R. Gay misses 3-pt jump shot from 26 ft,16,15
80,1,3:37.0,Defensive rebound by K. Bates-Diop,,16,15
81,1,3:28.0,J. Teague misses 3-pt jump shot from 25 ft,,16,15
82,1,3:24.0,,Defensive rebound by J. Poeltl,16,15
83,1,3:13.0,,D. Murray makes 2-pt jump shot from 10 ft (assist by J. Poeltl),16,17
84,1,2:59.0,Turnover by J. Okogie (lost ball; steal by D. Murray),,16,17
85,1,2:55.0,,D. Murray makes 2-pt layup from 1 ft,16,19
86,1,2:28.0,K. Towns makes 2-pt hook shot from 7 ft,,18,19
87,1,2:16.0,,D. DeRozan makes 2-pt jump shot from 5 ft,18,21
88,1,2:06.0,K. Towns makes 2-pt dunk at rim (assist by J. Teague),,20,21
89,1,1:47.0,,Turnover by D. DeRozan (lost ball; steal by K. Bates-Diop),20,21
90,1,1:35.0,J. Teague misses 2-pt layup from 1 ft (block by J. Poeltl),,20,21
91,1,1:35.0,Offensive rebound by Team,,20,21
92,1,1:35.0,G. Dieng enters the game for K. Towns,,20,21
93,1,1:35.0,,M. Belinelli enters the game for D. DeRozan,20,21
94,1,1:24.0,Turnover by G. Dieng (traveling),,20,21
95,1,1:11.0,,R. Gay misses 2-pt jump shot from 10 ft,20,21
96,1,1:10.0,Defensive rebound by Team,,20,21
97,1,1:00.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,20,21
98,1,0:55.0,,Defensive rebound by D. Murray,20,21
99,1,0:55.0,,Turnover by D. Murray (lost ball; steal by G. Dieng),20,21
100,1,0:51.0,J. Teague misses 2-pt layup from 1 ft (block by J. Poeltl),,20,21
101,1,0:47.0,Offensive rebound by K. Bates-Diop,,20,21
102,1,0:47.0,K. Bates-Diop makes 2-pt layup at rim,,22,21
103,1,0:35.0,,M. Belinelli misses 3-pt jump shot from 25 ft,22,21
104,1,0:31.0,,Offensive rebound by R. Gay,22,21
105,1,0:31.0,,Personal foul by K. Bates-Diop (drawn by R. Gay),22,21
106,1,0:29.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Belinelli),22,24
107,1,0:17.0,J. Teague misses 2-pt layup from 1 ft,,22,24
108,1,0:17.0,,Defensive rebound by D. Murray,22,24
109,1,0:03.0,,D. Murray misses 3-pt jump shot from 25 ft,22,24
110,1,0:02.0,Defensive rebound by K. Martin,,22,24
111,2,11:51.0,,B. Forbes misses 3-pt jump shot from 25 ft,22,24
112,2,11:47.0,Defensive rebound by G. Dieng,,22,24
113,2,11:26.0,J. Teague makes 3-pt jump shot from 25 ft (assist by G. Dieng),,25,24
114,2,11:12.0,,Personal foul by G. Dieng (drawn by L. Aldridge),25,24
115,2,11:01.0,,D. Murray makes 2-pt jump shot from 13 ft,25,26
116,2,10:46.0,G. Dieng makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,28,26
117,2,10:29.0,,M. Belinelli misses 3-pt jump shot from 26 ft,28,26
118,2,10:25.0,Defensive rebound by J. Teague,,28,26
119,2,10:24.0,Turnover by J. Teague (bad pass),,28,26
120,2,10:03.0,,L. Aldridge makes 2-pt dunk from 2 ft (assist by T. Lyles),28,28
121,2,9:48.0,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by G. Dieng),,31,28
122,2,9:34.0,,L. Aldridge misses 2-pt jump shot from 20 ft,31,28
123,2,9:31.0,Defensive rebound by K. Martin,,31,28
124,2,9:21.0,K. Martin misses 2-pt layup from 1 ft,,31,28
125,2,9:20.0,,Defensive rebound by M. Belinelli,31,28
126,2,9:14.0,,Personal foul by K. Martin (drawn by M. Belinelli),31,28
127,2,9:14.0,R. Covington enters the game for K. Martin,,31,28
128,2,9:14.0,J. Culver enters the game for J. Teague,,31,28
129,2,9:14.0,,D. White enters the game for D. Murray,31,28
130,2,9:11.0,,Personal foul by G. Dieng (drawn by B. Forbes),31,28
131,2,9:04.0,,M. Belinelli misses 2-pt jump shot from 19 ft,31,28
132,2,8:59.0,,Offensive rebound by T. Lyles,31,28
133,2,8:59.0,,T. Lyles misses 2-pt layup from 1 ft,31,28
134,2,8:59.0,Defensive rebound by K. Bates-Diop,,31,28
135,2,8:54.0,G. Dieng misses 2-pt hook shot from 1 ft,,31,28
136,2,8:52.0,Offensive rebound by G. Dieng,,31,28
137,2,8:52.0,G. Dieng makes 2-pt layup at rim,,33,28
138,2,8:52.0,,San Antonio full timeout,33,28
139,2,8:42.0,,D. White misses 3-pt jump shot from 25 ft,33,28
140,2,8:38.0,Defensive rebound by A. Wiggins,,33,28
141,2,8:29.0,A. Wiggins misses 2-pt jump shot from 6 ft,,33,28
142,2,8:26.0,,Defensive rebound by T. Lyles,33,28
143,2,8:20.0,,B. Forbes makes 2-pt jump shot from 19 ft (assist by D. White),33,30
144,2,8:03.0,A. Wiggins misses 2-pt jump shot from 9 ft,,33,30
145,2,7:56.0,Offensive rebound by K. Bates-Diop,,33,30
146,2,7:51.0,J. Culver makes 2-pt layup from 2 ft (assist by R. Covington),,35,30
147,2,7:31.0,,Offensive foul by L. Aldridge (drawn by G. Dieng),35,30
148,2,7:31.0,,Turnover by L. Aldridge (offensive foul),35,30
149,2,7:18.0,A. Wiggins misses 2-pt jump shot from 6 ft,,35,30
150,2,7:16.0,,Defensive rebound by L. Aldridge,35,30
151,2,7:09.0,,M. Belinelli makes 2-pt layup at rim (assist by D. White),35,32
152,2,6:51.0,J. Culver misses 3-pt jump shot from 25 ft,,35,32
153,2,6:48.0,,Defensive rebound by T. Lyles,35,32
154,2,6:45.0,,D. White misses 2-pt layup from 1 ft,35,32
155,2,6:41.0,Defensive rebound by J. Culver,,35,32
156,2,6:38.0,R. Covington makes 2-pt layup from 1 ft (assist by J. Culver),,37,32
157,2,6:24.0,,B. Forbes misses 3-pt jump shot from 26 ft (block by A. Wiggins),37,32
158,2,6:24.0,Defensive rebound by R. Covington,,37,32
159,2,6:19.0,J. Culver misses 2-pt jump shot from 7 ft (block by D. White),,37,32
160,2,6:18.0,Offensive rebound by G. Dieng,,37,32
161,2,6:16.0,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by G. Dieng),,40,32
162,2,6:14.0,,San Antonio full timeout,40,32
163,2,6:14.0,J. Bell enters the game for R. Covington,,40,32
164,2,6:14.0,K. Towns enters the game for G. Dieng,,40,32
165,2,6:14.0,,D. DeRozan enters the game for M. Belinelli,40,32
166,2,6:14.0,,R. Gay enters the game for B. Forbes,40,32
167,2,6:14.0,,P. Mills enters the game for T. Lyles,40,32
168,2,6:03.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. White),40,34
169,2,5:42.0,J. Culver misses 2-pt layup from 9 ft (block by P. Mills),,40,34
170,2,5:42.0,,Defensive rebound by Team,40,34
171,2,5:42.0,T. Graham enters the game for K. Bates-Diop,,40,34
172,2,5:32.0,,D. White misses 3-pt jump shot from 26 ft,40,34
173,2,5:29.0,Defensive rebound by T. Graham,,40,34
174,2,5:13.0,J. Culver makes 3-pt jump shot from 25 ft,,43,34
175,2,4:59.0,,R. Gay misses 3-pt jump shot from 25 ft,43,34
176,2,4:55.0,Defensive rebound by K. Towns,,43,34
177,2,4:48.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Culver),,46,34
178,2,4:29.0,,Shooting foul by J. Culver (drawn by D. White),46,34
179,2,4:29.0,,D. White makes free throw 1 of 2,46,35
180,2,4:29.0,J. Teague enters the game for A. Wiggins,,46,35
181,2,4:29.0,,D. White makes free throw 2 of 2,46,36
182,2,4:20.0,J. Culver misses 3-pt jump shot from 26 ft,,46,36
183,2,4:15.0,,Defensive rebound by R. Gay,46,36
184,2,4:08.0,,D. White makes 2-pt layup from 1 ft (assist by R. Gay),46,38
185,2,3:43.0,Turnover by K. Towns (bad pass; steal by D. DeRozan),,46,38
186,2,3:39.0,,Shooting foul by J. Bell (drawn by D. DeRozan),46,38
187,2,3:39.0,,D. DeRozan makes free throw 1 of 2,46,39
188,2,3:39.0,,D. DeRozan misses free throw 2 of 2,46,39
189,2,3:36.0,Defensive rebound by J. Bell,,46,39
190,2,3:32.0,Minnesota full timeout,,46,39
191,2,3:32.0,R. Covington enters the game for J. Bell,,46,39
192,2,3:32.0,J. Okogie enters the game for J. Culver,,46,39
193,2,3:32.0,,D. Murray enters the game for D. White,46,39
194,2,3:24.0,T. Graham misses 2-pt layup from 2 ft (block by D. DeRozan),,46,39
195,2,3:24.0,Offensive rebound by Team,,46,39
196,2,3:20.0,R. Covington misses 3-pt jump shot from 25 ft,,46,39
197,2,3:16.0,,Defensive rebound by D. Murray,46,39
198,2,3:08.0,,R. Gay makes 2-pt jump shot from 20 ft,46,41
199,2,2:50.0,Shooting foul by L. Aldridge (drawn by J. Okogie),,46,41
