,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:48.0,T. Young makes 2-pt layup from 3 ft (assist by T. Satoranský),,2,0
1,1,11:25.0,,B. Beal misses 2-pt jump shot from 8 ft,2,0
2,1,11:20.0,Defensive rebound by C. Hutchison,,2,0
3,1,11:10.0,L. Kornet misses 2-pt layup from 3 ft,,2,0
4,1,11:08.0,,Defensive rebound by I. Smith,2,0
5,1,10:56.0,,R. Hachimura makes 2-pt jump shot from 14 ft (assist by B. Beal),2,2
6,1,10:42.0,T. Young misses 3-pt jump shot from 26 ft,,2,2
7,1,10:40.0,,Defensive rebound by I. Mahinmi,2,2
8,1,10:33.0,,I. Bonga makes 2-pt layup from 2 ft (assist by I. Smith),2,4
9,1,10:20.0,C. Hutchison misses 3-pt jump shot from 27 ft,,2,4
10,1,10:17.0,,Defensive rebound by R. Hachimura,2,4
11,1,10:04.0,,I. Smith makes 3-pt jump shot from 27 ft (assist by I. Bonga),2,7
12,1,9:53.0,L. Kornet makes 2-pt dunk from 2 ft (assist by T. Satoranský),,4,7
13,1,9:35.0,,Offensive foul by R. Hachimura (drawn by T. Satoranský),4,7
14,1,9:35.0,,Turnover by R. Hachimura (offensive foul),4,7
15,1,9:23.0,T. Young misses 2-pt jump shot from 5 ft,,4,7
16,1,9:22.0,,Defensive rebound by I. Bonga,4,7
17,1,9:09.0,,Personal foul by T. Satoranský (drawn by I. Mahinmi),4,7
18,1,9:02.0,,I. Mahinmi makes 2-pt layup from 1 ft,4,9
19,1,8:40.0,Personal foul by I. Mahinmi (drawn by T. Young),,4,9
20,1,8:32.0,T. Young misses 2-pt layup from 7 ft (block by R. Hachimura),,4,9
21,1,8:30.0,,Defensive rebound by I. Smith,4,9
22,1,8:22.0,,B. Beal makes 2-pt jump shot from 11 ft,4,11
23,1,8:05.0,T. Young misses 2-pt hook shot from 6 ft,,4,11
