,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,P. Siakam misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,,Defensive rebound by P. Beverley,0,0
2,1,11:26.0,,P. Beverley makes 2-pt jump shot from 4 ft (assist by P. Patterson),0,2
3,1,11:10.0,M. Gasol makes 2-pt jump shot from 3 ft (assist by O. Anunoby),,2,2
4,1,10:46.0,,I. Zubac misses 2-pt jump shot from 4 ft,2,2
5,1,10:44.0,Defensive rebound by P. Siakam,,2,2
6,1,10:29.0,Turnover by O. Anunoby (lost ball; steal by K. Leonard),,2,2
7,1,10:22.0,,P. Patterson makes 3-pt jump shot from 22 ft (assist by K. Leonard),2,5
8,1,10:13.0,Toronto full timeout,,2,5
9,1,10:13.0,,Technical foul by N. Nurse,2,5
10,1,10:13.0,R. Hollis-Jefferson enters the game for O. Anunoby,,2,5
11,1,10:13.0,,K. Leonard makes technical free throw,2,6
12,1,10:01.0,F. VanVleet misses 3-pt jump shot from 27 ft,,2,6
13,1,9:56.0,,Defensive rebound by I. Zubac,2,6
14,1,9:41.0,,P. Patterson makes 3-pt jump shot from 28 ft (assist by P. Beverley),2,9
15,1,9:32.0,Turnover by M. Gasol (bad pass),,2,9
16,1,9:11.0,,K. Leonard misses 3-pt jump shot from 22 ft,2,9
17,1,9:09.0,Defensive rebound by M. Gasol,,2,9
18,1,9:03.0,Personal foul by L. Shamet (drawn by F. VanVleet),,2,9
19,1,9:00.0,Personal foul by P. Patterson (drawn by F. VanVleet),,2,9
20,1,8:51.0,Personal foul by I. Zubac (drawn by M. Gasol),,2,9
21,1,8:40.0,P. Siakam misses 2-pt hook shot from 5 ft,,2,9
22,1,8:37.0,,Defensive rebound by I. Zubac,2,9
23,1,8:26.0,,Turnover by I. Zubac (lost ball; steal by F. VanVleet),2,9
24,1,8:17.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Leonard),,2,9
