,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,R. Hachimura makes 2-pt jump shot from 11 ft (assist by B. Beal),0,2
1,1,11:19.0,M. Chriss makes 2-pt layup from 1 ft (assist by D. Lee),,2,2
2,1,11:19.0,Shooting foul by I. Mahinmi (drawn by M. Chriss),,2,2
3,1,11:19.0,M. Chriss makes free throw 1 of 1,,3,2
4,1,10:58.0,,B. Beal makes 2-pt layup from 1 ft,3,4
5,1,10:49.0,J. Evans makes 3-pt jump shot from 25 ft (assist by G. Robinson),,6,4
6,1,10:31.0,,G. Payton misses 2-pt layup from 2 ft,6,4
7,1,10:28.0,Defensive rebound by D. Green,,6,4
8,1,10:24.0,Shooting foul by I. Thomas (drawn by J. Evans),,6,4
9,1,10:24.0,J. Evans makes free throw 1 of 2,,7,4
10,1,10:24.0,J. Evans makes free throw 2 of 2,,8,4
11,1,10:11.0,,I. Mahinmi makes 2-pt dunk from 1 ft (assist by B. Beal),8,6
12,1,9:51.0,G. Robinson misses 2-pt jump shot from 20 ft,,8,6
13,1,9:48.0,,Defensive rebound by I. Mahinmi,8,6
14,1,9:39.0,,R. Hachimura makes 2-pt jump shot from 14 ft (assist by B. Beal),8,8
15,1,9:27.0,Shooting foul by I. Mahinmi (drawn by G. Robinson),,8,8
16,1,9:27.0,G. Robinson makes free throw 1 of 2,,9,8
17,1,9:27.0,G. Robinson makes free throw 2 of 2,,10,8
18,1,9:18.0,,I. Thomas makes 2-pt jump shot from 15 ft,10,10
19,1,9:07.0,D. Lee misses 2-pt jump shot from 8 ft,,10,10
20,1,9:06.0,,Defensive rebound by R. Hachimura,10,10
21,1,9:00.0,,B. Beal misses 3-pt jump shot from 23 ft,10,10
22,1,8:55.0,Defensive rebound by M. Chriss,,10,10
23,1,8:49.0,J. Evans misses 2-pt jump shot from 19 ft,,10,10
24,1,8:44.0,,Defensive rebound by I. Mahinmi,10,10
25,1,8:35.0,,B. Beal makes 2-pt jump shot from 16 ft,10,12
26,1,8:23.0,Turnover by G. Robinson (bad pass; steal by I. Mahinmi),,10,12
27,1,8:18.0,,G. Payton misses 2-pt layup from 2 ft,10,12
28,1,8:17.0,Defensive rebound by Team,,10,12
29,1,8:04.0,D. Lee makes 3-pt jump shot from 28 ft (assist by G. Robinson),,13,12
30,1,7:51.0,,I. Thomas misses 2-pt jump shot from 14 ft,13,12
31,1,7:48.0,Defensive rebound by J. Evans,,13,12
32,1,7:44.0,D. Lee misses 3-pt jump shot from 28 ft,,13,12
33,1,7:41.0,,Defensive rebound by I. Mahinmi,13,12
34,1,7:33.0,,B. Beal misses 2-pt jump shot from 17 ft,13,12
35,1,7:30.0,Defensive rebound by D. Green,,13,12
36,1,7:24.0,D. Lee misses 2-pt jump shot from 15 ft,,13,12
37,1,7:21.0,,Defensive rebound by B. Beal,13,12
38,1,7:17.0,,Personal foul by D. Lee (drawn by I. Thomas),13,12
39,1,7:11.0,,B. Beal makes 2-pt jump shot from 4 ft (assist by G. Payton),13,14
40,1,6:50.0,D. Green makes 3-pt jump shot from 26 ft (assist by G. Robinson),,16,14
41,1,6:37.0,,R. Hachimura misses 2-pt dunk from 1 ft (block by M. Chriss),16,14
42,1,6:35.0,Defensive rebound by Team,,16,14
43,1,6:35.0,,Loose ball foul by I. Mahinmi (drawn by J. Evans),16,14
44,1,6:35.0,,Washington full timeout,16,14
45,1,6:35.0,,T. Brown enters the game for I. Mahinmi,16,14
46,1,6:35.0,,T. Bryant enters the game for G. Payton,16,14
47,1,6:22.0,M. Chriss makes 2-pt layup from 3 ft (assist by D. Lee),,18,14
48,1,6:22.0,Shooting foul by T. Bryant (drawn by M. Chriss),,18,14
49,1,6:22.0,M. Chriss makes free throw 1 of 1,,19,14
50,1,6:09.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by B. Beal),19,17
51,1,5:52.0,D. Lee makes 3-pt jump shot from 26 ft (assist by M. Chriss),,22,17
52,1,5:30.0,,Personal foul by J. Evans (drawn by R. Hachimura),22,17
53,1,5:30.0,A. Burks enters the game for J. Evans,,22,17
54,1,5:30.0,J. Poole enters the game for G. Robinson,,22,17
55,1,5:19.0,,I. Thomas makes 2-pt jump shot from 14 ft (assist by T. Brown),22,19
56,1,5:03.0,A. Burks makes 3-pt jump shot from 26 ft (assist by D. Lee),,25,19
57,1,4:45.0,,B. Beal makes 2-pt jump shot from 3 ft,25,21
