,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW ORLEANS_ACTION,HOUSTON_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,0
1,1,11:25.0,,L. Ball makes 3-pt jump shot from 27 ft,3,3
2,1,11:10.0,D. House makes 2-pt jump shot from 12 ft,,5,3
3,1,10:55.0,,D. Favors makes 2-pt jump shot from 9 ft (assist by L. Ball),5,5
4,1,10:47.0,Turnover by E. Gordon (out of bounds lost ball),,5,5
5,1,10:27.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Redick),5,8
6,1,10:13.0,P. Tucker misses 3-pt jump shot from 26 ft,,5,8
7,1,10:10.0,,Defensive rebound by D. Favors,5,8
8,1,10:02.0,,L. Ball misses 2-pt jump shot from 19 ft,5,8
9,1,9:58.0,Defensive rebound by A. Rivers,,5,8
10,1,9:53.0,A. Rivers misses 3-pt jump shot from 24 ft,,5,8
11,1,9:49.0,,Defensive rebound by D. Favors,5,8
12,1,9:46.0,,J. Redick misses 3-pt jump shot from 26 ft,5,8
13,1,9:42.0,Defensive rebound by I. Hartenstein,,5,8
14,1,9:30.0,D. House makes 2-pt layup from 1 ft (assist by E. Gordon),,7,8
15,1,9:11.0,,B. Ingram makes 2-pt jump shot from 14 ft,7,10
16,1,8:56.0,P. Tucker misses 3-pt jump shot from 23 ft,,7,10
17,1,8:54.0,,Defensive rebound by Team,7,10
18,1,8:54.0,Loose ball foul by I. Hartenstein (drawn by D. Favors),,7,10
19,1,8:44.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by B. Ingram),7,13
20,1,8:31.0,E. Gordon misses 3-pt jump shot from 27 ft,,7,13
21,1,8:31.0,Offensive rebound by P. Tucker,,7,13
22,1,8:28.0,P. Tucker misses 2-pt layup at rim,,7,13
23,1,8:28.0,,Defensive rebound by Team,7,13
24,1,8:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,7,13
25,1,8:17.0,Defensive rebound by P. Tucker,,7,13
26,1,8:06.0,A. Rivers misses 3-pt jump shot from 26 ft,,7,13
27,1,8:04.0,,Defensive rebound by L. Ball,7,13
28,1,7:59.0,,L. Ball makes 2-pt layup from 2 ft,7,15
29,1,7:45.0,Def 3 sec tech foul by Team,,7,15
30,1,7:45.0,E. Gordon makes technical free throw,,8,15
31,1,7:45.0,C. Clemons enters the game for E. Gordon,,8,15
32,1,7:37.0,C. Clemons misses 3-pt jump shot from 33 ft,,8,15
33,1,7:32.0,,Defensive rebound by B. Ingram,8,15
34,1,7:28.0,,D. Favors makes 2-pt layup from 1 ft (assist by B. Ingram),8,17
35,1,7:15.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by I. Hartenstein),,11,17
36,1,7:01.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by J. Holiday),11,20
37,1,6:40.0,I. Hartenstein makes 2-pt layup from 2 ft (assist by D. House),,13,20
38,1,6:28.0,,L. Ball misses 3-pt jump shot from 28 ft,13,20
39,1,6:28.0,Defensive rebound by Team,,13,20
40,1,6:28.0,,New Orleans full timeout,13,20
41,1,6:28.0,B. McLemore enters the game for P. Tucker,,13,20
42,1,6:06.0,D. House makes 3-pt jump shot from 26 ft (assist by C. Clemons),,16,20
43,1,5:45.0,,B. Ingram makes 2-pt jump shot from 12 ft,16,22
44,1,5:32.0,A. Rivers makes 2-pt layup from 2 ft,,18,22
45,1,5:22.0,,J. Redick misses 2-pt jump shot from 16 ft,18,22
46,1,5:18.0,Defensive rebound by C. Clemons,,18,22
47,1,5:13.0,I. Hartenstein makes 2-pt dunk from 1 ft (assist by C. Clemons),,20,22
48,1,4:56.0,,L. Ball makes 3-pt jump shot from 23 ft (assist by J. Redick),20,25
49,1,4:30.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by C. Clemons),,23,25
50,1,4:16.0,,J. Holiday makes 2-pt layup from 2 ft,23,27
51,1,4:04.0,C. Clemons makes 3-pt jump shot from 30 ft,,26,27
52,1,3:55.0,,New Orleans full timeout,26,27
53,1,3:55.0,G. Clark enters the game for I. Hartenstein,,26,27
54,1,3:55.0,,J. Hart enters the game for J. Holiday,26,27
55,1,3:42.0,,Turnover by B. Ingram (bad pass; steal by B. McLemore),26,27
56,1,3:38.0,C. Clemons misses 3-pt jump shot from 27 ft,,26,27
57,1,3:35.0,,Defensive rebound by L. Ball,26,27
58,1,3:23.0,,B. Ingram makes 2-pt layup from 2 ft,26,29
59,1,3:05.0,C. Clemons makes 3-pt jump shot from 26 ft (assist by G. Clark),,29,29
60,1,2:46.0,,L. Ball misses 3-pt jump shot from 25 ft,29,29
61,1,2:42.0,Defensive rebound by G. Clark,,29,29
62,1,2:34.0,G. Clark makes 3-pt jump shot from 25 ft (assist by C. Clemons),,32,29
63,1,2:15.0,,B. Ingram misses 3-pt jump shot from 23 ft,32,29
64,1,2:13.0,Defensive rebound by B. McLemore,,32,29
65,1,2:05.0,A. Rivers misses 2-pt layup from 1 ft,,32,29
