,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Teague),0,3
1,1,11:22.0,R. Gobert makes 2-pt layup at rim (assist by D. Mitchell),,2,3
2,1,11:05.0,,Turnover by T. Graham (bad pass),2,3
3,1,10:49.0,D. Mitchell makes 2-pt jump shot from 14 ft,,4,3
4,1,10:39.0,,Turnover by A. Wiggins (bad pass),4,3
5,1,10:30.0,M. Conley misses 3-pt jump shot from 25 ft,,4,3
6,1,10:28.0,,Defensive rebound by K. Towns,4,3
7,1,10:18.0,,K. Towns misses 2-pt layup from 2 ft,4,3
8,1,10:16.0,Defensive rebound by B. Bogdanović,,4,3
9,1,10:09.0,D. Mitchell misses 2-pt jump shot from 13 ft,,4,3
10,1,10:07.0,,Defensive rebound by T. Graham,4,3
11,1,9:57.0,,R. Covington makes 2-pt layup from 1 ft,4,5
12,1,9:41.0,R. Gobert misses 2-pt jump shot from 4 ft,,4,5
13,1,9:39.0,,Defensive rebound by R. Covington,4,5
14,1,9:22.0,,T. Graham misses 3-pt jump shot from 23 ft,4,5
15,1,9:19.0,Defensive rebound by R. Gobert,,4,5
16,1,9:06.0,Shooting foul by A. Wiggins (drawn by B. Bogdanović),,4,5
17,1,9:06.0,B. Bogdanović makes free throw 1 of 2,,5,5
18,1,9:06.0,B. Bogdanović makes free throw 2 of 2,,6,5
19,1,8:54.0,,A. Wiggins makes 2-pt layup from 1 ft,6,7
20,1,8:29.0,D. Mitchell misses 2-pt jump shot from 22 ft,,6,7
21,1,8:26.0,,Defensive rebound by J. Teague,6,7
22,1,8:23.0,,J. Teague misses 3-pt jump shot from 25 ft,6,7
23,1,8:20.0,Defensive rebound by M. Conley,,6,7
24,1,8:15.0,Shooting foul by K. Towns (drawn by R. Gobert),,6,7
25,1,8:15.0,R. Gobert misses free throw 1 of 2,,6,7
26,1,8:15.0,Offensive rebound by Team,,6,7
27,1,8:15.0,R. Gobert makes free throw 2 of 2,,7,7
28,1,8:05.0,,Shooting foul by R. O'Neale (drawn by A. Wiggins),7,7
29,1,8:05.0,,A. Wiggins makes free throw 1 of 2,7,8
30,1,8:05.0,,J. Culver enters the game for T. Graham,7,8
31,1,8:05.0,,J. Okogie enters the game for J. Teague,7,8
32,1,8:05.0,,A. Wiggins misses free throw 2 of 2,7,8
33,1,8:02.0,Defensive rebound by R. O'Neale,,7,8
34,1,7:52.0,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by M. Conley),,9,8
35,1,7:39.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by A. Wiggins),9,11
36,1,7:28.0,Personal foul by A. Wiggins (drawn by M. Conley),,9,11
37,1,7:28.0,,K. Martin enters the game for A. Wiggins,9,11
38,1,7:21.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,9,11
39,1,7:18.0,Offensive rebound by B. Bogdanović,,9,11
40,1,7:13.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. O'Neale),,12,11
41,1,7:13.0,Shooting foul by K. Martin (drawn by D. Mitchell),,12,11
42,1,7:13.0,D. Mitchell makes free throw 1 of 1,,13,11
43,1,7:03.0,,J. Okogie misses 2-pt layup from 2 ft,13,11
44,1,7:02.0,,Offensive rebound by Team,13,11
45,1,7:00.0,,Turnover by J. Culver (bad pass),13,11
46,1,6:42.0,D. Mitchell misses 3-pt jump shot from 24 ft,,13,11
47,1,6:41.0,Offensive rebound by B. Bogdanović,,13,11
48,1,6:41.0,B. Bogdanović makes 2-pt layup at rim,,15,11
49,1,6:31.0,,Offensive foul by K. Towns (drawn by R. Gobert),15,11
