,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:43.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by M. Smart),,3,0
1,1,11:18.0,,E. Fournier misses 3-pt jump shot from 26 ft,3,0
2,1,11:15.0,Defensive rebound by K. Walker,,3,0
3,1,11:08.0,D. Theis makes 2-pt jump shot from 11 ft (assist by K. Walker),,5,0
4,1,10:56.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by M. Fultz),5,3
5,1,10:39.0,K. Walker makes 2-pt jump shot from 15 ft (assist by D. Theis),,7,3
6,1,10:19.0,,A. Gordon makes 2-pt jump shot from 16 ft,7,5
7,1,10:05.0,G. Hayward misses 2-pt layup from 2 ft,,7,5
8,1,10:01.0,Offensive rebound by G. Hayward,,7,5
9,1,9:53.0,M. Smart makes 3-pt jump shot from 22 ft (assist by K. Walker),,10,5
10,1,9:38.0,,M. Fultz makes 2-pt jump shot from 9 ft,10,7
11,1,9:25.0,K. Walker makes 2-pt jump shot from 15 ft,,12,7
12,1,9:12.0,,Shooting foul by D. Theis (drawn by K. Birch),12,7
13,1,9:12.0,,K. Birch misses free throw 1 of 2,12,7
14,1,9:12.0,,Offensive rebound by Team,12,7
15,1,9:12.0,,K. Birch misses free throw 2 of 2,12,7
16,1,9:10.0,Defensive rebound by G. Hayward,,12,7
17,1,9:02.0,G. Hayward makes 2-pt jump shot from 13 ft,,14,7
18,1,8:54.0,,Orlando full timeout,14,7
19,1,8:46.0,,Shooting foul by D. Theis (drawn by K. Birch),14,7
20,1,8:46.0,,K. Birch makes free throw 1 of 2,14,8
21,1,8:46.0,,K. Birch makes free throw 2 of 2,14,9
22,1,8:35.0,D. Theis misses 2-pt jump shot from 9 ft,,14,9
23,1,8:33.0,,Defensive rebound by K. Birch,14,9
24,1,8:26.0,,K. Birch makes 2-pt dunk from 3 ft (assist by N. Vučević),14,11
25,1,8:00.0,G. Williams misses 3-pt jump shot from 26 ft,,14,11
26,1,7:57.0,,Defensive rebound by N. Vučević,14,11
27,1,7:48.0,,E. Fournier makes 2-pt jump shot from 18 ft (assist by N. Vučević),14,13
28,1,7:48.0,,Shooting foul by K. Walker (drawn by E. Fournier),14,13
29,1,7:48.0,V. Poirier enters the game for D. Theis,,14,13
30,1,7:48.0,,E. Fournier makes free throw 1 of 1,14,14
31,1,7:34.0,K. Walker makes 3-pt jump shot from 26 ft (assist by V. Poirier),,17,14
32,1,7:34.0,Shooting foul by M. Fultz (drawn by K. Walker),,17,14
33,1,7:34.0,K. Walker makes free throw 1 of 1,,18,14
34,1,7:19.0,,A. Gordon misses 2-pt jump shot from 12 ft,18,14
35,1,7:12.0,,Offensive rebound by K. Birch,18,14
36,1,7:12.0,,K. Birch misses 2-pt layup from 1 ft,18,14
37,1,7:11.0,,Offensive rebound by K. Birch,18,14
38,1,7:11.0,,K. Birch misses 2-pt layup from 1 ft,18,14
39,1,7:10.0,,Offensive rebound by M. Fultz,18,14
40,1,7:08.0,,E. Fournier misses 2-pt layup from 5 ft (block by M. Smart),18,14
41,1,7:05.0,Defensive rebound by M. Smart,,18,14
42,1,7:01.0,G. Hayward misses 3-pt jump shot from 23 ft,,18,14
43,1,6:57.0,Offensive rebound by V. Poirier,,18,14
44,1,6:51.0,Turnover by K. Walker (lost ball; steal by N. Vučević),,18,14
45,1,6:36.0,,Turnover by K. Birch (lost ball; steal by K. Walker),18,14
46,1,6:33.0,K. Walker misses 2-pt layup from 1 ft,,18,14
47,1,6:27.0,,Defensive rebound by E. Fournier,18,14
48,1,6:23.0,,A. Gordon misses 3-pt jump shot from 27 ft,18,14
49,1,6:20.0,,Offensive rebound by Team,18,14
50,1,6:20.0,S. Ojeleye enters the game for G. Williams,,18,14
51,1,6:11.0,,E. Fournier makes 2-pt jump shot from 24 ft (assist by M. Fultz),18,16
52,1,5:53.0,K. Walker misses 3-pt jump shot from 26 ft,,18,16
53,1,5:51.0,,Defensive rebound by M. Fultz,18,16
54,1,5:46.0,,M. Fultz misses 2-pt jump shot from 5 ft,18,16
55,1,5:44.0,,Offensive rebound by K. Birch,18,16
56,1,5:42.0,,N. Vučević makes 3-pt jump shot from 27 ft (assist by K. Birch),18,19
57,1,5:23.0,S. Ojeleye misses 3-pt jump shot from 23 ft,,18,19
58,1,5:21.0,,Defensive rebound by E. Fournier,18,19
59,1,5:15.0,,E. Fournier makes 2-pt jump shot from 21 ft,18,21
60,1,4:50.0,M. Smart misses 2-pt jump shot from 21 ft,,18,21
61,1,4:48.0,,Defensive rebound by E. Fournier,18,21
62,1,4:39.0,,M. Fultz misses 3-pt jump shot from 26 ft,18,21
63,1,4:35.0,,Offensive rebound by K. Birch,18,21
64,1,4:35.0,,K. Birch misses 2-pt layup from 1 ft,18,21
65,1,4:34.0,Defensive rebound by G. Hayward,,18,21
66,1,4:28.0,M. Smart misses 2-pt layup from 2 ft,,18,21
67,1,4:25.0,,Defensive rebound by N. Vučević,18,21
68,1,4:17.0,,N. Vučević misses 2-pt jump shot from 9 ft,18,21
69,1,4:16.0,,Offensive rebound by M. Fultz,18,21
70,1,4:16.0,,M. Fultz makes 2-pt layup from 1 ft,18,23
71,1,4:16.0,Boston full timeout,,18,23
72,1,4:16.0,J. Green enters the game for M. Smart,,18,23
73,1,4:16.0,B. Wanamaker enters the game for K. Walker,,18,23
74,1,4:16.0,,W. Iwundu enters the game for E. Fournier,18,23
75,1,4:16.0,,T. Ross enters the game for A. Gordon,18,23
76,1,4:06.0,G. Hayward misses 3-pt jump shot from 27 ft,,18,23
77,1,4:03.0,,Defensive rebound by K. Birch,18,23
78,1,3:49.0,,T. Ross misses 2-pt jump shot from 12 ft (block by V. Poirier),18,23
79,1,3:46.0,,Offensive rebound by T. Ross,18,23
80,1,3:44.0,,Shooting foul by B. Wanamaker (drawn by N. Vučević),18,23
81,1,3:44.0,,N. Vučević makes free throw 1 of 2,18,24
82,1,3:44.0,,N. Vučević makes free throw 2 of 2,18,25
83,1,3:20.0,V. Poirier misses 2-pt jump shot from 13 ft,,18,25
84,1,3:17.0,,Defensive rebound by N. Vučević,18,25
85,1,3:06.0,,M. Fultz makes 2-pt layup from 1 ft (assist by N. Vučević),18,27
86,1,2:51.0,B. Wanamaker makes 2-pt jump shot from 16 ft,,20,27
87,1,2:26.0,,N. Vučević misses 2-pt hook shot from 7 ft,20,27
88,1,2:23.0,Defensive rebound by G. Hayward,,20,27
89,1,2:10.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,20,27
90,1,2:07.0,,Defensive rebound by W. Iwundu,20,27
91,1,2:01.0,,W. Iwundu makes 3-pt jump shot from 27 ft,20,30
92,1,1:43.0,G. Hayward makes 2-pt layup from 1 ft,,22,30
93,1,1:31.0,,M. Fultz misses 2-pt layup from 2 ft,22,30
94,1,1:28.0,Defensive rebound by G. Hayward,,22,30
95,1,1:21.0,Turnover by G. Hayward (lost ball; steal by M. Fultz),,22,30
96,1,1:15.0,,T. Ross misses 3-pt jump shot from 25 ft,22,30
97,1,1:11.0,Defensive rebound by V. Poirier,,22,30
98,1,1:03.0,J. Green misses 3-pt jump shot from 25 ft,,22,30
99,1,0:59.0,,Defensive rebound by N. Vučević,22,30
100,1,0:47.0,,Turnover by T. Ross (bad pass; steal by J. Green),22,30
101,1,0:42.0,B. Wanamaker makes 2-pt layup from 1 ft (assist by J. Green),,24,30
102,1,0:31.0,,N. Vučević misses 3-pt jump shot from 27 ft,24,30
103,1,0:29.0,Defensive rebound by Team,,24,30
104,1,0:29.0,K. Walker enters the game for S. Ojeleye,,24,30
105,1,0:29.0,,M. Bamba enters the game for K. Birch,24,30
106,1,0:29.0,,M. Carter-Williams enters the game for M. Fultz,24,30
107,1,0:29.0,,A. Gordon enters the game for N. Vučević,24,30
108,1,0:10.0,K. Walker misses 2-pt layup from 4 ft,,24,30
109,1,0:08.0,,Defensive rebound by A. Gordon,24,30
110,1,0:00.0,,T. Ross misses 3-pt jump shot from 24 ft,24,30
111,1,0:00.0,,Offensive rebound by Team,24,30
112,2,11:44.0,,T. Ross misses 2-pt layup from 2 ft,24,30
113,2,11:42.0,Defensive rebound by S. Ojeleye,,24,30
114,2,11:26.0,B. Wanamaker misses 2-pt jump shot from 21 ft,,24,30
115,2,11:24.0,,Defensive rebound by M. Carter-Williams,24,30
116,2,11:19.0,,M. Carter-Williams makes 2-pt layup from 3 ft,24,32
117,2,10:59.0,J. Green misses 2-pt layup from 2 ft,,24,32
118,2,10:59.0,,Defensive rebound by Team,24,32
119,2,10:59.0,Loose ball foul by J. Green (drawn by W. Iwundu),,24,32
120,2,10:48.0,,A. Gordon misses 2-pt jump shot from 19 ft,24,32
121,2,10:45.0,Defensive rebound by D. Theis,,24,32
122,2,10:38.0,K. Walker makes 2-pt layup from 2 ft,,26,32
123,2,10:20.0,,M. Bamba makes 3-pt jump shot from 27 ft (assist by A. Gordon),26,35
124,2,10:05.0,D. Theis misses 2-pt layup from 2 ft,,26,35
125,2,10:02.0,Offensive rebound by D. Theis,,26,35
126,2,10:01.0,K. Walker misses 3-pt jump shot from 26 ft,,26,35
127,2,9:58.0,,Defensive rebound by A. Gordon,26,35
128,2,9:54.0,,A. Gordon makes 2-pt dunk from 1 ft,26,37
129,2,9:35.0,D. Theis makes 2-pt jump shot from 7 ft (assist by K. Walker),,28,37
130,2,9:08.0,,W. Iwundu makes 3-pt jump shot from 23 ft (assist by T. Ross),28,40
131,2,8:54.0,Turnover by K. Walker (bad pass; steal by M. Carter-Williams),,28,40
132,2,8:49.0,,A. Gordon makes 2-pt layup from 3 ft,28,42
133,2,8:46.0,Boston full timeout,,28,42
134,2,8:46.0,M. Smart enters the game for B. Wanamaker,,28,42
135,2,8:46.0,,K. Birch enters the game for A. Gordon,28,42
136,2,8:46.0,,E. Fournier enters the game for W. Iwundu,28,42
137,2,8:33.0,K. Walker makes 2-pt jump shot from 16 ft,,30,42
138,2,8:17.0,,T. Ross makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),30,44
139,2,7:59.0,D. Theis misses 2-pt jump shot from 8 ft,,30,44
140,2,7:57.0,,Defensive rebound by K. Birch,30,44
141,2,7:45.0,,M. Carter-Williams makes 2-pt layup from 3 ft,30,46
142,2,7:25.0,J. Green misses 3-pt jump shot from 22 ft,,30,46
143,2,7:23.0,,Defensive rebound by M. Carter-Williams,30,46
144,2,7:14.0,,Turnover by M. Carter-Williams (bad pass; steal by J. Green),30,46
145,2,7:07.0,S. Ojeleye misses 2-pt layup from 4 ft,,30,46
146,2,7:07.0,Offensive rebound by J. Green,,30,46
147,2,7:07.0,Shooting foul by M. Bamba (drawn by J. Green),,30,46
148,2,7:07.0,J. Green misses free throw 1 of 2,,30,46
149,2,7:07.0,Offensive rebound by Team,,30,46
150,2,7:07.0,V. Poirier enters the game for D. Theis,,30,46
151,2,7:07.0,J. Green misses free throw 2 of 2,,30,46
152,2,7:04.0,,Defensive rebound by T. Ross,30,46
153,2,6:50.0,,E. Fournier misses 2-pt jump shot from 16 ft,30,46
