,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
32,1,9:16.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,6,2
33,1,9:12.0,,Offensive rebound by J. Culver,6,2
34,1,9:09.0,,M. Beasley misses 3-pt jump shot from 27 ft,6,2
35,1,9:05.0,Defensive rebound by D. Wright,,6,2
36,1,8:54.0,D. Finney-Smith makes 2-pt layup from 1 ft,,8,2
37,1,8:38.0,,D. Russell misses 2-pt layup from 1 ft (block by K. Porziņģis),8,2
38,1,8:36.0,Defensive rebound by D. Finney-Smith,,8,2
39,1,8:33.0,T. Hardaway misses 3-pt jump shot from 23 ft,,8,2
40,1,8:31.0,Offensive rebound by Team,,8,2
41,1,8:22.0,D. Wright makes 2-pt layup from 1 ft (assist by K. Porziņģis),,10,2
42,1,8:21.0,,Minnesota full timeout,10,2
43,1,8:06.0,,M. Beasley misses 2-pt layup from 4 ft,10,2
44,1,8:04.0,Defensive rebound by D. Wright,,10,2
45,1,7:58.0,D. Wright misses 2-pt layup from 2 ft,,10,2
46,1,7:56.0,,Defensive rebound by N. Reid,10,2
47,1,7:50.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by D. Russell),10,5
48,1,7:34.0,K. Porziņģis misses 2-pt layup from 6 ft,,10,5
49,1,7:32.0,,Defensive rebound by J. Hernangómez,10,5
50,1,7:27.0,,J. Culver makes 3-pt jump shot from 25 ft,10,8
51,1,7:11.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by S. Curry),,13,8
52,1,6:57.0,,J. Hernangómez misses 2-pt jump shot from 4 ft,13,8
53,1,6:57.0,Defensive rebound by Team,,13,8
54,1,6:57.0,,Loose ball foul by J. Hernangómez (drawn by D. Finney-Smith),13,8
55,1,6:57.0,J. Jackson enters the game for D. Finney-Smith,,13,8
56,1,6:57.0,M. Kleber enters the game for T. Hardaway,,13,8
57,1,6:47.0,Shooting foul by J. Culver (drawn by S. Curry),,13,8
58,1,6:47.0,S. Curry misses free throw 1 of 2,,13,8
59,1,6:47.0,Offensive rebound by Team,,13,8
60,1,6:47.0,,J. Layman enters the game for M. Beasley,13,8
61,1,6:47.0,S. Curry makes free throw 2 of 2,,14,8
62,1,6:31.0,,Shooting foul by M. Kleber (drawn by N. Reid),14,8
63,1,6:31.0,,N. Reid makes free throw 1 of 2,14,9
64,1,6:31.0,,N. Reid misses free throw 2 of 2,14,9
65,1,6:27.0,Defensive rebound by M. Kleber,,14,9
66,1,6:21.0,S. Curry misses 3-pt jump shot from 27 ft,,14,9
67,1,6:19.0,,Defensive rebound by J. Hernangómez,14,9
68,1,6:12.0,,Personal foul by S. Curry (drawn by D. Russell),14,9
69,1,6:05.0,,N. Reid makes 2-pt layup from 1 ft (assist by J. Culver),14,11
70,1,5:44.0,K. Porziņģis makes 2-pt jump shot from 20 ft,,16,11
71,1,5:26.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by J. Culver),16,13
72,1,5:17.0,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by D. Wright),,19,13
73,1,4:56.0,,D. Russell makes 2-pt layup from 2 ft (assist by J. Hernangómez),19,15
74,1,4:46.0,D. Wright misses 2-pt layup from 1 ft,,19,15
75,1,4:43.0,,Defensive rebound by N. Reid,19,15
76,1,4:36.0,,D. Russell makes 2-pt jump shot from 17 ft,19,17
77,1,4:32.0,Dallas full timeout,,19,17
78,1,4:32.0,,J. Johnson enters the game for J. Hernangómez,19,17
79,1,4:12.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,19,17
80,1,4:10.0,Offensive rebound by J. Jackson,,19,17
81,1,4:10.0,J. Jackson makes 2-pt layup from 1 ft,,21,17
82,1,3:57.0,,Def 3 sec tech foul by Team,21,17
83,1,3:57.0,,D. Russell misses technical free throw,21,17
84,1,3:57.0,,Offensive rebound by Team,21,17
85,1,3:57.0,T. Hardaway enters the game for S. Curry,,21,17
86,1,3:57.0,C. Lee enters the game for K. Porziņģis,,21,17
87,1,3:55.0,,J. Layman misses 3-pt jump shot from 25 ft,21,17
88,1,3:52.0,Defensive rebound by T. Hardaway,,21,17
89,1,3:42.0,T. Hardaway misses 3-pt jump shot from 26 ft,,21,17
90,1,3:40.0,Offensive rebound by Team,,21,17
91,1,3:38.0,Offensive foul by J. Jackson (drawn by D. Russell),,21,17
92,1,3:38.0,Turnover by J. Jackson (offensive foul),,21,17
93,1,3:26.0,,J. Layman misses 2-pt jump shot from 6 ft,21,17
94,1,3:24.0,Defensive rebound by M. Kleber,,21,17
95,1,3:17.0,J. Jackson misses 2-pt layup from 6 ft,,21,17
96,1,3:14.0,,Defensive rebound by J. Layman,21,17
97,1,3:03.0,,J. Layman misses 2-pt layup from 3 ft,21,17
98,1,3:00.0,,Offensive rebound by N. Reid,21,17
99,1,3:00.0,,N. Reid makes 2-pt layup at rim,21,19
100,1,2:42.0,T. Hardaway makes 2-pt layup from 1 ft (assist by D. Wright),,23,19
101,1,2:27.0,,J. Culver misses 3-pt jump shot from 24 ft,23,19
102,1,2:25.0,Defensive rebound by M. Kleber,,23,19
