,QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,S. Adams misses 2-pt jump shot from 9 ft (block by G. Hayward),0,0
1,1,11:43.0,Defensive rebound by D. Theis,,0,0
2,1,11:29.0,J. Brown makes 2-pt jump shot from 18 ft,,2,0
3,1,11:08.0,,L. Dort misses 2-pt layup from 9 ft,2,0
4,1,11:06.0,,Offensive rebound by S. Adams,2,0
5,1,11:04.0,,S. Adams misses 2-pt layup from 5 ft,2,0
6,1,11:03.0,,Offensive rebound by S. Adams,2,0
7,1,11:02.0,,S. Adams misses 2-pt layup from 4 ft,2,0
8,1,11:02.0,Defensive rebound by J. Brown,,2,0
9,1,10:55.0,K. Walker misses 3-pt jump shot from 26 ft,,2,0
10,1,10:53.0,,Defensive rebound by S. Gilgeous-Alexander,2,0
11,1,10:45.0,,C. Paul makes 2-pt jump shot from 10 ft,2,2
12,1,10:21.0,K. Walker misses 2-pt layup from 8 ft (block by S. Adams),,2,2
13,1,10:18.0,Offensive rebound by D. Theis,,2,2
14,1,10:18.0,D. Theis makes 2-pt dunk from 2 ft,,4,2
15,1,10:02.0,,D. Gallinari misses 2-pt layup from 9 ft,4,2
16,1,10:02.0,,Offensive rebound by D. Gallinari,4,2
17,1,10:02.0,,Shooting foul by K. Walker (drawn by D. Gallinari),4,2
18,1,10:02.0,,D. Gallinari makes free throw 1 of 2,4,3
19,1,10:02.0,,D. Gallinari makes free throw 2 of 2,4,4
20,1,9:52.0,G. Hayward makes 3-pt jump shot from 28 ft (assist by D. Theis),,7,4
21,1,9:35.0,,D. Gallinari makes 2-pt dunk from 2 ft (assist by C. Paul),7,6
22,1,9:21.0,J. Brown misses 3-pt jump shot from 26 ft,,7,6
23,1,9:18.0,,Defensive rebound by S. Adams,7,6
24,1,9:05.0,,D. Gallinari makes 2-pt jump shot from 9 ft,7,8
25,1,8:37.0,J. Brown makes 2-pt layup from 8 ft (assist by D. Theis),,9,8
26,1,8:20.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by D. Gallinari),9,11
27,1,8:04.0,D. Theis makes 3-pt jump shot from 25 ft (assist by G. Hayward),,12,11
28,1,7:49.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,12,13
29,1,7:28.0,D. Theis misses 2-pt layup from 6 ft,,12,13
