,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:39.0,Turnover by R. Westbrook (bad pass; steal by J. Butler),,0,0
1,1,11:25.0,,Turnover by J. Butler (bad pass),0,0
2,1,11:14.0,R. Westbrook misses 3-pt jump shot from 26 ft,,0,0
3,1,11:11.0,,Defensive rebound by D. Robinson,0,0
4,1,10:54.0,,K. Nunn misses 2-pt layup from 1 ft,0,0
5,1,10:50.0,Defensive rebound by C. Capela,,0,0
6,1,10:44.0,Turnover by E. Gordon (bad pass; steal by B. Adebayo),,0,0
7,1,10:39.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Nunn),0,2
8,1,10:14.0,J. Harden misses 3-pt jump shot from 25 ft,,0,2
9,1,10:12.0,,Defensive rebound by M. Leonard,0,2
10,1,10:04.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Adebayo),0,5
11,1,9:55.0,R. Westbrook makes 2-pt jump shot from 16 ft,,2,5
12,1,9:49.0,,Shooting foul by R. Westbrook (drawn by B. Adebayo),2,5
13,1,9:49.0,,B. Adebayo makes free throw 1 of 2,2,6
14,1,9:49.0,,B. Adebayo makes free throw 2 of 2,2,7
15,1,9:43.0,Turnover by J. Harden (bad pass),,2,7
16,1,9:43.0,Loose ball foul by J. Harden (drawn by J. Butler),,2,7
17,1,9:31.0,,M. Leonard misses 3-pt jump shot from 23 ft,2,7
18,1,9:31.0,,Offensive rebound by Team,2,7
19,1,9:31.0,Loose ball foul by C. Capela (drawn by B. Adebayo),,2,7
20,1,9:20.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by M. Leonard),2,9
21,1,9:15.0,Shooting foul by K. Nunn (drawn by J. Harden),,2,9
22,1,9:15.0,J. Harden makes free throw 1 of 2,,3,9
23,1,9:15.0,J. Harden makes free throw 2 of 2,,4,9
24,1,9:00.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by K. Nunn),4,12
25,1,8:51.0,E. Gordon misses 3-pt jump shot from 27 ft (block by D. Robinson),,4,12
26,1,8:50.0,,Defensive rebound by K. Nunn,4,12
27,1,8:45.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),4,15
28,1,8:29.0,J. Harden misses 3-pt jump shot from 26 ft,,4,15
29,1,8:26.0,,Defensive rebound by D. Robinson,4,15
30,1,8:16.0,,M. Leonard makes 2-pt layup from 2 ft (assist by J. Butler),4,17
31,1,8:16.0,Houston full timeout,,4,17
32,1,7:59.0,C. Capela misses 2-pt hook shot from 5 ft,,4,17
33,1,7:56.0,,Defensive rebound by J. Butler,4,17
34,1,7:36.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by B. Adebayo),4,19
35,1,7:25.0,P. Tucker misses 3-pt jump shot from 23 ft,,4,19
36,1,7:21.0,,Defensive rebound by D. Robinson,4,19
37,1,7:17.0,,K. Nunn misses 2-pt layup from 1 ft,4,19
38,1,7:12.0,,Offensive rebound by J. Butler,4,19
39,1,7:12.0,,J. Butler makes 2-pt layup at rim,4,21
40,1,7:06.0,Turnover by R. Westbrook (lost ball; steal by J. Butler),,4,21
41,1,7:00.0,,K. Nunn makes 3-pt jump shot from 25 ft (assist by B. Adebayo),4,24
42,1,6:43.0,P. Tucker misses 3-pt jump shot from 25 ft,,4,24
43,1,6:41.0,,Defensive rebound by D. Robinson,4,24
44,1,6:36.0,,Personal foul by C. Capela (drawn by M. Leonard),4,24
45,1,6:36.0,D. House enters the game for C. Capela,,4,24
46,1,6:36.0,A. Rivers enters the game for R. Westbrook,,4,24
47,1,6:27.0,,M. Leonard makes 2-pt layup from 2 ft (assist by K. Nunn),4,26
48,1,6:15.0,,Violation by Team (kicked ball),4,26
49,1,6:15.0,,G. Dragić enters the game for D. Robinson,4,26
50,1,6:06.0,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),,7,26
51,1,5:56.0,,Turnover by M. Leonard (bad pass; steal by J. Harden),7,26
52,1,5:55.0,Personal take foul by M. Leonard (drawn by J. Harden),,7,26
53,1,5:52.0,E. Gordon misses 3-pt jump shot from 25 ft,,7,26
54,1,5:50.0,,Defensive rebound by B. Adebayo,7,26
55,1,5:28.0,,Turnover by B. Adebayo (bad pass; steal by E. Gordon),7,26
56,1,5:23.0,J. Harden misses 2-pt layup from 2 ft,,7,26
57,1,5:23.0,Offensive rebound by Team,,7,26
58,1,5:23.0,Personal foul by K. Nunn (drawn by P. Tucker),,7,26
59,1,5:23.0,,T. Herro enters the game for K. Nunn,7,26
60,1,5:14.0,A. Rivers misses 3-pt jump shot from 23 ft,,7,26
61,1,5:13.0,,Defensive rebound by Team,7,26
