,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:39.0,,P. Siakam misses 2-pt jump shot from 15 ft,0,0
1,1,11:37.0,Defensive rebound by K. Middleton,,0,0
2,1,11:28.0,K. Middleton misses 2-pt jump shot from 12 ft,,0,0
3,1,11:26.0,,Defensive rebound by K. Lowry,0,0
4,1,11:14.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,0
5,1,11:11.0,Defensive rebound by G. Antetokounmpo,,0,0
6,1,10:56.0,Personal foul by O. Anunoby (drawn by B. Lopez),,0,0
7,1,10:49.0,K. Middleton misses 2-pt jump shot from 15 ft,,0,0
8,1,10:46.0,,Defensive rebound by S. Ibaka,0,0
9,1,10:38.0,,F. VanVleet misses 3-pt jump shot from 26 ft,0,0
10,1,10:34.0,Defensive rebound by E. Bledsoe,,0,0
11,1,10:30.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,0,0
12,1,10:29.0,,Defensive rebound by Team,0,0
13,1,10:18.0,,S. Ibaka misses 2-pt hook shot from 8 ft,0,0
14,1,10:16.0,Defensive rebound by G. Antetokounmpo,,0,0
15,1,10:08.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,0,0
16,1,10:05.0,,Defensive rebound by S. Ibaka,0,0
17,1,9:59.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,0
18,1,9:57.0,Defensive rebound by G. Antetokounmpo,,0,0
19,1,9:50.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,3,0
20,1,9:37.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by O. Anunoby),3,3
21,1,9:19.0,Turnover by W. Matthews (out of bounds lost ball),,3,3
22,1,9:13.0,,S. Ibaka misses 3-pt jump shot from 26 ft,3,3
23,1,9:10.0,,Offensive rebound by O. Anunoby,3,3
24,1,9:08.0,,K. Lowry misses 3-pt jump shot from 28 ft,3,3
25,1,9:04.0,Defensive rebound by G. Antetokounmpo,,3,3
26,1,8:57.0,W. Matthews misses 3-pt jump shot from 27 ft,,3,3
27,1,8:53.0,,Defensive rebound by F. VanVleet,3,3
28,1,8:38.0,,S. Ibaka misses 3-pt jump shot from 22 ft,3,3
29,1,8:34.0,Defensive rebound by E. Bledsoe,,3,3
30,1,8:22.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,3,3
31,1,8:19.0,,Defensive rebound by S. Ibaka,3,3
32,1,8:13.0,,Shooting foul by B. Lopez (drawn by P. Siakam),3,3
33,1,8:13.0,,P. Siakam misses free throw 1 of 2,3,3
34,1,8:13.0,,Offensive rebound by Team,3,3
35,1,8:13.0,,P. Siakam makes free throw 2 of 2,3,4
36,1,8:00.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,3,4
37,1,7:57.0,,Defensive rebound by K. Lowry,3,4
38,1,7:51.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),3,7
39,1,7:30.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft (assist by W. Matthews),,5,7
40,1,7:10.0,,P. Siakam misses 3-pt jump shot from 23 ft,5,7
41,1,7:06.0,Defensive rebound by K. Middleton,,5,7
42,1,6:53.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,8,7
43,1,6:42.0,,K. Lowry makes 3-pt jump shot from 28 ft,8,10
44,1,6:42.0,Milwaukee full timeout,,8,10
45,1,6:42.0,R. Lopez enters the game for B. Lopez,,8,10
46,1,6:17.0,K. Middleton misses 3-pt jump shot from 26 ft,,8,10
47,1,6:14.0,,Defensive rebound by P. Siakam,8,10
48,1,6:07.0,,Turnover by P. Siakam (bad pass),8,10
49,1,5:56.0,E. Bledsoe makes 2-pt layup at rim,,10,10
50,1,5:41.0,,S. Ibaka misses 2-pt jump shot from 18 ft,10,10
51,1,5:36.0,Defensive rebound by G. Antetokounmpo,,10,10
52,1,5:31.0,R. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,13,10
53,1,5:11.0,,F. VanVleet makes 2-pt jump shot from 16 ft,13,12
54,1,4:58.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by K. Middleton),,15,12
55,1,4:58.0,Shooting foul by S. Ibaka (drawn by E. Bledsoe),,15,12
56,1,4:58.0,P. Connaughton enters the game for G. Antetokounmpo,,15,12
57,1,4:58.0,D. DiVincenzo enters the game for W. Matthews,,15,12
58,1,4:58.0,M. Williams enters the game for K. Middleton,,15,12
59,1,4:58.0,,T. Davis enters the game for K. Lowry,15,12
60,1,4:58.0,E. Bledsoe makes free throw 1 of 1,,16,12
61,1,4:50.0,,T. Davis misses 3-pt jump shot from 27 ft,16,12
62,1,4:47.0,Defensive rebound by P. Connaughton,,16,12
63,1,4:37.0,P. Connaughton makes 2-pt layup from 1 ft (assist by D. DiVincenzo),,18,12
64,1,4:25.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by P. Siakam),18,14
65,1,4:12.0,Shooting foul by F. VanVleet (drawn by E. Bledsoe),,18,14
66,1,4:12.0,E. Bledsoe misses free throw 1 of 2,,18,14
67,1,4:12.0,Offensive rebound by Team,,18,14
68,1,4:12.0,G. Hill enters the game for D. DiVincenzo,,18,14
69,1,4:12.0,,C. Boucher enters the game for O. Anunoby,18,14
70,1,4:12.0,,R. Hollis-Jefferson enters the game for S. Ibaka,18,14
71,1,4:12.0,E. Bledsoe makes free throw 2 of 2,,19,14
72,1,3:58.0,,F. VanVleet misses 3-pt jump shot from 27 ft,19,14
73,1,3:55.0,Defensive rebound by M. Williams,,19,14
74,1,3:35.0,M. Williams misses 3-pt jump shot from 26 ft,,19,14
75,1,3:33.0,Offensive rebound by M. Williams,,19,14
76,1,3:20.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,19,14
77,1,3:16.0,Offensive rebound by P. Connaughton,,19,14
78,1,3:13.0,M. Williams misses 3-pt jump shot from 24 ft,,19,14
79,1,3:09.0,,Defensive rebound by T. Davis,19,14
80,1,3:01.0,,C. Boucher makes 3-pt jump shot from 26 ft (assist by T. Davis),19,17
81,1,2:33.0,R. Lopez misses 3-pt jump shot from 25 ft,,19,17
82,1,2:31.0,,Defensive rebound by R. Hollis-Jefferson,19,17
83,1,2:26.0,,P. Siakam makes 3-pt jump shot from 28 ft (assist by R. Hollis-Jefferson),19,20
84,1,2:07.0,E. Bledsoe makes 3-pt jump shot from 28 ft,,22,20
85,1,1:57.0,,P. Siakam misses 2-pt layup from 4 ft (block by R. Lopez),22,20
86,1,1:57.0,,Offensive rebound by Team,22,20
87,1,1:57.0,,Toronto full timeout,22,20
88,1,1:57.0,G. Antetokounmpo enters the game for E. Bledsoe,,22,20
89,1,1:57.0,D. DiVincenzo enters the game for R. Lopez,,22,20
90,1,1:57.0,B. Lopez enters the game for M. Williams,,22,20
91,1,1:57.0,,K. Lowry enters the game for F. VanVleet,22,20
92,1,1:46.0,,T. Davis misses 3-pt jump shot from 26 ft,22,20
93,1,1:41.0,,Offensive rebound by C. Boucher,22,20
94,1,1:41.0,,C. Boucher makes 2-pt dunk at rim,22,22
95,1,1:35.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),,22,22
96,1,1:35.0,G. Antetokounmpo makes free throw 1 of 2,,23,22
97,1,1:35.0,G. Antetokounmpo misses free throw 2 of 2,,23,22
98,1,1:32.0,Offensive rebound by B. Lopez,,23,22
99,1,1:20.0,Turnover by Team (shot clock),,23,22
100,1,1:08.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),23,25
101,1,0:53.0,Turnover by G. Hill (lost ball; steal by T. Davis),,23,25
102,1,0:50.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by G. Antetokounmpo),23,25
103,1,0:47.0,Defensive rebound by D. DiVincenzo,,23,25
104,1,0:41.0,Offensive foul by G. Antetokounmpo (drawn by C. Boucher),,23,25
105,1,0:41.0,Turnover by G. Antetokounmpo (offensive foul),,23,25
106,1,0:28.0,,T. Davis misses 3-pt jump shot from 24 ft,23,25
107,1,0:26.0,Defensive rebound by Team,,23,25
108,1,0:26.0,,Loose ball foul by T. Davis (drawn by G. Antetokounmpo),23,25
109,1,0:26.0,G. Antetokounmpo makes free throw 1 of 2,,24,25
110,1,0:26.0,G. Antetokounmpo makes free throw 2 of 2,,25,25
111,1,0:01.0,,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft (assist by T. Davis),25,27
112,2,11:45.0,Personal foul by M. Thomas (drawn by B. Lopez),,25,27
113,2,11:35.0,G. Hill misses 3-pt jump shot from 26 ft,,25,27
114,2,11:32.0,,Defensive rebound by C. Boucher,25,27
115,2,11:27.0,,T. Davis misses 2-pt layup from 2 ft,25,27
116,2,11:25.0,Defensive rebound by K. Middleton,,25,27
117,2,11:11.0,B. Lopez makes 2-pt hook shot from 3 ft (assist by K. Middleton),,27,27
118,2,11:01.0,,C. Boucher makes 3-pt jump shot from 27 ft (assist by K. Lowry),27,30
119,2,10:49.0,G. Antetokounmpo misses 3-pt jump shot from 30 ft,,27,30
120,2,10:47.0,,Defensive rebound by T. Davis,27,30
121,2,10:42.0,,Turnover by T. Davis (bad pass; steal by D. DiVincenzo),27,30
122,2,10:38.0,B. Lopez misses 3-pt jump shot from 32 ft,,27,30
123,2,10:34.0,,Defensive rebound by R. Hollis-Jefferson,27,30
124,2,10:20.0,,T. Davis misses 2-pt jump shot from 6 ft,27,30
125,2,10:18.0,Defensive rebound by D. DiVincenzo,,27,30
126,2,10:07.0,Shooting foul by M. Thomas (drawn by K. Middleton),,27,30
127,2,10:07.0,K. Middleton misses free throw 1 of 3,,27,30
128,2,10:07.0,Offensive rebound by Team,,27,30
129,2,10:07.0,K. Middleton makes free throw 2 of 3,,28,30
130,2,10:07.0,W. Matthews enters the game for G. Hill,,28,30
131,2,10:07.0,,F. VanVleet enters the game for T. Davis,28,30
132,2,10:07.0,K. Middleton makes free throw 3 of 3,,29,30
133,2,9:52.0,,M. Thomas makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),29,33
134,2,9:41.0,K. Middleton misses 2-pt layup from 11 ft (block by K. Lowry),,29,33
135,2,9:37.0,,Defensive rebound by C. Boucher,29,33
136,2,9:35.0,,M. Thomas makes 3-pt jump shot from 26 ft (assist by K. Lowry),29,36
137,2,9:35.0,Milwaukee full timeout,,29,36
138,2,9:35.0,E. Bledsoe enters the game for D. DiVincenzo,,29,36
139,2,9:13.0,W. Matthews misses 3-pt jump shot from 28 ft,,29,36
140,2,9:09.0,,Defensive rebound by R. Hollis-Jefferson,29,36
141,2,9:01.0,,C. Boucher misses 3-pt jump shot from 26 ft,29,36
142,2,8:58.0,Defensive rebound by E. Bledsoe,,29,36
143,2,8:51.0,E. Bledsoe misses 2-pt layup from 1 ft,,29,36
144,2,8:49.0,Offensive rebound by E. Bledsoe,,29,36
145,2,8:48.0,Shooting foul by C. Boucher (drawn by E. Bledsoe),,29,36
146,2,8:48.0,E. Bledsoe misses free throw 1 of 2,,29,36
147,2,8:48.0,Offensive rebound by Team,,29,36
148,2,8:48.0,E. Bledsoe makes free throw 2 of 2,,30,36
149,2,8:35.0,,M. Thomas makes 3-pt jump shot from 26 ft (assist by F. VanVleet),30,39
150,2,8:20.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,30,39
151,2,8:17.0,,Defensive rebound by R. Hollis-Jefferson,30,39
152,2,8:13.0,,K. Lowry misses 3-pt jump shot from 27 ft,30,39
153,2,8:10.0,Defensive rebound by G. Antetokounmpo,,30,39
154,2,8:10.0,M. Williams enters the game for G. Antetokounmpo,,30,39
155,2,8:01.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by E. Bledsoe),,32,39
156,2,7:48.0,,Turnover by K. Lowry (bad pass; steal by M. Williams),32,39
157,2,7:46.0,,Technical foul by B. Lopez,32,39
158,2,7:46.0,Technical foul by N. Nurse,,32,39
159,2,7:29.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by K. Middleton),,35,39
160,2,7:16.0,,K. Lowry misses 2-pt layup from 2 ft,35,39
161,2,7:12.0,,Offensive rebound by C. Boucher,35,39
162,2,7:12.0,,C. Boucher misses 2-pt layup at rim (block by B. Lopez),35,39
163,2,7:10.0,Defensive rebound by W. Matthews,,35,39
164,2,7:08.0,B. Lopez misses 3-pt jump shot from 30 ft,,35,39
165,2,7:06.0,,Defensive rebound by K. Lowry,35,39
166,2,6:58.0,,C. Boucher makes 2-pt dunk from 1 ft (assist by M. Thomas),35,41
167,2,6:42.0,B. Lopez misses 2-pt hook shot from 8 ft,,35,41
168,2,6:35.0,,Defensive rebound by K. Lowry,35,41
