,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:43.0,,D. Green makes 3-pt jump shot from 25 ft (assist by L. James),0,3
1,1,11:26.0,Violation by Team (kicked ball),,0,3
2,1,11:05.0,,L. James misses 2-pt hook shot from 8 ft,0,3
3,1,11:02.0,Defensive rebound by L. Ball,,0,3
4,1,10:57.0,B. Ingram makes 2-pt dunk from 2 ft (assist by J. Holiday),,2,3
5,1,10:45.0,,Turnover by L. James (bad pass),2,3
6,1,10:37.0,L. Ball misses 3-pt jump shot from 26 ft,,2,3
7,1,10:35.0,,Defensive rebound by J. McGee,2,3
8,1,10:09.0,,J. McGee makes 2-pt jump shot from 20 ft,2,5
9,1,9:56.0,J. Holiday misses 2-pt layup from 8 ft (block by A. Davis),,2,5
10,1,9:54.0,,Defensive rebound by A. Davis,2,5
11,1,9:52.0,,L. James makes 2-pt layup from 1 ft,2,7
12,1,9:39.0,B. Ingram misses 2-pt jump shot from 16 ft,,2,7
13,1,9:36.0,,Defensive rebound by J. McGee,2,7
14,1,9:33.0,,Turnover by L. James (bad pass; steal by Z. Williamson),2,7
15,1,9:27.0,Z. Williamson misses 2-pt layup from 3 ft,,2,7
16,1,9:24.0,,Defensive rebound by D. Green,2,7
17,1,9:20.0,,A. Bradley misses 3-pt jump shot from 25 ft,2,7
18,1,9:16.0,Defensive rebound by Z. Williamson,,2,7
19,1,9:00.0,J. Holiday misses 2-pt layup from 5 ft (block by A. Davis),,2,7
20,1,8:57.0,,Defensive rebound by D. Green,2,7
21,1,8:56.0,,Shooting foul by L. Ball (drawn by A. Davis),2,7
22,1,8:56.0,,A. Davis makes free throw 1 of 2,2,8
23,1,8:56.0,,A. Davis makes free throw 2 of 2,2,9
24,1,8:44.0,J. Holiday misses 2-pt jump shot from 4 ft (block by A. Davis),,2,9
25,1,8:41.0,,Defensive rebound by L. James,2,9
26,1,8:39.0,,D. Green makes 3-pt jump shot from 27 ft (assist by L. James),2,12
27,1,8:30.0,New Orleans full timeout,,2,12
28,1,8:17.0,Shooting foul by A. Davis (drawn by Z. Williamson),,2,12
