,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:36.0,,A. Drummond misses 2-pt layup from 3 ft,0,0
1,1,11:34.0,Defensive rebound by B. Biyombo,,0,0
2,1,11:23.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by M. Bridges),,3,0
3,1,11:05.0,,B. Griffin misses 3-pt jump shot from 25 ft,3,0
4,1,11:01.0,Defensive rebound by T. Rozier,,3,0
5,1,10:48.0,B. Biyombo makes 2-pt layup from 2 ft (assist by P. Washington),,5,0
6,1,10:27.0,,B. Griffin misses 3-pt jump shot from 26 ft,5,0
7,1,10:24.0,Defensive rebound by B. Biyombo,,5,0
8,1,10:16.0,B. Biyombo misses 2-pt jump shot from 7 ft,,5,0
9,1,10:13.0,,Defensive rebound by L. Galloway,5,0
10,1,10:04.0,,B. Griffin makes 2-pt hook shot from 6 ft,5,2
11,1,9:41.0,M. Bridges misses 3-pt jump shot from 26 ft,,5,2
12,1,9:39.0,,Defensive rebound by A. Drummond,5,2
13,1,9:30.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Brown),5,4
14,1,9:09.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by D. Graham),,8,4
15,1,8:47.0,,L. Kennard makes 3-pt jump shot from 28 ft (assist by B. Griffin),8,7
16,1,8:26.0,M. Bridges makes 2-pt layup from 8 ft,,10,7
17,1,8:17.0,,Turnover by A. Drummond (bad pass; steal by P. Washington),10,7
18,1,8:12.0,D. Graham misses 2-pt layup from 3 ft (block by B. Griffin),,10,7
19,1,8:10.0,Offensive rebound by M. Bridges,,10,7
20,1,8:08.0,M. Bridges makes 2-pt layup from 1 ft,,12,7
21,1,8:03.0,,L. Kennard makes 3-pt jump shot from 26 ft,12,10
22,1,7:38.0,B. Biyombo misses 2-pt jump shot from 17 ft,,12,10
23,1,7:36.0,,Defensive rebound by B. Brown,12,10
24,1,7:26.0,,L. Kennard misses 2-pt jump shot from 13 ft (block by B. Biyombo),12,10
25,1,7:23.0,,Offensive rebound by A. Drummond,12,10
26,1,7:22.0,,A. Drummond makes 2-pt layup from 1 ft,12,12
27,1,7:14.0,Shooting foul by L. Kennard (drawn by P. Washington),,12,12
28,1,7:14.0,P. Washington makes free throw 1 of 2,,13,12
29,1,7:14.0,P. Washington makes free throw 2 of 2,,14,12
30,1,6:59.0,,L. Galloway misses 3-pt jump shot from 26 ft,14,12
31,1,6:57.0,,Offensive rebound by A. Drummond,14,12
32,1,6:56.0,,A. Drummond misses 2-pt layup from 2 ft,14,12
33,1,6:54.0,,Offensive rebound by A. Drummond,14,12
34,1,6:53.0,,A. Drummond makes 2-pt layup from 1 ft,14,14
35,1,6:42.0,M. Bridges misses 2-pt hook shot from 6 ft,,14,14
36,1,6:39.0,Offensive rebound by M. Bridges,,14,14
37,1,6:38.0,P. Washington makes 3-pt jump shot from 22 ft (assist by M. Bridges),,17,14
38,1,6:17.0,,B. Griffin misses 3-pt jump shot from 23 ft,17,14
39,1,6:14.0,Defensive rebound by M. Bridges,,17,14
40,1,6:08.0,T. Rozier makes 2-pt jump shot from 8 ft,,19,14
41,1,5:59.0,,L. Kennard makes 3-pt jump shot from 22 ft (assist by B. Griffin),19,17
42,1,5:36.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Rozier),,22,17
43,1,5:28.0,,Detroit full timeout,22,17
44,1,5:28.0,N. Batum enters the game for D. Graham,,22,17
45,1,5:28.0,M. Williams enters the game for P. Washington,,22,17
46,1,5:28.0,,D. Rose enters the game for B. Brown,22,17
47,1,5:28.0,,T. Snell enters the game for L. Galloway,22,17
48,1,5:13.0,,L. Kennard makes 3-pt jump shot from 25 ft (assist by B. Griffin),22,20
49,1,4:57.0,B. Biyombo misses 2-pt layup from 3 ft (block by A. Drummond),,22,20
50,1,4:54.0,Offensive rebound by N. Batum,,22,20
51,1,4:51.0,M. Williams misses 3-pt jump shot from 23 ft,,22,20
52,1,4:50.0,,Defensive rebound by A. Drummond,22,20
53,1,4:48.0,,Shooting foul by T. Rozier (drawn by D. Rose),22,20
54,1,4:48.0,,D. Rose misses free throw 1 of 2,22,20
55,1,4:48.0,,Offensive rebound by Team,22,20
56,1,4:48.0,M. Monk enters the game for M. Bridges,,22,20
57,1,4:48.0,,D. Rose makes free throw 2 of 2,22,21
58,1,4:37.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by M. Williams),,25,21
59,1,4:27.0,,L. Kennard misses 3-pt jump shot from 30 ft,25,21
60,1,4:23.0,Defensive rebound by N. Batum,,25,21
