,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,T. Satoranský misses 3-pt jump shot from 26 ft,,0,0
1,1,11:32.0,,Defensive rebound by B. Simmons,0,0
2,1,11:28.0,,B. Simmons misses 2-pt layup from 4 ft,0,0
3,1,11:27.0,Defensive rebound by L. Kornet,,0,0
4,1,11:21.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by Z. LaVine),,2,0
5,1,11:08.0,,Personal foul by L. Kornet (drawn by A. Horford),2,0
6,1,10:56.0,,A. Horford makes 2-pt jump shot from 8 ft,2,2
7,1,10:36.0,,Violation by Team (kicked ball),2,2
8,1,10:31.0,L. Kornet misses 3-pt jump shot from 24 ft,,2,2
9,1,10:30.0,,Defensive rebound by Team,2,2
10,1,10:11.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),2,4
11,1,9:52.0,T. Satoranský makes 2-pt jump shot from 7 ft,,4,4
12,1,9:40.0,,B. Simmons misses 2-pt layup from 1 ft,4,4
13,1,9:37.0,,Offensive rebound by B. Simmons,4,4
14,1,9:36.0,,M. Thybulle misses 3-pt jump shot from 26 ft,4,4
15,1,9:33.0,Defensive rebound by T. Satoranský,,4,4
16,1,9:19.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by T. Satoranský),,7,4
17,1,9:02.0,,Shooting foul by K. Dunn (drawn by T. Harris),7,4
18,1,9:02.0,,T. Harris makes free throw 1 of 2,7,5
19,1,9:02.0,,T. Harris makes free throw 2 of 2,7,6
20,1,8:54.0,Turnover by Z. LaVine (lost ball; steal by M. Thybulle),,7,6
21,1,8:46.0,,M. Thybulle misses 3-pt jump shot from 26 ft,7,6
22,1,8:43.0,Defensive rebound by Z. LaVine,,7,6
23,1,8:36.0,Shooting foul by M. Thybulle (drawn by L. Kornet),,7,6
24,1,8:36.0,L. Kornet misses free throw 1 of 2,,7,6
25,1,8:36.0,Offensive rebound by Team,,7,6
26,1,8:36.0,L. Kornet makes free throw 2 of 2,,8,6
27,1,8:20.0,,J. Richardson makes 2-pt jump shot from 8 ft,8,8
28,1,7:57.0,K. Dunn misses 2-pt jump shot from 12 ft,,8,8
29,1,7:54.0,,Defensive rebound by B. Simmons,8,8
30,1,7:39.0,,Shooting foul by T. Satoranský (drawn by M. Thybulle),8,8
31,1,7:39.0,,M. Thybulle makes free throw 1 of 2,8,9
32,1,7:39.0,,M. Thybulle makes free throw 2 of 2,8,10
33,1,7:30.0,Z. LaVine makes 2-pt dunk at rim (assist by T. Satoranský),,10,10
34,1,7:11.0,,B. Simmons makes 2-pt dunk from 2 ft (assist by A. Horford),10,12
35,1,6:47.0,T. Satoranský misses 2-pt jump shot from 4 ft,,10,12
36,1,6:45.0,,Defensive rebound by J. Richardson,10,12
37,1,6:33.0,,Turnover by A. Horford (bad pass; steal by L. Markkanen),10,12
38,1,6:28.0,Z. LaVine makes 2-pt dunk at rim (assist by K. Dunn),,12,12
39,1,6:12.0,,B. Simmons misses 2-pt layup from 1 ft (block by L. Markkanen),12,12
40,1,6:10.0,Defensive rebound by K. Dunn,,12,12
41,1,6:03.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by K. Dunn),,14,12
42,1,6:03.0,,Philadelphia full timeout,14,12
43,1,6:03.0,C. Felício enters the game for L. Kornet,,14,12
44,1,6:03.0,C. White enters the game for T. Satoranský,,14,12
45,1,6:03.0,,F. Korkmaz enters the game for J. Richardson,14,12
46,1,5:51.0,,B. Simmons makes 2-pt layup at rim (assist by A. Horford),14,14
47,1,5:39.0,Turnover by K. Dunn (dbl dribble),,14,14
48,1,5:29.0,,Personal foul by K. Dunn (drawn by B. Simmons),14,14
49,1,5:29.0,C. Hutchison enters the game for K. Dunn,,14,14
50,1,5:29.0,T. Young enters the game for L. Markkanen,,14,14
