,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:33.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by T. Satoranský),0,3
1,1,11:15.0,Turnover by L. Galloway (lost ball),,0,3
2,1,11:15.0,Loose ball foul by L. Galloway (drawn by S. Harrison),,0,3
3,1,11:07.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by T. Satoranský),0,5
4,1,10:50.0,B. Griffin misses 3-pt jump shot from 22 ft,,0,5
5,1,10:46.0,,Defensive rebound by S. Harrison,0,5
6,1,10:37.0,,T. Satoranský misses 3-pt jump shot from 25 ft,0,5
7,1,10:34.0,Defensive rebound by B. Griffin,,0,5
8,1,10:18.0,L. Kennard misses 3-pt jump shot from 24 ft,,0,5
9,1,10:15.0,,Defensive rebound by W. Carter,0,5
10,1,10:10.0,,Turnover by T. Satoranský (bad pass),0,5
11,1,9:51.0,B. Griffin misses 3-pt jump shot from 22 ft,,0,5
12,1,9:48.0,,Defensive rebound by T. Satoranský,0,5
13,1,9:37.0,,S. Harrison misses 2-pt layup from 2 ft,0,5
14,1,9:35.0,Defensive rebound by L. Galloway,,0,5
15,1,9:27.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,2,5
16,1,9:14.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),2,8
17,1,9:01.0,L. Kennard misses 2-pt jump shot from 12 ft,,2,8
18,1,8:58.0,,Defensive rebound by T. Satoranský,2,8
19,1,8:52.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by T. Satoranský),2,10
20,1,8:34.0,A. Drummond makes 2-pt jump shot from 6 ft (assist by B. Brown),,4,10
21,1,8:14.0,,S. Harrison misses 2-pt layup from 3 ft,4,10
22,1,8:10.0,,Offensive rebound by S. Harrison,4,10
23,1,8:10.0,,S. Harrison makes 2-pt layup at rim,4,12
24,1,8:03.0,Detroit full timeout,,4,12
25,1,7:51.0,Turnover by B. Griffin (lost ball; steal by S. Harrison),,4,12
26,1,7:47.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by S. Harrison),4,14
27,1,7:43.0,Shooting foul by L. Markkanen (drawn by B. Griffin),,4,14
28,1,7:43.0,B. Griffin makes free throw 1 of 2,,5,14
29,1,7:43.0,B. Griffin makes free throw 2 of 2,,6,14
30,1,7:32.0,,S. Harrison makes 3-pt jump shot from 25 ft (assist by T. Satoranský),6,17
31,1,7:08.0,L. Galloway misses 2-pt jump shot from 5 ft,,6,17
32,1,7:06.0,,Defensive rebound by L. Markkanen,6,17
33,1,6:43.0,,L. Markkanen misses 2-pt jump shot from 17 ft,6,17
34,1,6:38.0,,Offensive rebound by W. Carter,6,17
35,1,6:38.0,,W. Carter makes 2-pt layup at rim,6,19
36,1,6:28.0,Personal foul by S. Harrison (drawn by L. Kennard),,6,19
37,1,6:28.0,,C. White enters the game for S. Harrison,6,19
38,1,6:22.0,B. Griffin makes 2-pt layup from 1 ft (assist by B. Brown),,8,19
39,1,6:17.0,,Offensive foul by W. Carter (drawn by L. Galloway),8,19
40,1,6:17.0,,Turnover by W. Carter (offensive foul),8,19
41,1,6:17.0,D. Rose enters the game for L. Galloway,,8,19
42,1,5:56.0,D. Rose makes 2-pt layup from 1 ft,,10,19
43,1,5:33.0,,W. Carter misses 2-pt layup from 2 ft,10,19
44,1,5:31.0,Defensive rebound by A. Drummond,,10,19
45,1,5:28.0,Personal foul by T. Satoranský (drawn by A. Drummond),,10,19
46,1,5:28.0,M. Morris enters the game for B. Griffin,,10,19
47,1,5:28.0,,K. Dunn enters the game for T. Satoranský,10,19
48,1,5:18.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by A. Drummond),,13,19
49,1,5:06.0,,Turnover by Z. LaVine (lost ball; steal by A. Drummond),13,19
50,1,4:57.0,M. Morris makes 2-pt jump shot from 18 ft (assist by B. Brown),,15,19
51,1,4:57.0,,Chicago full timeout,15,19
52,1,4:57.0,,D. Gafford enters the game for W. Carter,15,19
53,1,4:57.0,,T. Young enters the game for L. Markkanen,15,19
54,1,4:43.0,,K. Dunn makes 2-pt layup from 2 ft,15,21
55,1,4:18.0,B. Brown makes 2-pt layup from 2 ft,,17,21
56,1,4:01.0,,Turnover by K. Dunn (bad pass; steal by A. Drummond),17,21
57,1,3:56.0,L. Kennard makes 2-pt layup from 2 ft (assist by A. Drummond),,19,21
58,1,3:37.0,,Z. LaVine misses 2-pt jump shot from 9 ft,19,21
59,1,3:34.0,Defensive rebound by A. Drummond,,19,21
60,1,3:22.0,A. Drummond misses 2-pt dunk from 1 ft,,19,21
61,1,3:20.0,,Defensive rebound by Z. LaVine,19,21
62,1,3:19.0,,Shooting foul by D. Rose (drawn by C. White),19,21
63,1,3:19.0,,C. White makes free throw 1 of 3,19,22
64,1,3:19.0,,C. White makes free throw 2 of 3,19,23
65,1,3:19.0,L. Galloway enters the game for B. Brown,,19,23
66,1,3:19.0,,R. Arcidiacono enters the game for Z. LaVine,19,23
67,1,3:19.0,,C. White makes free throw 3 of 3,19,24
68,1,3:04.0,M. Morris makes 3-pt jump shot from 26 ft (assist by L. Kennard),,22,24
69,1,2:50.0,,T. Young misses 2-pt jump shot from 4 ft (block by A. Drummond),22,24
70,1,2:47.0,Defensive rebound by A. Drummond,,22,24
