,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,W. Matthews makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),0,2
1,1,11:29.0,W. Barton misses 3-pt jump shot from 26 ft,,0,2
2,1,11:25.0,,Defensive rebound by G. Antetokounmpo,0,2
3,1,11:21.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,0,2
4,1,11:18.0,Defensive rebound by W. Barton,,0,2
5,1,11:02.0,Turnover by N. Jokić (lost ball; steal by T. Antetokounmpo),,0,2
6,1,10:58.0,,T. Antetokounmpo makes 2-pt dunk from 2 ft,0,4
7,1,10:47.0,Personal foul by T. Antetokounmpo (drawn by N. Jokić),,0,4
8,1,10:37.0,M. Morris makes 2-pt layup from 1 ft (assist by W. Barton),,2,4
9,1,10:28.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),2,6
10,1,10:28.0,,Shooting foul by N. Jokić (drawn by E. Bledsoe),2,6
11,1,10:28.0,,E. Bledsoe misses free throw 1 of 1,2,6
12,1,10:25.0,Defensive rebound by T. Craig,,2,6
13,1,10:10.0,N. Jokić misses 2-pt jump shot from 10 ft,,2,6
14,1,10:08.0,,Defensive rebound by G. Antetokounmpo,2,6
15,1,10:04.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),2,9
16,1,9:36.0,W. Barton misses 2-pt jump shot from 6 ft,,2,9
17,1,9:36.0,,Defensive rebound by Team,2,9
18,1,9:26.0,,E. Bledsoe makes 2-pt jump shot from 10 ft,2,11
19,1,9:26.0,Denver full timeout,,2,11
20,1,9:12.0,N. Jokić misses 2-pt jump shot from 15 ft,,2,11
21,1,9:09.0,,Defensive rebound by G. Antetokounmpo,2,11
22,1,9:04.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,2,11
23,1,9:02.0,Defensive rebound by W. Barton,,2,11
24,1,8:43.0,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),,4,11
25,1,8:38.0,,T. Antetokounmpo makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),4,13
26,1,8:38.0,,Shooting foul by M. Morris (drawn by T. Antetokounmpo),4,13
27,1,8:38.0,,T. Antetokounmpo misses free throw 1 of 1,4,13
28,1,8:35.0,Defensive rebound by N. Jokić,,4,13
29,1,8:25.0,M. Morris misses 2-pt jump shot from 9 ft,,4,13
30,1,8:22.0,,Defensive rebound by W. Matthews,4,13
31,1,8:19.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),4,16
32,1,8:06.0,Personal foul by T. Antetokounmpo (drawn by N. Jokić),,4,16
33,1,8:06.0,,B. Lopez enters the game for T. Antetokounmpo,4,16
34,1,8:06.0,,Violation by Team (delay of game),4,16
