,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,K. Love makes 2-pt jump shot from 14 ft (assist by C. Osman),,2,0
1,1,11:19.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by L. Ball),2,2
2,1,11:02.0,K. Love misses 3-pt jump shot from 26 ft,,2,2
3,1,10:59.0,,Defensive rebound by L. Ball,2,2
4,1,10:56.0,,Z. Williamson makes 2-pt layup from 1 ft (assist by L. Ball),2,4
5,1,10:44.0,K. Love misses 2-pt jump shot from 20 ft,,2,4
6,1,10:41.0,,Defensive rebound by D. Favors,2,4
7,1,10:38.0,,L. Ball misses 2-pt layup from 2 ft,2,4
8,1,10:34.0,Defensive rebound by K. Love,,2,4
9,1,10:31.0,C. Sexton makes 3-pt jump shot from 25 ft (assist by D. Garland),,5,4
10,1,10:08.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by B. Ingram),5,6
11,1,9:50.0,Offensive foul by K. Love (drawn by J. Holiday),,5,6
12,1,9:50.0,Turnover by K. Love (offensive foul),,5,6
13,1,9:37.0,,Z. Williamson makes 2-pt layup from 2 ft (assist by L. Ball),5,8
14,1,9:17.0,T. Thompson makes 2-pt hook shot from 6 ft,,7,8
15,1,9:13.0,,Z. Williamson makes 2-pt dunk from 1 ft (assist by L. Ball),7,10
16,1,8:55.0,D. Garland makes 2-pt layup from 1 ft,,9,10
17,1,8:44.0,,B. Ingram misses 2-pt jump shot from 17 ft,9,10
18,1,8:40.0,,Offensive rebound by D. Favors,9,10
19,1,8:39.0,,Z. Williamson makes 2-pt dunk from 1 ft (assist by D. Favors),9,12
20,1,8:25.0,C. Sexton misses 2-pt layup from 4 ft (block by J. Holiday),,9,12
21,1,8:22.0,Offensive rebound by D. Garland,,9,12
22,1,8:21.0,D. Garland misses 2-pt jump shot from 14 ft,,9,12
23,1,8:20.0,,Defensive rebound by B. Ingram,9,12
24,1,8:20.0,,Shooting foul by C. Osman (drawn by B. Ingram),9,12
25,1,8:20.0,,B. Ingram makes free throw 1 of 2,9,13
26,1,8:20.0,,B. Ingram makes free throw 2 of 2,9,14
27,1,8:14.0,C. Sexton misses 3-pt jump shot from 26 ft,,9,14
28,1,8:10.0,,Defensive rebound by D. Favors,9,14
29,1,8:07.0,,J. Holiday makes 2-pt layup from 1 ft (assist by L. Ball),9,16
30,1,8:07.0,Cleveland full timeout,,9,16
31,1,7:54.0,K. Love makes 2-pt jump shot from 15 ft (assist by D. Garland),,11,16
32,1,7:36.0,,Shooting foul by C. Osman (drawn by B. Ingram),11,16
33,1,7:36.0,,B. Ingram misses free throw 1 of 2,11,16
34,1,7:36.0,,Offensive rebound by Team,11,16
35,1,7:36.0,K. Porter enters the game for C. Osman,,11,16
36,1,7:36.0,,B. Ingram makes free throw 2 of 2,11,17
37,1,7:17.0,Turnover by K. Porter (bad pass; steal by D. Favors),,11,17
38,1,7:13.0,,J. Holiday makes 2-pt layup from 2 ft,11,19
39,1,6:55.0,T. Thompson misses 2-pt hook shot from 6 ft,,11,19
40,1,6:52.0,,Defensive rebound by D. Favors,11,19
41,1,6:42.0,,Z. Williamson makes 2-pt layup from 1 ft (assist by J. Holiday),11,21
42,1,6:21.0,Turnover by C. Sexton (lost ball; steal by B. Ingram),,11,21
43,1,6:16.0,,Turnover by L. Ball (bad pass; steal by C. Sexton),11,21
44,1,6:12.0,C. Sexton makes 2-pt layup from 1 ft,,13,21
45,1,6:03.0,,B. Ingram makes 2-pt layup from 3 ft (assist by D. Favors),13,23
46,1,5:48.0,C. Sexton misses 2-pt jump shot from 9 ft,,13,23
47,1,5:46.0,,Defensive rebound by D. Favors,13,23
48,1,5:41.0,,B. Ingram misses 3-pt jump shot from 25 ft,13,23
49,1,5:41.0,Defensive rebound by K. Love,,13,23
50,1,5:19.0,T. Thompson misses 2-pt jump shot from 22 ft,,13,23
51,1,5:16.0,,Defensive rebound by J. Holiday,13,23
52,1,5:15.0,,Offensive foul by Z. Williamson (drawn by K. Love),13,23
53,1,5:15.0,,Turnover by Z. Williamson (offensive foul),13,23
54,1,5:15.0,L. Nance enters the game for C. Sexton,,13,23
55,1,5:15.0,,J. Redick enters the game for Z. Williamson,13,23
56,1,4:50.0,K. Porter misses 2-pt jump shot from 17 ft,,13,23
57,1,4:47.0,Offensive rebound by K. Love,,13,23
58,1,4:47.0,K. Love misses 2-pt layup from 3 ft,,13,23
59,1,4:45.0,,Defensive rebound by D. Favors,13,23
60,1,4:32.0,,J. Holiday misses 2-pt hook shot from 4 ft,13,23
61,1,4:30.0,Defensive rebound by T. Thompson,,13,23
62,1,4:27.0,L. Nance makes 2-pt layup from 2 ft (assist by K. Porter),,15,23
63,1,4:13.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by B. Ingram),15,26
64,1,3:58.0,K. Love misses 2-pt hook shot from 5 ft,,15,26
65,1,3:58.0,,Defensive rebound by J. Redick,15,26
66,1,3:50.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Holiday),15,29
67,1,3:46.0,Cleveland full timeout,,15,29
68,1,3:46.0,M. Dellavedova enters the game for K. Love,,15,29
69,1,3:46.0,,J. Hart enters the game for L. Ball,15,29
70,1,3:46.0,,J. Hayes enters the game for D. Favors,15,29
71,1,3:33.0,K. Porter misses 2-pt jump shot from 15 ft,,15,29
72,1,3:29.0,,Defensive rebound by J. Hart,15,29
73,1,3:10.0,,J. Hayes misses 2-pt dunk from 3 ft (block by T. Thompson),15,29
74,1,3:05.0,Defensive rebound by L. Nance,,15,29
75,1,3:03.0,K. Porter makes 2-pt layup from 2 ft (assist by L. Nance),,17,29
76,1,2:55.0,,B. Ingram makes 3-pt jump shot from 24 ft (assist by J. Redick),17,32
77,1,2:43.0,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by T. Thompson),,20,32
78,1,2:31.0,,J. Hayes makes 2-pt dunk from 1 ft (assist by J. Redick),20,34
79,1,2:10.0,D. Garland misses 3-pt jump shot from 25 ft,,20,34
80,1,2:10.0,,Defensive rebound by J. Hart,20,34
81,1,2:01.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by J. Hart),20,36
82,1,1:42.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,20,36
83,1,1:40.0,,Defensive rebound by Team,20,36
84,1,1:40.0,Loose ball foul by T. Thompson (drawn by J. Hart),,20,36
85,1,1:40.0,C. Sexton enters the game for D. Garland,,20,36
86,1,1:40.0,A. Žižić enters the game for T. Thompson,,20,36
87,1,1:40.0,,N. Melli enters the game for B. Ingram,20,36
88,1,1:24.0,,J. Holiday makes 2-pt layup from 2 ft,20,38
89,1,1:10.0,K. Porter misses 3-pt jump shot from 26 ft,,20,38
90,1,1:05.0,,Defensive rebound by N. Melli,20,38
91,1,1:00.0,,Turnover by N. Melli (traveling),20,38
92,1,1:00.0,,E. Moore enters the game for J. Redick,20,38
93,1,0:51.0,C. Sexton makes 2-pt layup from 1 ft (assist by M. Dellavedova),,22,38
94,1,0:45.0,,J. Holiday makes 2-pt layup from 1 ft,22,40
95,1,0:35.0,K. Porter misses 3-pt jump shot from 25 ft,,22,40
96,1,0:35.0,,Defensive rebound by E. Moore,22,40
97,1,0:29.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by E. Moore),22,43
98,1,0:12.0,C. Sexton makes 2-pt layup from 2 ft,,24,43
99,1,0:12.0,Shooting foul by J. Hayes (drawn by C. Sexton),,24,43
100,1,0:12.0,T. Thompson enters the game for A. Žižić,,24,43
101,1,0:12.0,C. Sexton makes free throw 1 of 1,,25,43
102,1,0:00.0,,J. Holiday misses 3-pt jump shot from 28 ft,25,43
103,1,0:00.0,,Offensive rebound by Team,25,43
104,2,11:43.0,,Turnover by Z. Williamson (bad pass; steal by K. Porter),25,43
105,2,11:39.0,C. Sexton makes 2-pt layup from 1 ft (assist by K. Porter),,27,43
106,2,11:20.0,,N. Melli misses 2-pt layup from 2 ft,27,43
107,2,11:19.0,,Offensive rebound by N. Melli,27,43
108,2,11:18.0,,Shooting foul by C. Sexton (drawn by N. Melli),27,43
109,2,11:18.0,,N. Melli misses free throw 1 of 2,27,43
110,2,11:18.0,,Offensive rebound by Team,27,43
111,2,11:18.0,,N. Melli makes free throw 2 of 2,27,44
112,2,11:00.0,A. Žižić makes 2-pt layup from 2 ft (assist by K. Porter),,29,44
113,2,10:51.0,,Shooting foul by C. Sexton (drawn by L. Ball),29,44
114,2,10:51.0,,Instant Replay (Request: Stands),29,44
115,2,10:51.0,,L. Ball misses free throw 1 of 3,29,44
116,2,10:51.0,,Offensive rebound by Team,29,44
117,2,10:51.0,,L. Ball makes free throw 2 of 3,29,45
118,2,10:51.0,,L. Ball makes free throw 3 of 3,29,46
119,2,10:36.0,A. Žižić makes 2-pt layup from 1 ft (assist by L. Nance),,31,46
120,2,10:21.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Hart),31,49
121,2,10:02.0,K. Porter makes 2-pt layup from 1 ft (assist by A. Žižić),,33,49
122,2,9:45.0,,E. Moore misses 2-pt jump shot from 7 ft,33,49
123,2,9:43.0,Defensive rebound by L. Nance,,33,49
124,2,9:41.0,Shooting foul by L. Ball (drawn by M. Dellavedova),,33,49
