,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,11:47.0,,Shooting foul by B. Hield (drawn by M. Porter),0,0
1,1,11:47.0,,M. Porter makes free throw 1 of 2,0,1
2,1,11:47.0,,M. Porter makes free throw 2 of 2,0,2
3,1,11:33.0,R. Holmes misses 2-pt layup from 9 ft,,0,2
4,1,11:29.0,,Defensive rebound by M. Porter,0,2
5,1,11:21.0,,Turnover by J. Murray (traveling),0,2
6,1,11:09.0,D. Fox makes 2-pt layup from 3 ft (assist by B. Hield),,2,2
7,1,10:49.0,,W. Barton makes 2-pt jump shot from 15 ft,2,4
8,1,10:28.0,N. Bjelica makes 2-pt jump shot from 10 ft (assist by D. Fox),,4,4
9,1,10:10.0,,J. Grant misses 3-pt jump shot from 23 ft,4,4
10,1,10:06.0,Defensive rebound by B. Hield,,4,4
11,1,10:05.0,Turnover by B. Hield (discontinued dribble),,4,4
12,1,9:55.0,,M. Porter makes 2-pt layup from 5 ft (assist by N. Jokić),4,6
13,1,9:38.0,Turnover by D. Fox (bad pass; steal by J. Murray),,4,6
14,1,9:34.0,,W. Barton makes 2-pt layup from 3 ft (assist by J. Murray),4,8
15,1,9:15.0,R. Holmes makes 2-pt layup from 4 ft (assist by N. Bjelica),,6,8
16,1,8:53.0,,Shooting foul by R. Holmes (drawn by J. Grant),6,8
17,1,8:53.0,,J. Grant makes free throw 1 of 2,6,9
18,1,8:53.0,,J. Grant makes free throw 2 of 2,6,10
19,1,8:43.0,R. Holmes makes 2-pt layup from 5 ft (assist by D. Fox),,8,10
20,1,8:32.0,,Shooting foul by D. Fox (drawn by J. Murray),8,10
21,1,8:32.0,,J. Murray makes free throw 1 of 2,8,11
22,1,8:32.0,,J. Murray makes free throw 2 of 2,8,12
23,1,8:11.0,B. Hield misses 3-pt jump shot from 25 ft,,8,12
24,1,8:07.0,,Defensive rebound by M. Porter,8,12
25,1,8:05.0,,J. Murray misses 3-pt jump shot from 28 ft,8,12
26,1,8:02.0,Defensive rebound by N. Bjelica,,8,12
27,1,7:56.0,D. Fox makes 2-pt layup from 3 ft,,10,12
28,1,7:44.0,,W. Barton misses 3-pt jump shot from 25 ft,10,12
29,1,7:39.0,,Offensive rebound by M. Porter,10,12
30,1,7:38.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Porter),10,15
31,1,7:20.0,R. Holmes makes 2-pt jump shot from 16 ft (assist by N. Bjelica),,12,15
32,1,7:09.0,,J. Murray makes 3-pt jump shot from 25 ft,12,18
33,1,6:54.0,D. Fox makes 2-pt jump shot from 15 ft,,14,18
34,1,6:52.0,,Denver full timeout,14,18
35,1,6:52.0,C. Joseph enters the game for D. Fox,,14,18
36,1,6:36.0,,M. Porter makes 2-pt jump shot from 16 ft (assist by J. Murray),14,20
37,1,6:21.0,Turnover by B. Hield (bad pass; steal by N. Jokić),,14,20
38,1,6:18.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),14,22
39,1,5:54.0,C. Joseph misses 3-pt jump shot from 26 ft,,14,22
40,1,5:52.0,Offensive rebound by Team,,14,22
41,1,5:49.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by R. Holmes),,17,22
42,1,5:25.0,,Turnover by J. Murray (lost ball; steal by R. Holmes),17,22
43,1,5:01.0,R. Holmes makes 2-pt jump shot from 12 ft (assist by B. Hield),,19,22
44,1,4:42.0,,Personal foul by N. Bjelica (drawn by N. Jokić),19,22
45,1,4:42.0,B. Bogdanović enters the game for H. Barnes,,19,22
46,1,4:42.0,,M. Morris enters the game for J. Murray,19,22
47,1,4:32.0,,J. Grant makes 2-pt jump shot from 15 ft (assist by W. Barton),19,24
48,1,4:20.0,B. Hield makes 2-pt jump shot from 7 ft,,21,24
49,1,4:12.0,,Offensive foul by J. Grant (drawn by C. Joseph),21,24
50,1,4:12.0,,Turnover by J. Grant (offensive foul),21,24
51,1,3:59.0,N. Bjelica makes 2-pt hook shot from 8 ft,,23,24
52,1,3:45.0,,W. Barton makes 2-pt layup from 3 ft,23,26
53,1,3:33.0,Personal foul by N. Jokić (drawn by B. Hield),,23,26
54,1,3:33.0,,J. Hernangómez enters the game for N. Jokić,23,26
55,1,3:33.0,,M. Plumlee enters the game for M. Porter,23,26
56,1,3:22.0,R. Holmes misses 2-pt hook shot from 5 ft,,23,26
57,1,3:16.0,Offensive rebound by R. Holmes,,23,26
58,1,3:16.0,R. Holmes makes 2-pt layup at rim,,25,26
59,1,3:02.0,,J. Grant misses 2-pt jump shot from 19 ft,25,26
60,1,2:59.0,Defensive rebound by N. Bjelica,,25,26
61,1,2:47.0,B. Hield makes 3-pt jump shot from 25 ft,,28,26
62,1,2:21.0,,M. Morris makes 2-pt jump shot from 19 ft,28,28
63,1,2:21.0,,Shooting foul by C. Joseph (drawn by M. Morris),28,28
64,1,2:21.0,Sacramento full timeout,,28,28
65,1,2:21.0,H. Barnes enters the game for N. Bjelica,,28,28
66,1,2:21.0,H. Giles enters the game for R. Holmes,,28,28
67,1,2:21.0,,M. Beasley enters the game for W. Barton,28,28
68,1,2:21.0,,J. Murray enters the game for J. Grant,28,28
69,1,2:21.0,,M. Morris makes free throw 1 of 1,28,29
70,1,1:58.0,H. Giles makes 2-pt jump shot from 9 ft (assist by B. Hield),,30,29
71,1,1:36.0,,J. Murray misses 2-pt jump shot from 13 ft,30,29
72,1,1:32.0,Defensive rebound by H. Giles,,30,29
73,1,1:24.0,C. Joseph makes 2-pt layup from 3 ft (assist by H. Giles),,32,29
74,1,1:06.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,32,29
75,1,1:02.0,Defensive rebound by C. Joseph,,32,29
76,1,0:47.0,H. Giles misses 2-pt layup from 3 ft,,32,29
77,1,0:45.0,,Defensive rebound by M. Plumlee,32,29
78,1,0:42.0,,J. Hernangómez misses 3-pt jump shot from 27 ft,32,29
79,1,0:38.0,Defensive rebound by B. Hield,,32,29
80,1,0:31.0,C. Joseph misses 3-pt jump shot from 23 ft,,32,29
81,1,0:28.0,,Defensive rebound by M. Beasley,32,29
82,1,0:08.0,,Shooting foul by C. Joseph (drawn by M. Plumlee),32,29
83,1,0:08.0,,M. Plumlee makes free throw 1 of 2,32,30
84,1,0:08.0,D. Fox enters the game for C. Joseph,,32,30
85,1,0:08.0,,T. Craig enters the game for J. Murray,32,30
86,1,0:08.0,,M. Plumlee makes free throw 2 of 2,32,31
87,1,0:01.0,H. Giles misses 2-pt jump shot from 12 ft,,32,31
88,1,0:01.0,Offensive rebound by Team,,32,31
89,2,11:38.0,H. Barnes misses 2-pt jump shot from 15 ft (block by T. Craig),,32,31
90,2,11:36.0,Offensive rebound by H. Barnes,,32,31
91,2,11:36.0,T. Ariza misses 2-pt jump shot from 8 ft,,32,31
92,2,11:36.0,Offensive rebound by Team,,32,31
93,2,11:36.0,Turnover by Team (shot clock),,32,31
94,2,11:20.0,,M. Beasley misses 3-pt jump shot from 28 ft,32,31
95,2,11:16.0,Defensive rebound by T. Ariza,,32,31
96,2,11:09.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by D. Fox),,35,31
97,2,10:53.0,,Personal foul by H. Giles (drawn by M. Plumlee),35,31
98,2,10:49.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Beasley),35,33
99,2,10:30.0,H. Barnes makes 2-pt jump shot from 8 ft (assist by T. Ariza),,37,33
100,2,10:13.0,,Offensive foul by M. Plumlee (drawn by B. Bogdanović),37,33
101,2,10:13.0,,Turnover by M. Plumlee (offensive foul),37,33
102,2,9:58.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by D. Fox),,40,33
103,2,9:40.0,,Shooting foul by H. Giles (drawn by M. Plumlee),40,33
104,2,9:40.0,,M. Plumlee makes free throw 1 of 2,40,34
