,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
0,1,11:34.0,M. Bridges makes 2-pt jump shot from 21 ft,,2,0
1,1,11:17.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),2,2
2,1,11:17.0,,Shooting foul by C. Zeller (drawn by E. Gordon),2,2
3,1,11:17.0,,E. Gordon misses free throw 1 of 1,2,2
4,1,11:17.0,Defensive rebound by M. Bridges,,2,2
5,1,10:55.0,M. Bridges misses 3-pt jump shot from 23 ft,,2,2
6,1,10:52.0,Offensive rebound by M. Bridges,,2,2
7,1,10:45.0,M. Bridges makes 2-pt dunk from 1 ft (assist by D. Graham),,4,2
8,1,10:35.0,,J. Harden misses 2-pt jump shot from 10 ft,4,2
9,1,10:33.0,Defensive rebound by C. Martin,,4,2
10,1,10:27.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by C. Martin),,7,2
11,1,10:09.0,,E. Gordon misses 3-pt jump shot from 26 ft,7,2
12,1,10:07.0,Defensive rebound by C. Zeller,,7,2
13,1,9:58.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by D. Graham),,10,2
14,1,9:45.0,,D. House makes 3-pt jump shot from 26 ft (assist by B. McLemore),10,5
15,1,9:24.0,T. Rozier misses 3-pt jump shot from 27 ft,,10,5
16,1,9:21.0,,Defensive rebound by E. Gordon,10,5
17,1,9:07.0,,Turnover by J. Harden (lost ball; steal by C. Zeller),10,5
18,1,8:51.0,D. Graham misses 3-pt jump shot from 29 ft,,10,5
19,1,8:48.0,Offensive rebound by M. Bridges,,10,5
20,1,8:42.0,Shooting foul by B. McLemore (drawn by T. Rozier),,10,5
21,1,8:42.0,T. Rozier makes free throw 1 of 2,,11,5
22,1,8:42.0,T. Rozier makes free throw 2 of 2,,12,5
23,1,8:39.0,,Turnover by J. Harden (bad pass; steal by M. Bridges),12,5
24,1,8:36.0,Personal foul by P. Tucker (drawn by C. Zeller),,12,5
25,1,8:25.0,C. Zeller misses 2-pt jump shot from 11 ft,,12,5
26,1,8:22.0,Offensive rebound by M. Bridges,,12,5
27,1,8:17.0,C. Zeller makes 2-pt layup from 2 ft (assist by D. Graham),,14,5
28,1,8:17.0,Shooting foul by J. Harden (drawn by C. Zeller),,14,5
29,1,8:17.0,C. Zeller makes free throw 1 of 1,,15,5
30,1,8:05.0,,B. McLemore misses 3-pt jump shot from 25 ft,15,5
31,1,8:03.0,Defensive rebound by M. Bridges,,15,5
32,1,7:58.0,D. Graham makes 3-pt jump shot from 27 ft,,18,5
33,1,7:58.0,,Houston full timeout,18,5
34,1,7:44.0,,Shooting foul by C. Martin (drawn by J. Harden),18,5
35,1,7:44.0,,J. Harden makes free throw 1 of 2,18,6
36,1,7:44.0,,J. Harden makes free throw 2 of 2,18,7
37,1,7:28.0,C. Martin misses 3-pt jump shot from 24 ft,,18,7
38,1,7:26.0,,Defensive rebound by J. Harden,18,7
39,1,7:20.0,,J. Harden makes 3-pt jump shot from 27 ft,18,10
40,1,7:00.0,C. Zeller misses 2-pt jump shot from 3 ft (block by E. Gordon),,18,10
41,1,6:59.0,Offensive rebound by M. Bridges,,18,10
42,1,6:59.0,M. Bridges makes 2-pt layup at rim,,20,10
43,1,6:49.0,,D. House misses 3-pt jump shot from 23 ft,20,10
44,1,6:47.0,Defensive rebound by C. Zeller,,20,10
45,1,6:35.0,Turnover by D. Graham (bad pass; steal by J. Harden),,20,10
46,1,6:31.0,,B. McLemore makes 2-pt layup from 2 ft (assist by J. Harden),20,12
47,1,6:11.0,Turnover by C. Zeller (bad pass; steal by J. Harden),,20,12
48,1,6:08.0,,J. Harden makes 2-pt layup from 2 ft,20,14
49,1,6:08.0,Violation by Team (def goaltending),,20,14
50,1,6:08.0,Charlotte full timeout,,20,14
51,1,6:08.0,W. Hernangómez enters the game for D. Graham,,20,14
52,1,6:08.0,M. Monk enters the game for C. Zeller,,20,14
53,1,6:08.0,,A. Rivers enters the game for E. Gordon,20,14
54,1,5:47.0,M. Bridges misses 3-pt jump shot from 28 ft,,20,14
55,1,5:44.0,Offensive rebound by W. Hernangómez,,20,14
56,1,5:34.0,T. Rozier makes 2-pt layup from 1 ft,,22,14
57,1,5:34.0,Shooting foul by J. Harden (drawn by T. Rozier),,22,14
58,1,5:34.0,,T. Sefolosha enters the game for P. Tucker,22,14
59,1,5:34.0,T. Rozier makes free throw 1 of 1,,23,14
60,1,5:12.0,,J. Harden misses 3-pt jump shot from 27 ft,23,14
61,1,5:09.0,Defensive rebound by M. Bridges,,23,14
62,1,4:52.0,Personal foul by T. Sefolosha (drawn by W. Hernangómez),,23,14
63,1,4:52.0,W. Hernangómez makes free throw 1 of 2,,24,14
64,1,4:52.0,,I. Hartenstein enters the game for B. McLemore,24,14
65,1,4:52.0,W. Hernangómez makes free throw 2 of 2,,25,14
66,1,4:49.0,,Turnover by J. Harden (bad pass),25,14
67,1,4:42.0,W. Hernangómez misses 2-pt jump shot from 6 ft,,25,14
68,1,4:40.0,Offensive rebound by W. Hernangómez,,25,14
69,1,4:40.0,W. Hernangómez misses 2-pt layup at rim,,25,14
70,1,4:38.0,,Defensive rebound by J. Harden,25,14
71,1,4:29.0,,I. Hartenstein misses 2-pt layup from 2 ft,25,14
72,1,4:26.0,Defensive rebound by C. Martin,,25,14
73,1,4:23.0,M. Monk misses 2-pt layup from 1 ft,,25,14
74,1,4:20.0,Offensive rebound by W. Hernangómez,,25,14
75,1,4:20.0,W. Hernangómez makes 2-pt layup at rim,,27,14
76,1,4:09.0,,D. House makes 3-pt jump shot from 25 ft,27,17
77,1,3:53.0,T. Rozier misses 3-pt jump shot from 25 ft,,27,17
78,1,3:53.0,,Defensive rebound by A. Rivers,27,17
79,1,3:44.0,,J. Harden misses 2-pt layup from 1 ft,27,17
80,1,3:42.0,Defensive rebound by C. Martin,,27,17
81,1,3:35.0,W. Hernangómez makes 2-pt dunk from 1 ft (assist by T. Rozier),,29,17
82,1,3:19.0,,I. Hartenstein makes 2-pt layup from 1 ft (assist by J. Harden),29,19
83,1,2:53.0,M. Bridges misses 2-pt layup from 3 ft,,29,19
84,1,2:51.0,,Defensive rebound by T. Sefolosha,29,19
85,1,2:43.0,,A. Rivers misses 3-pt jump shot from 23 ft,29,19
86,1,2:41.0,Defensive rebound by M. Monk,,29,19
87,1,2:36.0,Personal foul by I. Hartenstein (drawn by M. Bridges),,29,19
88,1,2:36.0,M. Bridges misses free throw 1 of 2,,29,19
89,1,2:36.0,Offensive rebound by Team,,29,19
90,1,2:36.0,D. Bacon enters the game for C. Martin,,29,19
91,1,2:36.0,D. Graham enters the game for T. Rozier,,29,19
92,1,2:36.0,,E. Gordon enters the game for J. Harden,29,19
93,1,2:36.0,M. Bridges makes free throw 2 of 2,,30,19
94,1,2:19.0,,E. Gordon misses 2-pt jump shot from 8 ft,30,19
95,1,2:17.0,Defensive rebound by M. Bridges,,30,19
96,1,2:10.0,M. Bridges misses 3-pt jump shot from 27 ft,,30,19
97,1,2:08.0,,Defensive rebound by T. Sefolosha,30,19
98,1,2:00.0,,E. Gordon misses 3-pt jump shot from 27 ft,30,19
99,1,1:57.0,,Offensive rebound by I. Hartenstein,30,19
100,1,1:54.0,,D. House misses 3-pt jump shot from 26 ft,30,19
101,1,1:52.0,Defensive rebound by D. Graham,,30,19
102,1,1:42.0,Shooting foul by E. Gordon (drawn by M. Bridges),,30,19
103,1,1:42.0,M. Bridges makes free throw 1 of 2,,31,19
104,1,1:42.0,,B. McLemore enters the game for I. Hartenstein,31,19
105,1,1:42.0,,P. Tucker enters the game for D. House,31,19
106,1,1:42.0,M. Bridges misses free throw 2 of 2,,31,19
107,1,1:42.0,,Defensive rebound by P. Tucker,31,19
108,1,1:26.0,,T. Sefolosha misses 2-pt layup from 3 ft,31,19
109,1,1:24.0,,Offensive rebound by T. Sefolosha,31,19
110,1,1:19.0,,A. Rivers makes 2-pt layup from 1 ft,31,21
111,1,1:03.0,D. Graham misses 3-pt jump shot from 29 ft,,31,21
112,1,1:01.0,,Defensive rebound by Team,31,21
113,1,1:01.0,P. Washington enters the game for M. Bridges,,31,21
114,1,0:44.0,,Shooting foul by W. Hernangómez (drawn by A. Rivers),31,21
115,1,0:44.0,,A. Rivers makes free throw 1 of 2,31,22
116,1,0:44.0,,A. Rivers misses free throw 2 of 2,31,22
117,1,0:44.0,Defensive rebound by W. Hernangómez,,31,22
118,1,0:34.0,Turnover by W. Hernangómez (bad pass),,31,22
119,1,0:27.0,,A. Rivers misses 3-pt jump shot from 26 ft,31,22
120,1,0:25.0,Defensive rebound by D. Bacon,,31,22
121,1,0:01.0,M. Monk makes 3-pt jump shot from 27 ft,,34,22
122,1,0:00.0,,E. Gordon misses 3-pt jump shot from 63 ft,34,22
123,1,0:00.0,,Offensive rebound by Team,34,22
124,2,11:47.0,,E. Gordon misses 3-pt jump shot from 28 ft,34,22
125,2,11:43.0,Defensive rebound by Team,,34,22
126,2,11:34.0,Turnover by D. Graham (traveling),,34,22
127,2,11:34.0,,D. House enters the game for T. Sefolosha,34,22
128,2,11:22.0,,E. Gordon misses 2-pt layup from 2 ft,34,22
129,2,11:21.0,Defensive rebound by C. Zeller,,34,22
130,2,11:11.0,P. Washington misses 2-pt hook shot from 7 ft,,34,22
131,2,11:09.0,,Defensive rebound by B. McLemore,34,22
132,2,11:00.0,,Shooting foul by C. Zeller (drawn by E. Gordon),34,22
133,2,11:00.0,,E. Gordon makes free throw 1 of 2,34,23
134,2,11:00.0,,E. Gordon makes free throw 2 of 2,34,24
135,2,10:47.0,M. Monk makes 2-pt jump shot from 14 ft (assist by D. Graham),,36,24
136,2,10:38.0,,E. Gordon misses 3-pt jump shot from 27 ft,36,24
137,2,10:36.0,Defensive rebound by D. Graham,,36,24
138,2,10:25.0,M. Monk makes 3-pt jump shot from 29 ft (assist by C. Zeller),,39,24
139,2,10:14.0,,Def 3 sec tech foul by Team,39,24
140,2,10:14.0,,E. Gordon makes technical free throw,39,25
141,2,10:14.0,C. Martin enters the game for D. Bacon,,39,25
142,2,10:14.0,,J. Harden enters the game for E. Gordon,39,25
143,2,10:09.0,,B. McLemore makes 3-pt jump shot from 26 ft (assist by A. Rivers),39,28
144,2,9:50.0,D. Graham misses 3-pt jump shot from 29 ft,,39,28
145,2,9:47.0,,Defensive rebound by D. House,39,28
