,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:45.0,,D. Sabonis misses 2-pt hook shot from 7 ft,0,0
1,1,11:40.0,Defensive rebound by R. Hachimura,,0,0
2,1,11:19.0,Turnover by Team (shot clock),,0,0
3,1,10:58.0,,D. Sabonis makes 2-pt jump shot from 9 ft,0,2
4,1,10:45.0,Personal foul by T. Warren (drawn by I. Thomas),,0,2
5,1,10:36.0,Turnover by I. Bonga (bad pass),,0,2
6,1,10:23.0,,D. Sabonis misses 2-pt jump shot from 19 ft,0,2
7,1,10:20.0,Defensive rebound by T. Bryant,,0,2
8,1,10:05.0,I. Thomas makes 3-pt jump shot from 26 ft,,3,2
9,1,9:48.0,,A. Holiday misses 3-pt jump shot from 28 ft,3,2
10,1,9:45.0,Defensive rebound by T. Bryant,,3,2
11,1,9:28.0,R. Hachimura misses 2-pt jump shot from 17 ft,,3,2
12,1,9:27.0,Offensive rebound by Team,,3,2
13,1,9:27.0,,Loose ball foul by M. Brogdon (drawn by T. Bryant),3,2
14,1,9:17.0,B. Beal makes 2-pt layup from 2 ft (assist by R. Hachimura),,5,2
15,1,9:09.0,,Shooting foul by I. Bonga (drawn by M. Brogdon),5,2
16,1,9:09.0,,M. Brogdon makes free throw 1 of 2,5,3
17,1,9:09.0,,M. Brogdon makes free throw 2 of 2,5,4
18,1,9:00.0,B. Beal makes 2-pt jump shot from 14 ft (assist by I. Thomas),,7,4
19,1,8:46.0,,T. Warren makes 3-pt jump shot from 28 ft (assist by M. Brogdon),7,7
20,1,8:26.0,T. Bryant makes 2-pt hook shot from 7 ft (assist by I. Thomas),,9,7
21,1,8:07.0,,T. Warren makes 3-pt jump shot from 28 ft (assist by M. Brogdon),9,10
22,1,7:57.0,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Bryant),,12,10
23,1,7:44.0,,M. Brogdon misses 2-pt jump shot from 18 ft,12,10
24,1,7:42.0,Defensive rebound by I. Bonga,,12,10
25,1,7:37.0,B. Beal misses 3-pt jump shot from 24 ft,,12,10
