,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,L. Aldridge misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by K. Love,,0,0
2,1,11:22.0,T. Thompson misses 2-pt hook shot from 7 ft,,0,0
3,1,11:20.0,,Defensive rebound by D. DeRozan,0,0
4,1,11:08.0,,D. White makes 2-pt layup from 2 ft (assist by B. Forbes),0,2
5,1,10:49.0,Personal foul by D. DeRozan (drawn by T. Thompson),,0,2
6,1,10:43.0,C. Sexton misses 2-pt jump shot from 6 ft,,0,2
7,1,10:42.0,,Defensive rebound by Team,0,2
8,1,10:42.0,Loose ball foul by T. Thompson (drawn by D. White),,0,2
9,1,10:31.0,,Personal foul by C. Osman (drawn by D. DeRozan),0,2
10,1,10:19.0,,D. DeRozan misses 2-pt layup from 2 ft,0,2
11,1,10:18.0,Defensive rebound by T. Thompson,,0,2
12,1,10:00.0,C. Osman misses 3-pt jump shot from 26 ft,,0,2
13,1,9:58.0,Offensive rebound by K. Love,,0,2
14,1,9:58.0,K. Love makes 2-pt layup from 1 ft,,2,2
15,1,9:38.0,,B. Forbes misses 3-pt jump shot from 26 ft,2,2
16,1,9:35.0,Defensive rebound by K. Love,,2,2
17,1,9:29.0,C. Sexton makes 2-pt layup from 1 ft,,4,2
18,1,9:20.0,,L. Aldridge misses 2-pt jump shot from 13 ft,4,2
19,1,9:18.0,Defensive rebound by K. Love,,4,2
20,1,9:03.0,Turnover by T. Thompson (step out of bounds),,4,2
21,1,8:48.0,,D. White makes 2-pt layup from 2 ft,4,4
22,1,8:32.0,C. Osman makes 2-pt layup from 2 ft (assist by C. Sexton),,6,4
23,1,8:19.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by D. White),6,7
24,1,8:06.0,C. Sexton misses 2-pt layup from 1 ft,,6,7
25,1,8:04.0,Offensive rebound by T. Thompson,,6,7
26,1,8:04.0,T. Thompson misses 2-pt layup from 1 ft,,6,7
27,1,8:03.0,,Defensive rebound by L. Aldridge,6,7
28,1,7:47.0,,B. Forbes misses 2-pt jump shot from 8 ft,6,7
29,1,7:46.0,Defensive rebound by K. Love,,6,7
30,1,7:27.0,C. Osman makes 2-pt layup from 1 ft,,8,7
31,1,7:13.0,,L. Aldridge misses 2-pt layup from 1 ft,8,7
32,1,7:10.0,Defensive rebound by C. Osman,,8,7
33,1,6:56.0,K. Love makes 2-pt jump shot from 17 ft,,10,7
34,1,6:39.0,,Turnover by R. Gay (out of bounds lost ball),10,7
35,1,6:39.0,,San Antonio full timeout,10,7
36,1,6:39.0,M. Dellavedova enters the game for D. Garland,,10,7
37,1,6:24.0,K. Love misses 2-pt jump shot from 13 ft,,10,7
38,1,6:22.0,Offensive rebound by Team,,10,7
39,1,6:20.0,Personal take foul by B. Forbes (drawn by T. Thompson),,10,7
