,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
1,1,11:44.0,Defensive rebound by D. Jordan,,0,0
2,1,11:23.0,C. LeVert makes 2-pt jump shot from 8 ft (assist by W. Chandler),,2,0
3,1,11:11.0,,J. McGee makes 2-pt hook shot from 2 ft (assist by D. Green),2,2
4,1,10:47.0,S. Dinwiddie misses 2-pt jump shot from 19 ft,,2,2
5,1,10:44.0,,Defensive rebound by A. Davis,2,2
6,1,10:37.0,,L. James makes 2-pt dunk at rim,2,4
7,1,10:24.0,D. Jordan misses 2-pt dunk from 5 ft (block by J. McGee),,2,4
8,1,10:21.0,,Defensive rebound by D. Green,2,4
9,1,10:19.0,,Turnover by L. James (bad pass),2,4
10,1,10:07.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Jordan),,4,4
11,1,9:46.0,,A. Davis misses 2-pt jump shot from 11 ft,4,4
12,1,9:43.0,Defensive rebound by D. Jordan,,4,4
13,1,9:26.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by C. LeVert),,7,4
14,1,9:07.0,,D. Green makes 3-pt jump shot from 22 ft (assist by A. Davis),7,7
15,1,8:49.0,C. LeVert misses 3-pt jump shot from 27 ft,,7,7
16,1,8:46.0,,Defensive rebound by A. Bradley,7,7
17,1,8:34.0,,L. James makes 2-pt layup from 2 ft,7,9
18,1,8:16.0,Turnover by S. Dinwiddie (bad pass; steal by J. McGee),,7,9
19,1,8:10.0,,L. James misses 2-pt jump shot from 16 ft,7,9
20,1,8:05.0,Defensive rebound by S. Dinwiddie,,7,9
21,1,7:50.0,Shooting foul by L. James (drawn by S. Dinwiddie),,7,9
22,1,7:50.0,S. Dinwiddie makes free throw 1 of 2,,8,9
23,1,7:50.0,S. Dinwiddie makes free throw 2 of 2,,9,9
24,1,7:32.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by D. Green),9,12
25,1,7:22.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,9,12
26,1,7:18.0,Offensive rebound by C. LeVert,,9,12
27,1,7:10.0,C. LeVert makes 2-pt jump shot from 17 ft,,11,12
28,1,6:59.0,,A. Bradley makes 2-pt jump shot from 19 ft,11,14
29,1,6:46.0,S. Dinwiddie misses 3-pt jump shot from 29 ft,,11,14
30,1,6:44.0,,Defensive rebound by J. McGee,11,14
31,1,6:42.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by L. James),11,17
32,1,6:40.0,Brooklyn full timeout,,11,17
33,1,6:20.0,S. Dinwiddie makes 2-pt jump shot from 8 ft,,13,17
34,1,6:20.0,Shooting foul by A. Davis (drawn by S. Dinwiddie),,13,17
35,1,6:20.0,T. Luwawu-Cabarrot enters the game for C. LeVert,,13,17
36,1,6:20.0,S. Dinwiddie makes free throw 1 of 1,,14,17
37,1,6:05.0,,L. James makes 3-pt jump shot from 25 ft (assist by A. Bradley),14,20
38,1,5:55.0,D. Jordan misses 2-pt layup from 3 ft,,14,20
39,1,5:53.0,,Defensive rebound by J. McGee,14,20
40,1,5:45.0,,J. McGee misses 2-pt hook shot from 4 ft,14,20
41,1,5:39.0,,Offensive rebound by J. McGee,14,20
42,1,5:38.0,,J. McGee misses 2-pt layup from 1 ft,14,20
43,1,5:35.0,Defensive rebound by T. Luwawu-Cabarrot,,14,20
44,1,5:27.0,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft,,14,20
45,1,5:24.0,Offensive rebound by T. Luwawu-Cabarrot,,14,20
46,1,5:24.0,T. Luwawu-Cabarrot makes 2-pt layup at rim,,16,20
47,1,5:15.0,,A. Davis misses 2-pt layup from 2 ft,16,20
48,1,5:15.0,,Offensive rebound by A. Davis,16,20
49,1,5:15.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Davis),16,20
50,1,5:15.0,,A. Davis makes free throw 1 of 2,16,21
51,1,5:15.0,T. Prince enters the game for W. Chandler,,16,21
52,1,5:15.0,,K. Caldwell-Pope enters the game for D. Green,16,21
53,1,5:15.0,,K. Kuzma enters the game for L. James,16,21
54,1,5:15.0,,R. Rondo enters the game for J. McGee,16,21
55,1,5:15.0,,A. Davis makes free throw 2 of 2,16,22
56,1,4:57.0,T. Prince misses 3-pt jump shot from 27 ft,,16,22
57,1,4:54.0,Offensive rebound by J. Harris,,16,22
58,1,4:51.0,J. Harris misses 2-pt layup from 2 ft,,16,22
59,1,4:47.0,Offensive rebound by D. Jordan,,16,22
60,1,4:46.0,D. Jordan makes 2-pt layup from 2 ft,,18,22
61,1,4:40.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by K. Kuzma),18,25
62,1,4:27.0,D. Jordan makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,20,25
63,1,4:17.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),20,27
64,1,4:10.0,S. Dinwiddie misses 2-pt layup from 3 ft,,20,27
65,1,4:10.0,,Defensive rebound by A. Davis,20,27
66,1,4:02.0,,Turnover by R. Rondo (bad pass; steal by T. Luwawu-Cabarrot),20,27
67,1,3:57.0,Personal foul by K. Caldwell-Pope (drawn by S. Dinwiddie),,20,27
68,1,3:57.0,J. Allen enters the game for S. Dinwiddie,,20,27
69,1,3:57.0,C. Chiozza enters the game for J. Harris,,20,27
70,1,3:57.0,C. LeVert enters the game for D. Jordan,,20,27
