,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
0,1,11:34.0,A. Drummond misses 2-pt jump shot from 6 ft,,0,0
1,1,11:31.0,,Defensive rebound by K. Williams,0,0
2,1,11:22.0,,Offensive foul by J. Okafor (drawn by B. Griffin),0,0
3,1,11:22.0,,Turnover by J. Okafor (offensive foul),0,0
4,1,11:03.0,L. Kennard makes 2-pt layup from 2 ft,,2,0
5,1,10:53.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by J. Okafor),2,2
6,1,10:37.0,L. Kennard misses 2-pt jump shot from 4 ft,,2,2
7,1,10:35.0,,Defensive rebound by B. Ingram,2,2
8,1,10:27.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Redick),2,4
9,1,10:13.0,B. Griffin misses 3-pt jump shot from 25 ft,,2,4
10,1,10:11.0,Offensive rebound by A. Drummond,,2,4
11,1,10:10.0,A. Drummond misses 2-pt layup from 2 ft,,2,4
12,1,10:10.0,,Defensive rebound by J. Holiday,2,4
13,1,10:04.0,,B. Ingram makes 2-pt jump shot from 18 ft,2,6
14,1,9:48.0,A. Drummond makes 2-pt hook shot from 7 ft,,4,6
15,1,9:32.0,,Shooting foul by A. Drummond (drawn by J. Okafor),4,6
16,1,9:32.0,,J. Okafor makes free throw 1 of 2,4,7
17,1,9:32.0,,J. Okafor makes free throw 2 of 2,4,8
18,1,9:21.0,Personal foul by K. Williams (drawn by B. Griffin),,4,8
19,1,9:09.0,B. Brown misses 2-pt layup from 4 ft,,4,8
20,1,9:07.0,,Defensive rebound by B. Ingram,4,8
21,1,9:00.0,,B. Ingram misses 2-pt layup from 2 ft,4,8
22,1,8:59.0,Defensive rebound by A. Drummond,,4,8
23,1,8:50.0,B. Griffin misses 2-pt jump shot from 15 ft,,4,8
24,1,8:47.0,Offensive rebound by Team,,4,8
25,1,8:44.0,Turnover by B. Griffin (traveling),,4,8
26,1,8:38.0,,J. Holiday makes 2-pt jump shot from 5 ft,4,10
27,1,8:17.0,L. Kennard misses 3-pt jump shot from 26 ft,,4,10
28,1,8:14.0,,Defensive rebound by J. Okafor,4,10
29,1,8:10.0,,Shooting foul by L. Kennard (drawn by B. Ingram),4,10
30,1,8:10.0,,B. Ingram makes free throw 1 of 2,4,11
31,1,8:10.0,,B. Ingram makes free throw 2 of 2,4,12
32,1,8:08.0,Detroit full timeout,,4,12
33,1,7:58.0,Turnover by B. Brown (bad pass),,4,12
34,1,7:42.0,,J. Holiday misses 2-pt jump shot from 9 ft,4,12
35,1,7:41.0,Defensive rebound by A. Drummond,,4,12
36,1,7:30.0,B. Brown misses 2-pt jump shot from 4 ft,,4,12
37,1,7:28.0,,Defensive rebound by J. Okafor,4,12
38,1,7:22.0,,J. Redick misses 3-pt jump shot from 25 ft,4,12
39,1,7:16.0,Defensive rebound by T. Snell,,4,12
40,1,7:07.0,Shooting foul by J. Okafor (drawn by A. Drummond),,4,12
41,1,7:07.0,A. Drummond makes free throw 1 of 2,,5,12
42,1,7:07.0,,J. Hayes enters the game for J. Okafor,5,12
43,1,7:07.0,A. Drummond makes free throw 2 of 2,,6,12
44,1,6:57.0,,Personal foul by L. Kennard (drawn by J. Holiday),6,12
45,1,6:57.0,L. Galloway enters the game for L. Kennard,,6,12
46,1,6:52.0,,J. Hayes makes 2-pt dunk at rim (assist by J. Redick),6,14
47,1,6:39.0,T. Snell misses 3-pt jump shot from 25 ft,,6,14
48,1,6:35.0,Offensive rebound by B. Brown,,6,14
49,1,6:24.0,Turnover by B. Brown (lost ball; steal by J. Holiday),,6,14
50,1,6:19.0,,J. Holiday makes 2-pt layup from 1 ft (assist by B. Ingram),6,16
51,1,6:15.0,Offensive foul by L. Galloway (drawn by J. Redick),,6,16
52,1,6:15.0,Turnover by L. Galloway (offensive foul),,6,16
53,1,6:15.0,D. Rose enters the game for B. Brown,,6,16
54,1,6:06.0,,J. Redick misses 3-pt jump shot from 26 ft,6,16
55,1,6:01.0,Defensive rebound by T. Snell,,6,16
56,1,5:55.0,Shooting foul by J. Hayes (drawn by A. Drummond),,6,16
57,1,5:55.0,A. Drummond makes free throw 1 of 2,,7,16
58,1,5:55.0,A. Drummond makes free throw 2 of 2,,8,16
59,1,5:43.0,,Turnover by J. Redick (traveling),8,16
60,1,5:35.0,D. Rose misses 3-pt jump shot from 25 ft,,8,16
61,1,5:31.0,,Defensive rebound by J. Redick,8,16
62,1,5:27.0,,B. Ingram makes 2-pt dunk from 1 ft,8,18
63,1,5:27.0,,Shooting foul by A. Drummond (drawn by B. Ingram),8,18
64,1,5:27.0,C. Wood enters the game for A. Drummond,,8,18
65,1,5:27.0,,L. Ball enters the game for J. Holiday,8,18
66,1,5:27.0,,B. Ingram makes free throw 1 of 1,8,19
67,1,5:17.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by D. Rose),,11,19
68,1,5:05.0,,K. Williams makes 2-pt layup from 2 ft (assist by J. Redick),11,21
69,1,4:53.0,D. Rose makes 2-pt layup from 2 ft,,13,21
70,1,4:44.0,,B. Ingram misses 3-pt jump shot from 25 ft,13,21
71,1,4:42.0,,Offensive rebound by Team,13,21
72,1,4:42.0,Loose ball foul by C. Wood (drawn by J. Hayes),,13,21
73,1,4:42.0,,J. Hayes misses free throw 1 of 2,13,21
74,1,4:42.0,,Offensive rebound by Team,13,21
75,1,4:42.0,S. Mykhailiuk enters the game for T. Snell,,13,21
76,1,4:42.0,,J. Hart enters the game for J. Redick,13,21
77,1,4:42.0,,J. Hayes makes free throw 2 of 2,13,22
78,1,4:29.0,Turnover by D. Rose (bad pass; steal by B. Ingram),,13,22
79,1,4:26.0,,Offensive foul by B. Ingram (drawn by L. Galloway),13,22
80,1,4:26.0,,Turnover by B. Ingram (offensive foul),13,22
81,1,4:11.0,L. Galloway misses 3-pt jump shot from 25 ft,,13,22
82,1,4:07.0,Offensive rebound by L. Galloway,,13,22
83,1,4:05.0,Turnover by B. Griffin (traveling),,13,22
84,1,3:52.0,,Offensive foul by J. Hart (drawn by B. Griffin),13,22
85,1,3:52.0,,Turnover by J. Hart (offensive foul),13,22
86,1,3:37.0,D. Rose makes 2-pt layup from 1 ft,,15,22
87,1,3:25.0,,J. Hart misses 3-pt jump shot from 23 ft,15,22
88,1,3:20.0,Defensive rebound by B. Griffin,,15,22
89,1,3:16.0,Personal foul by L. Ball (drawn by C. Wood),,15,22
90,1,3:16.0,M. Morris enters the game for B. Griffin,,15,22
91,1,3:09.0,Turnover by S. Mykhailiuk (traveling),,15,22
92,1,2:59.0,,Turnover by K. Williams (bad pass; steal by S. Mykhailiuk),15,22
93,1,2:55.0,Turnover by L. Galloway (bad pass; steal by J. Hayes),,15,22
94,1,2:49.0,,Shooting foul by S. Mykhailiuk (drawn by B. Ingram),15,22
95,1,2:49.0,,New Orleans full timeout,15,22
96,1,2:49.0,,N. Alexander-Walker enters the game for K. Williams,15,22
97,1,2:49.0,,B. Ingram makes free throw 1 of 2,15,23
98,1,2:49.0,,B. Ingram makes free throw 2 of 2,15,24
99,1,2:36.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by S. Mykhailiuk),,18,24
100,1,2:13.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by J. Hart),18,27
101,1,1:58.0,D. Rose misses 2-pt jump shot from 19 ft,,18,27
102,1,1:56.0,,Defensive rebound by J. Hart,18,27
103,1,1:41.0,,J. Hart misses 3-pt jump shot from 23 ft,18,27
104,1,1:36.0,Defensive rebound by C. Wood,,18,27
105,1,1:32.0,D. Rose misses 2-pt layup from 2 ft,,18,27
106,1,1:27.0,Offensive rebound by C. Wood,,18,27
107,1,1:27.0,C. Wood makes 2-pt layup at rim,,20,27
108,1,1:12.0,,Shooting foul by C. Wood (drawn by J. Hayes),20,27
109,1,1:12.0,,J. Hayes makes free throw 1 of 2,20,28
110,1,1:12.0,,J. Holiday enters the game for B. Ingram,20,28
111,1,1:12.0,,J. Hayes makes free throw 2 of 2,20,29
112,1,0:58.0,C. Wood makes 2-pt dunk at rim (assist by D. Rose),,22,29
113,1,0:45.0,,J. Holiday misses 2-pt layup from 1 ft,22,29
114,1,0:43.0,Defensive rebound by L. Galloway,,22,29
115,1,0:37.0,M. Morris misses 2-pt jump shot from 12 ft,,22,29
116,1,0:34.0,,Defensive rebound by J. Hayes,22,29
117,1,0:23.0,,J. Holiday misses 2-pt jump shot from 10 ft,22,29
118,1,0:20.0,Defensive rebound by M. Morris,,22,29
119,1,0:02.0,M. Morris makes 3-pt jump shot from 23 ft (assist by D. Rose),,25,29
120,2,0:00.0,Instant Replay (Request: Ruling Stands),,25,29
121,2,12:00.0,A. Drummond enters the game for L. Galloway,,25,29
122,2,12:00.0,L. Kennard enters the game for C. Wood,,25,29
123,2,12:00.0,,J. Okafor enters the game for J. Hayes,25,29
124,2,11:49.0,,J. Hart misses 3-pt jump shot from 26 ft,25,29
125,2,11:45.0,Defensive rebound by S. Mykhailiuk,,25,29
126,2,11:35.0,D. Rose misses 2-pt jump shot from 4 ft,,25,29
127,2,11:33.0,Offensive rebound by A. Drummond,,25,29
128,2,11:30.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by L. Kennard),,28,29
129,2,11:13.0,,Shooting foul by A. Drummond (drawn by J. Holiday),28,29
130,2,11:13.0,,J. Holiday misses free throw 1 of 2,28,29
131,2,11:13.0,,Offensive rebound by Team,28,29
132,2,11:13.0,C. Wood enters the game for A. Drummond,,28,29
133,2,11:13.0,,J. Holiday misses free throw 2 of 2,28,29
134,2,11:09.0,Defensive rebound by M. Morris,,28,29
135,2,10:59.0,M. Morris misses 3-pt jump shot from 25 ft,,28,29
136,2,10:55.0,,Defensive rebound by L. Ball,28,29
137,2,10:52.0,,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),28,31
138,2,10:40.0,Shooting foul by J. Okafor (drawn by C. Wood),,28,31
139,2,10:40.0,C. Wood misses free throw 1 of 2,,28,31
140,2,10:40.0,Offensive rebound by Team,,28,31
141,2,10:40.0,,J. Hayes enters the game for J. Okafor,28,31
142,2,10:40.0,C. Wood makes free throw 2 of 2,,29,31
143,2,10:26.0,,N. Alexander-Walker makes 3-pt jump shot from 27 ft (assist by J. Holiday),29,34
144,2,10:07.0,D. Rose misses 2-pt layup from 2 ft,,29,34
145,2,10:05.0,,Defensive rebound by J. Hayes,29,34
146,2,9:58.0,,J. Hayes misses 2-pt layup from 3 ft,29,34
147,2,9:58.0,Defensive rebound by M. Morris,,29,34
148,2,9:52.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft,,29,34
149,2,9:50.0,,Defensive rebound by L. Ball,29,34
150,2,9:46.0,,N. Alexander-Walker misses 3-pt jump shot from 25 ft,29,34
151,2,9:42.0,Defensive rebound by C. Wood,,29,34
152,2,9:35.0,Turnover by C. Wood (off goaltending),,29,34
153,2,9:27.0,,J. Holiday misses 2-pt layup from 4 ft,29,34
154,2,9:25.0,Defensive rebound by C. Wood,,29,34
155,2,9:18.0,M. Morris misses 3-pt jump shot from 26 ft,,29,34
156,2,9:16.0,Offensive rebound by Team,,29,34
157,2,9:16.0,T. Snell enters the game for S. Mykhailiuk,,29,34
158,2,9:06.0,Personal foul by J. Holiday (drawn by L. Kennard),,29,34
