,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
0,1,11:39.0,M. Bridges misses 2-pt jump shot from 4 ft,,0,0
1,1,11:36.0,Offensive rebound by B. Biyombo,,0,0
2,1,11:36.0,B. Biyombo makes 2-pt layup from 1 ft,,2,0
3,1,11:26.0,,T. Satoranský misses 2-pt jump shot from 15 ft,2,0
4,1,11:21.0,Defensive rebound by D. Graham,,2,0
5,1,11:09.0,T. Rozier misses 2-pt jump shot from 6 ft,,2,0
6,1,11:06.0,Offensive rebound by B. Biyombo,,2,0
7,1,11:06.0,B. Biyombo misses 2-pt layup from 1 ft,,2,0
8,1,11:06.0,,Defensive rebound by W. Carter,2,0
9,1,10:54.0,,W. Carter misses 2-pt jump shot from 17 ft,2,0
10,1,10:52.0,Defensive rebound by T. Rozier,,2,0
11,1,10:38.0,B. Biyombo makes 2-pt layup from 2 ft (assist by D. Graham),,4,0
12,1,10:20.0,,T. Satoranský misses 3-pt jump shot from 25 ft,4,0
13,1,10:16.0,Defensive rebound by T. Rozier,,4,0
14,1,10:16.0,Shooting foul by T. Satoranský (drawn by M. Bridges),,4,0
15,1,10:16.0,M. Bridges makes free throw 1 of 2,,5,0
16,1,10:16.0,M. Bridges makes free throw 2 of 2,,6,0
17,1,10:05.0,,L. Markkanen misses 3-pt jump shot from 26 ft,6,0
18,1,10:01.0,Defensive rebound by T. Rozier,,6,0
19,1,9:55.0,Turnover by D. Graham (traveling),,6,0
20,1,9:43.0,,Turnover by T. Satoranský (bad pass; steal by T. Rozier),6,0
21,1,9:36.0,T. Rozier makes 2-pt layup from 3 ft,,8,0
22,1,9:25.0,,K. Dunn misses 2-pt layup from 2 ft,8,0
23,1,9:24.0,,Offensive rebound by W. Carter,8,0
24,1,9:19.0,,W. Carter misses 2-pt hook shot from 7 ft,8,0
25,1,9:17.0,Defensive rebound by T. Rozier,,8,0
26,1,9:09.0,T. Rozier misses 3-pt jump shot from 26 ft,,8,0
27,1,9:05.0,,Defensive rebound by L. Markkanen,8,0
28,1,8:59.0,,L. Markkanen misses 2-pt layup from 6 ft,8,0
29,1,8:56.0,,Offensive rebound by L. Markkanen,8,0
30,1,8:56.0,,L. Markkanen makes 2-pt dunk at rim,8,2
31,1,8:37.0,Turnover by P. Washington (lost ball; steal by W. Carter),,8,2
32,1,8:33.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by W. Carter),8,4
33,1,8:19.0,Turnover by T. Rozier (step out of bounds),,8,4
34,1,8:06.0,,Z. LaVine misses 2-pt jump shot from 6 ft,8,4
35,1,8:02.0,Defensive rebound by D. Graham,,8,4
36,1,7:54.0,P. Washington misses 2-pt layup from 2 ft,,8,4
37,1,7:53.0,,Defensive rebound by W. Carter,8,4
38,1,7:47.0,,Z. LaVine misses 2-pt layup from 3 ft (block by B. Biyombo),8,4
39,1,7:44.0,Defensive rebound by P. Washington,,8,4
