,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
0,1,11:54.0,J. McGee makes 2-pt dunk at rim (assist by L. James),,2,0
1,1,11:39.0,,J. Tatum misses 2-pt layup at rim,2,0
2,1,11:36.0,Defensive rebound by A. Davis,,2,0
3,1,11:33.0,D. Green makes 3-pt jump shot from 25 ft (assist by L. James),,5,0
4,1,11:33.0,Shooting foul by G. Hayward (drawn by D. Green),,5,0
5,1,11:33.0,D. Green makes free throw 1 of 1,,6,0
6,1,11:20.0,,K. Walker misses 2-pt layup from 1 ft (block by J. McGee),6,0
7,1,11:18.0,,Offensive rebound by D. Theis,6,0
8,1,11:14.0,,G. Hayward misses 2-pt jump shot from 21 ft,6,0
9,1,11:12.0,Defensive rebound by J. McGee,,6,0
10,1,11:05.0,A. Davis makes 2-pt dunk from 2 ft (assist by L. James),,8,0
11,1,10:44.0,,J. Brown misses 2-pt dunk from 4 ft (block by D. Green),8,0
12,1,10:44.0,Defensive rebound by D. Green,,8,0
13,1,10:29.0,Turnover by L. James (bad pass),,8,0
14,1,10:07.0,,G. Hayward makes 3-pt jump shot from 28 ft,8,3
15,1,9:52.0,A. Bradley makes 2-pt layup from 3 ft (assist by L. James),,10,3
16,1,9:32.0,,J. Brown misses 3-pt jump shot from 24 ft,10,3
17,1,9:30.0,Defensive rebound by J. McGee,,10,3
18,1,9:24.0,L. James misses 2-pt layup from 4 ft,,10,3
19,1,9:22.0,,Defensive rebound by D. Theis,10,3
20,1,9:19.0,,G. Hayward makes 2-pt layup from 5 ft (assist by J. Brown),10,5
21,1,9:19.0,,Shooting foul by A. Davis (drawn by G. Hayward),10,5
22,1,9:19.0,,G. Hayward makes free throw 1 of 1,10,6
23,1,9:08.0,,Violation by Team (kicked ball),10,6
24,1,8:58.0,J. McGee makes 2-pt hook shot from 13 ft,,12,6
25,1,8:45.0,,K. Walker misses 2-pt layup from 2 ft (block by A. Davis),12,6
26,1,8:44.0,Defensive rebound by L. James,,12,6
27,1,8:33.0,Turnover by L. James (bad pass; steal by G. Hayward),,12,6
28,1,8:30.0,,Shooting foul by A. Davis (drawn by J. Brown),12,6
29,1,8:30.0,,J. Brown makes free throw 1 of 2,12,7
30,1,8:30.0,K. Kuzma enters the game for A. Davis,,12,7
31,1,8:30.0,,J. Brown makes free throw 2 of 2,12,8
32,1,8:16.0,Shooting foul by D. Theis (drawn by J. McGee),,12,8
