,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,R. Covington misses 3-pt jump shot from 23 ft,0,0
1,1,11:41.0,Defensive rebound by D. Murray,,0,0
2,1,11:23.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Lyles),,2,0
3,1,11:10.0,,K. Towns misses 3-pt jump shot from 26 ft,2,0
4,1,11:07.0,Defensive rebound by D. Murray,,2,0
5,1,10:58.0,L. Aldridge misses 2-pt jump shot from 14 ft,,2,0
6,1,10:56.0,,Defensive rebound by J. Culver,2,0
7,1,10:48.0,,A. Wiggins makes 2-pt jump shot from 15 ft (assist by K. Towns),2,2
8,1,10:35.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,2
9,1,10:33.0,,Defensive rebound by R. Covington,2,2
10,1,10:15.0,,K. Towns makes 2-pt hook shot from 6 ft,2,4
11,1,9:56.0,T. Lyles misses 3-pt jump shot from 24 ft,,2,4
12,1,9:54.0,Offensive rebound by D. DeRozan,,2,4
13,1,9:48.0,D. DeRozan misses 2-pt jump shot from 18 ft,,2,4
14,1,9:45.0,,Defensive rebound by A. Wiggins,2,4
15,1,9:39.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by A. Wiggins),2,7
16,1,9:19.0,D. DeRozan makes 2-pt layup from 1 ft,,4,7
17,1,9:08.0,,A. Wiggins misses 2-pt jump shot from 19 ft,4,7
18,1,9:05.0,,Offensive rebound by J. Culver,4,7
19,1,9:04.0,,R. Covington misses 3-pt jump shot from 26 ft,4,7
20,1,9:01.0,Defensive rebound by D. Murray,,4,7
21,1,8:56.0,B. Forbes misses 3-pt jump shot from 25 ft,,4,7
22,1,8:52.0,Offensive rebound by T. Lyles,,4,7
23,1,8:40.0,B. Forbes misses 3-pt jump shot from 26 ft (block by J. Culver),,4,7
24,1,8:39.0,Offensive rebound by B. Forbes,,4,7
25,1,8:39.0,Turnover by Team (shot clock),,4,7
26,1,8:24.0,,J. Culver makes 2-pt layup from 2 ft,4,9
27,1,8:06.0,B. Forbes makes 2-pt layup from 3 ft (assist by D. DeRozan),,6,9
28,1,7:51.0,,Shooting foul by B. Forbes (drawn by A. Wiggins),6,9
29,1,7:51.0,,A. Wiggins makes free throw 1 of 2,6,10
30,1,7:51.0,,A. Wiggins makes free throw 2 of 2,6,11
31,1,7:41.0,Shooting foul by J. Culver (drawn by D. Murray),,6,11
32,1,7:41.0,D. Murray makes free throw 1 of 2,,7,11
33,1,7:41.0,D. Murray makes free throw 2 of 2,,8,11
34,1,7:29.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Culver),8,14
35,1,7:16.0,Turnover by D. DeRozan (bad pass; steal by R. Covington),,8,14
36,1,7:03.0,,K. Towns misses 3-pt jump shot from 25 ft,8,14
37,1,7:00.0,Defensive rebound by T. Lyles,,8,14
38,1,6:46.0,B. Forbes misses 3-pt jump shot from 24 ft,,8,14
39,1,6:43.0,,Defensive rebound by R. Covington,8,14
40,1,6:35.0,,A. Wiggins makes 2-pt layup from 1 ft,8,16
41,1,6:35.0,San Antonio full timeout,,8,16
42,1,6:35.0,D. White enters the game for D. Murray,,8,16
43,1,6:35.0,,J. Layman enters the game for J. Culver,8,16
44,1,6:35.0,,J. Okogie enters the game for T. Graham,8,16
45,1,6:25.0,D. White makes 2-pt jump shot from 13 ft,,10,16
46,1,6:11.0,,Shooting foul by B. Forbes (drawn by R. Covington),10,16
47,1,6:11.0,,R. Covington makes free throw 1 of 2,10,17
48,1,6:11.0,R. Gay enters the game for B. Forbes,,10,17
49,1,6:11.0,P. Mills enters the game for T. Lyles,,10,17
50,1,6:11.0,,R. Covington makes free throw 2 of 2,10,18
51,1,5:51.0,D. White misses 2-pt jump shot from 3 ft,,10,18
52,1,5:48.0,,Defensive rebound by A. Wiggins,10,18
53,1,5:42.0,,K. Towns misses 3-pt jump shot from 25 ft,10,18
54,1,5:39.0,Defensive rebound by R. Gay,,10,18
55,1,5:27.0,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),,12,18
56,1,5:13.0,,Turnover by A. Wiggins (bad pass; steal by D. White),12,18
57,1,5:04.0,R. Gay misses 3-pt jump shot from 25 ft,,12,18
58,1,5:01.0,Offensive rebound by L. Aldridge,,12,18
59,1,5:00.0,P. Mills misses 3-pt jump shot from 26 ft,,12,18
60,1,4:55.0,Offensive rebound by Team,,12,18
61,1,4:55.0,,J. Teague enters the game for R. Covington,12,18
62,1,4:55.0,,N. Vonleh enters the game for K. Towns,12,18
63,1,4:41.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),,14,18
64,1,4:15.0,,N. Vonleh makes 2-pt layup from 2 ft (assist by A. Wiggins),14,20
65,1,3:58.0,L. Aldridge misses 2-pt layup from 3 ft,,14,20
66,1,3:58.0,,Defensive rebound by Team,14,20
67,1,3:58.0,J. Poeltl enters the game for L. Aldridge,,14,20
