,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHARLOTTE_ACTION,HOUSTON_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,Turnover by P. Tucker (bad pass),,0,0
1,1,11:25.0,,M. Bridges misses 3-pt jump shot from 24 ft,0,0
2,1,11:23.0,Defensive rebound by D. House,,0,0
3,1,11:15.0,Turnover by B. McLemore (bad pass; steal by T. Rozier),,0,0
4,1,10:57.0,,P. Washington makes 3-pt jump shot from 25 ft (assist by M. Bridges),0,3
5,1,10:44.0,Turnover by J. Harden (bad pass; steal by C. Zeller),,0,3
6,1,10:39.0,,M. Bridges makes 2-pt layup from 2 ft (assist by T. Rozier),0,5
7,1,10:20.0,R. Covington misses 3-pt jump shot from 26 ft,,0,5
8,1,10:18.0,,Defensive rebound by C. Zeller,0,5
9,1,10:10.0,,P. Washington misses 3-pt jump shot from 27 ft,0,5
10,1,10:08.0,Defensive rebound by B. McLemore,,0,5
11,1,9:59.0,B. McLemore misses 3-pt jump shot from 26 ft,,0,5
12,1,9:57.0,,Defensive rebound by M. Bridges,0,5
13,1,9:49.0,,D. Graham makes 3-pt jump shot from 22 ft (assist by T. Rozier),0,8
14,1,9:36.0,Turnover by D. House (step out of bounds),,0,8
15,1,9:19.0,,T. Rozier misses 3-pt jump shot from 23 ft,0,8
16,1,9:17.0,Defensive rebound by J. Harden,,0,8
17,1,9:04.0,Turnover by J. Harden (bad pass; steal by D. Graham),,0,8
18,1,8:59.0,,D. Graham misses 3-pt jump shot from 26 ft,0,8
19,1,8:54.0,Defensive rebound by D. House,,0,8
20,1,8:47.0,Turnover by J. Harden (out of bounds lost ball),,0,8
21,1,8:25.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by D. Graham),0,11
22,1,8:25.0,Houston full timeout,,0,11
23,1,8:15.0,P. Tucker misses 3-pt jump shot from 24 ft,,0,11
24,1,8:12.0,,Defensive rebound by P. Washington,0,11
25,1,7:59.0,,Personal foul by P. Tucker (drawn by M. Bridges),0,11
26,1,7:47.0,,T. Rozier makes 2-pt layup from 2 ft (assist by P. Washington),0,13
27,1,7:20.0,Turnover by Team (shot clock),,0,13
28,1,7:20.0,A. Rivers enters the game for B. McLemore,,0,13
29,1,7:20.0,,J. McDaniels enters the game for P. Washington,0,13
30,1,7:07.0,,Shooting foul by D. House (drawn by D. Graham),0,13
31,1,7:07.0,,D. Graham makes free throw 1 of 2,0,14
32,1,7:07.0,,D. Graham makes free throw 2 of 2,0,15
33,1,6:45.0,Offensive foul by R. Covington (drawn by M. Bridges),,0,15
34,1,6:45.0,Turnover by R. Covington (offensive foul),,0,15
35,1,6:45.0,,C. Martin enters the game for D. Graham,0,15
36,1,6:22.0,,M. Bridges makes 2-pt layup from 1 ft,0,17
37,1,6:05.0,A. Rivers misses 3-pt jump shot from 25 ft,,0,17
38,1,6:03.0,Offensive rebound by R. Covington,,0,17
39,1,6:00.0,J. Harden misses 3-pt jump shot from 24 ft,,0,17
40,1,5:58.0,,Defensive rebound by J. McDaniels,0,17
41,1,5:48.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by C. Martin),0,19
42,1,5:40.0,Personal foul by M. Bridges (drawn by J. Harden),,0,19
43,1,5:40.0,,W. Hernangómez enters the game for C. Zeller,0,19
44,1,5:33.0,J. Harden misses 2-pt jump shot from 4 ft,,0,19
45,1,5:31.0,,Defensive rebound by W. Hernangómez,0,19
46,1,5:26.0,,T. Rozier misses 3-pt jump shot from 26 ft,0,19
47,1,5:25.0,,Offensive rebound by W. Hernangómez,0,19
48,1,5:25.0,,Shooting foul by A. Rivers (drawn by W. Hernangómez),0,19
49,1,5:25.0,,W. Hernangómez makes free throw 1 of 2,0,20
50,1,5:25.0,J. Green enters the game for D. House,,0,20
51,1,5:25.0,,W. Hernangómez misses free throw 2 of 2,0,20
52,1,5:23.0,Defensive rebound by R. Covington,,0,20
53,1,5:04.0,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Harden),,3,20
54,1,4:51.0,,Personal foul by J. Harden (drawn by W. Hernangómez),3,20
55,1,4:36.0,,J. McDaniels makes 2-pt jump shot from 4 ft (assist by T. Rozier),3,22
56,1,4:27.0,J. Harden makes 2-pt jump shot from 1 ft,,5,22
57,1,4:16.0,,Shooting foul by J. Green (drawn by M. Bridges),5,22
58,1,4:16.0,,M. Bridges makes free throw 1 of 2,5,23
59,1,4:16.0,,M. Bridges makes free throw 2 of 2,5,24
60,1,4:08.0,J. Green makes 2-pt dunk from 2 ft,,7,24
61,1,3:47.0,,C. Martin makes 2-pt jump shot from 3 ft,7,26
62,1,3:31.0,J. Green misses 3-pt jump shot from 22 ft,,7,26
63,1,3:28.0,,Defensive rebound by W. Hernangómez,7,26
64,1,3:06.0,,J. McDaniels misses 3-pt jump shot from 24 ft,7,26
65,1,3:03.0,Defensive rebound by P. Tucker,,7,26
66,1,2:52.0,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Harden),,10,26
67,1,2:52.0,,Charlotte full timeout,10,26
68,1,2:52.0,D. Carroll enters the game for P. Tucker,,10,26
69,1,2:52.0,,D. Graham enters the game for M. Bridges,10,26
70,1,2:52.0,,P. Washington enters the game for T. Rozier,10,26
71,1,2:37.0,,P. Washington makes 2-pt layup from 2 ft (assist by D. Graham),10,28
72,1,2:21.0,Turnover by J. Harden (bad pass; steal by C. Martin),,10,28
73,1,2:07.0,,D. Graham misses 3-pt jump shot from 28 ft,10,28
74,1,2:05.0,Defensive rebound by R. Covington,,10,28
75,1,1:43.0,R. Covington makes 3-pt jump shot from 24 ft (assist by D. Carroll),,13,28
76,1,1:29.0,,Turnover by D. Graham (bad pass),13,28
77,1,1:18.0,Shooting foul by C. Martin (drawn by J. Harden),,13,28
78,1,1:18.0,J. Harden makes free throw 1 of 2,,14,28
79,1,1:18.0,,C. Martin enters the game for J. McDaniels,14,28
80,1,1:18.0,J. Harden makes free throw 2 of 2,,15,28
81,1,0:55.0,,C. Martin misses 2-pt jump shot from 19 ft,15,28
82,1,0:53.0,Defensive rebound by J. Harden,,15,28
83,1,0:38.0,J. Harden misses 2-pt layup from 3 ft,,15,28
84,1,0:36.0,,Defensive rebound by P. Washington,15,28
85,1,0:32.0,,D. Graham makes 2-pt layup from 1 ft,15,30
86,1,0:12.0,J. Green makes 2-pt layup from 1 ft (assist by J. Harden),,17,30
87,1,0:01.0,,D. Graham misses 2-pt layup from 3 ft (block by R. Covington),17,30
88,1,0:01.0,Defensive rebound by J. Harden,,17,30
89,2,11:40.0,,Turnover by J. McDaniels (out of bounds lost ball),17,30
90,2,11:30.0,Offensive foul by A. Rivers (drawn by J. McDaniels),,17,30
91,2,11:30.0,Turnover by A. Rivers (offensive foul),,17,30
92,2,11:19.0,,Turnover by P. Washington (bad pass; steal by A. Rivers),17,30
93,2,11:18.0,Shooting foul by C. Martin (drawn by A. Rivers),,17,30
94,2,11:18.0,A. Rivers misses free throw 1 of 2,,17,30
95,2,11:18.0,Offensive rebound by Team,,17,30
96,2,11:18.0,A. Rivers misses free throw 2 of 2,,17,30
97,2,11:14.0,,Defensive rebound by J. McDaniels,17,30
98,2,11:07.0,Violation by Team (kicked ball),,17,30
99,2,11:05.0,,Turnover by J. McDaniels (bad pass; steal by J. Green),17,30
100,2,11:01.0,J. Green makes 2-pt layup from 2 ft,,19,30
101,2,10:39.0,,M. Bridges misses 3-pt jump shot from 24 ft,19,30
102,2,10:38.0,Defensive rebound by J. Harden,,19,30
103,2,10:33.0,Shooting foul by J. McDaniels (drawn by J. Harden),,19,30
104,2,10:33.0,J. Harden misses free throw 1 of 3,,19,30
105,2,10:33.0,Offensive rebound by Team,,19,30
106,2,10:33.0,J. Harden makes free throw 2 of 3,,20,30
107,2,10:33.0,,T. Rozier enters the game for J. McDaniels,20,30
108,2,10:33.0,J. Harden makes free throw 3 of 3,,21,30
109,2,10:15.0,,M. Bridges misses 2-pt jump shot from 2 ft (block by J. Green),21,30
110,2,10:13.0,Defensive rebound by J. Harden,,21,30
111,2,10:11.0,Personal foul by P. Washington (drawn by J. Harden),,21,30
112,2,9:55.0,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),,24,30
113,2,9:35.0,,Turnover by T. Rozier (bad pass),24,30
114,2,9:23.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Harden),,27,30
115,2,9:23.0,,Charlotte full timeout,27,30
116,2,9:23.0,B. McLemore enters the game for J. Harden,,27,30
117,2,9:23.0,,C. Zeller enters the game for P. Washington,27,30
118,2,9:00.0,,C. Martin makes 3-pt jump shot from 26 ft (assist by C. Zeller),27,33
119,2,8:41.0,Personal foul by M. Bridges (drawn by D. House),,27,33
120,2,8:41.0,,C. Martin enters the game for D. Graham,27,33
121,2,8:31.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. Carroll),,30,33
122,2,8:18.0,,C. Zeller misses 2-pt layup from 1 ft,30,33
123,2,8:16.0,Defensive rebound by D. House,,30,33
124,2,8:10.0,A. Rivers misses 2-pt jump shot from 3 ft,,30,33
125,2,8:09.0,,Defensive rebound by M. Bridges,30,33
126,2,8:03.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by T. Rozier),30,35
127,2,7:43.0,D. Carroll makes 2-pt jump shot from 8 ft (assist by D. House),,32,35
128,2,7:29.0,,C. Martin misses 2-pt jump shot from 22 ft,32,35
129,2,7:29.0,,Offensive rebound by Team,32,35
130,2,7:29.0,Loose ball foul by D. Carroll (drawn by C. Zeller),,32,35
131,2,7:15.0,,M. Bridges misses 2-pt jump shot from 14 ft,32,35
132,2,7:14.0,Defensive rebound by J. Green,,32,35
133,2,7:10.0,Turnover by J. Green (bad pass),,32,35
134,2,6:49.0,,C. Martin misses 3-pt jump shot from 23 ft,32,35
135,2,6:46.0,Defensive rebound by J. Green,,32,35
136,2,6:42.0,D. Carroll misses 3-pt jump shot from 25 ft,,32,35
137,2,6:41.0,Offensive rebound by Team,,32,35
138,2,6:41.0,J. Harden enters the game for J. Green,,32,35
139,2,6:41.0,P. Tucker enters the game for D. House,,32,35
140,2,6:34.0,J. Harden misses 3-pt jump shot from 24 ft,,32,35
141,2,6:32.0,,Defensive rebound by C. Zeller,32,35
142,2,6:18.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by C. Martin),32,38
143,2,5:58.0,B. McLemore makes 2-pt layup from 1 ft (assist by J. Harden),,34,38
144,2,5:37.0,,C. Martin misses 2-pt jump shot from 20 ft,34,38
145,2,5:35.0,Defensive rebound by A. Rivers,,34,38
146,2,5:30.0,Turnover by J. Harden (lost ball; steal by C. Zeller),,34,38
147,2,5:28.0,,Shooting foul by A. Rivers (drawn by C. Martin),34,38
148,2,5:28.0,,Instant Replay (Request: Ruling Stands),34,38
149,2,5:28.0,,C. Martin misses free throw 1 of 2,34,38
150,2,5:28.0,,Offensive rebound by Team,34,38
151,2,5:28.0,R. Covington enters the game for D. Carroll,,34,38
152,2,5:28.0,D. House enters the game for A. Rivers,,34,38
153,2,5:28.0,,P. Washington enters the game for M. Bridges,34,38
154,2,5:28.0,,C. Martin misses free throw 2 of 2,34,38
155,2,5:23.0,Defensive rebound by P. Tucker,,34,38
156,2,5:07.0,B. McLemore misses 3-pt jump shot from 25 ft,,34,38
157,2,5:05.0,,Defensive rebound by P. Washington,34,38
158,2,4:51.0,,C. Zeller makes 2-pt jump shot from 5 ft (assist by T. Rozier),34,40
159,2,4:32.0,Shooting foul by C. Martin (drawn by J. Harden),,34,40
160,2,4:32.0,J. Harden makes free throw 1 of 2,,35,40
161,2,4:32.0,,D. Graham enters the game for C. Martin,35,40
162,2,4:32.0,J. Harden makes free throw 2 of 2,,36,40
163,2,4:12.0,,P. Washington makes 2-pt jump shot from 3 ft (assist by D. Graham),36,42
164,2,4:00.0,J. Harden makes 3-pt jump shot from 27 ft,,39,42
165,2,3:51.0,,Offensive foul by C. Zeller (drawn by P. Tucker),39,42
166,2,3:51.0,,Turnover by C. Zeller (offensive foul),39,42
167,2,3:47.0,Offensive foul by J. Harden (drawn by C. Zeller),,39,42
168,2,3:47.0,Turnover by J. Harden (offensive foul),,39,42
169,2,3:30.0,,D. Graham makes 3-pt jump shot from 27 ft (assist by C. Martin),39,45
170,2,3:21.0,Shooting foul by D. Graham (drawn by J. Harden),,39,45
171,2,3:21.0,J. Harden makes free throw 1 of 2,,40,45
172,2,3:21.0,A. Rivers enters the game for B. McLemore,,40,45
173,2,3:21.0,J. Harden makes free throw 2 of 2,,41,45
174,2,2:58.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by C. Martin),41,48
175,2,2:58.0,,Shooting foul by D. House (drawn by T. Rozier),41,48
176,2,2:58.0,Houston full timeout,,41,48
177,2,2:58.0,,T. Rozier makes free throw 1 of 1,41,49
178,2,2:47.0,Turnover by A. Rivers (step out of bounds),,41,49
179,2,2:36.0,,P. Washington makes 2-pt layup from 2 ft,41,51
180,2,2:36.0,,Shooting foul by R. Covington (drawn by P. Washington),41,51
181,2,2:36.0,,P. Washington makes free throw 1 of 1,41,52
182,2,2:11.0,J. Harden misses 3-pt jump shot from 25 ft,,41,52
183,2,2:08.0,,Defensive rebound by P. Washington,41,52
184,2,2:02.0,,C. Zeller makes 2-pt layup from 2 ft (assist by C. Martin),41,54
185,2,1:40.0,A. Rivers misses 2-pt layup from 3 ft,,41,54
186,2,1:38.0,,Defensive rebound by C. Zeller,41,54
187,2,1:36.0,,T. Rozier misses 2-pt dunk from 3 ft (block by R. Covington),41,54
188,2,1:34.0,Defensive rebound by P. Tucker,,41,54
189,2,1:14.0,D. House misses 3-pt jump shot from 23 ft,,41,54
190,2,1:11.0,,Defensive rebound by P. Washington,41,54
191,2,0:50.0,,P. Washington makes 3-pt jump shot from 25 ft (assist by C. Martin),41,57
192,2,0:39.0,J. Harden makes 2-pt jump shot from 2 ft,,43,57
193,2,0:32.0,,Turnover by T. Rozier (bad pass; steal by A. Rivers),43,57
194,2,0:22.0,J. Harden misses 2-pt jump shot from 3 ft,,43,57
195,2,0:21.0,Offensive rebound by J. Harden,,43,57
196,2,0:20.0,Turnover by J. Harden (out of bounds lost ball),,43,57
197,2,0:20.0,,M. Bridges enters the game for C. Martin,43,57
198,2,0:03.0,,D. Graham misses 3-pt jump shot from 25 ft,43,57
199,2,0:01.0,Defensive rebound by R. Covington,,43,57
200,2,0:00.0,P. Tucker misses 3-pt jump shot from 30 ft,,43,57
201,2,0:00.0,Offensive rebound by Team,,43,57
202,3,11:37.0,,T. Rozier makes 2-pt jump shot from 23 ft,43,59
