,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:44.0,Shooting foul by T. Bryant (drawn by M. Bridges),,0,0
1,1,11:44.0,M. Bridges makes free throw 1 of 2,,1,0
2,1,11:44.0,M. Bridges makes free throw 2 of 2,,2,0
3,1,11:28.0,,Turnover by B. Beal (lost ball; steal by M. Bridges),2,0
4,1,11:23.0,T. Rozier misses 3-pt jump shot from 27 ft,,2,0
5,1,11:21.0,,Defensive rebound by I. Thomas,2,0
6,1,11:12.0,,T. Bryant makes 2-pt jump shot from 16 ft,2,2
7,1,10:58.0,Personal foul by B. Beal (drawn by D. Graham),,2,2
8,1,10:47.0,C. Zeller misses 2-pt jump shot from 12 ft,,2,2
9,1,10:47.0,,Defensive rebound by T. Bryant,2,2
10,1,10:39.0,,T. Brown misses 2-pt hook shot from 7 ft,2,2
11,1,10:37.0,Defensive rebound by D. Graham,,2,2
12,1,10:33.0,M. Bridges makes 2-pt jump shot from 14 ft (assist by D. Graham),,4,2
13,1,10:08.0,,R. Hachimura makes 2-pt layup from 2 ft (assist by I. Thomas),4,4
14,1,9:55.0,D. Graham makes 2-pt jump shot from 14 ft,,6,4
15,1,9:41.0,,R. Hachimura makes 2-pt layup from 1 ft (assist by B. Beal),6,6
16,1,9:25.0,T. Rozier misses 3-pt jump shot from 26 ft,,6,6
17,1,9:22.0,,Defensive rebound by T. Brown,6,6
18,1,9:21.0,,T. Brown misses 2-pt layup from 5 ft (block by D. Graham),6,6
19,1,9:20.0,Defensive rebound by Team,,6,6
20,1,9:07.0,D. Graham misses 3-pt jump shot from 27 ft,,6,6
21,1,9:03.0,Offensive rebound by Team,,6,6
22,1,8:51.0,P. Washington misses 2-pt layup from 2 ft,,6,6
23,1,8:48.0,Offensive rebound by P. Washington,,6,6
24,1,8:48.0,P. Washington makes 2-pt layup from 3 ft,,8,6
25,1,8:40.0,,I. Thomas misses 2-pt jump shot from 18 ft,8,6
26,1,8:38.0,Defensive rebound by C. Zeller,,8,6
27,1,8:34.0,D. Graham makes 3-pt jump shot from 27 ft,,11,6
28,1,8:13.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),11,8
29,1,7:59.0,D. Graham misses 3-pt jump shot from 26 ft,,11,8
30,1,7:57.0,,Defensive rebound by T. Bryant,11,8
31,1,7:52.0,,B. Beal makes 2-pt layup from 2 ft,11,10
32,1,7:52.0,,Shooting foul by C. Zeller (drawn by B. Beal),11,10
33,1,7:52.0,,B. Beal makes free throw 1 of 1,11,11
34,1,7:38.0,C. Zeller misses 2-pt hook shot from 9 ft,,11,11
35,1,7:36.0,,Defensive rebound by T. Brown,11,11
36,1,7:28.0,,Turnover by T. Brown (bad pass; steal by D. Graham),11,11
37,1,7:25.0,Turnover by D. Graham (bad pass),,11,11
38,1,7:15.0,,T. Brown misses 3-pt jump shot from 26 ft,11,11
39,1,7:12.0,Defensive rebound by C. Zeller,,11,11
40,1,6:58.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by P. Washington),,14,11
41,1,6:45.0,,R. Hachimura misses 2-pt layup from 2 ft (block by P. Washington),14,11
42,1,6:43.0,Defensive rebound by D. Graham,,14,11
43,1,6:40.0,M. Bridges makes 2-pt dunk from 2 ft (assist by D. Graham),,16,11
44,1,6:40.0,,Washington full timeout,16,11
45,1,6:40.0,B. Biyombo enters the game for D. Graham,,16,11
46,1,6:40.0,M. Monk enters the game for C. Zeller,,16,11
47,1,6:26.0,,R. Hachimura misses 2-pt jump shot from 16 ft,16,11
48,1,6:23.0,Defensive rebound by P. Washington,,16,11
49,1,6:08.0,Turnover by M. Bridges (bad pass; steal by R. Hachimura),,16,11
50,1,6:02.0,,T. Brown makes 2-pt layup from 2 ft,16,13
51,1,5:50.0,Turnover by T. Rozier (bad pass; steal by R. Hachimura),,16,13
52,1,5:45.0,,I. Thomas makes 2-pt layup from 2 ft (assist by B. Beal),16,15
53,1,5:24.0,M. Bridges misses 2-pt jump shot from 13 ft,,16,15
54,1,5:24.0,,Defensive rebound by I. Thomas,16,15
55,1,5:12.0,,T. Brown makes 2-pt jump shot from 19 ft (assist by I. Thomas),16,17
56,1,5:10.0,Charlotte full timeout,,16,17
57,1,5:10.0,N. Batum enters the game for M. Bridges,,16,17
58,1,4:52.0,N. Batum makes 3-pt jump shot from 28 ft (assist by M. Monk),,19,17
59,1,4:32.0,,Shooting foul by P. Washington (drawn by B. Beal),19,17
60,1,4:32.0,,B. Beal makes free throw 1 of 2,19,18
61,1,4:32.0,,D. Bertāns enters the game for T. Brown,19,18
62,1,4:32.0,,B. Beal makes free throw 2 of 2,19,19
63,1,4:19.0,P. Washington misses 2-pt layup from 5 ft,,19,19
64,1,4:17.0,,Defensive rebound by B. Beal,19,19
65,1,4:12.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),19,21
66,1,3:51.0,B. Biyombo makes 2-pt hook shot from 4 ft (assist by T. Rozier),,21,21
67,1,3:38.0,,T. Bryant misses 2-pt hook shot from 4 ft,21,21
68,1,3:36.0,Defensive rebound by N. Batum,,21,21
69,1,3:27.0,P. Washington misses 2-pt hook shot from 5 ft,,21,21
70,1,3:25.0,,Defensive rebound by D. Bertāns,21,21
71,1,3:21.0,,I. Thomas misses 3-pt jump shot from 26 ft,21,21
72,1,3:18.0,Defensive rebound by B. Biyombo,,21,21
73,1,3:10.0,T. Rozier misses 2-pt layup from 3 ft,,21,21
74,1,3:09.0,,Defensive rebound by T. Bryant,21,21
75,1,3:08.0,,Personal take foul by N. Batum (drawn by B. Beal),21,21
76,1,3:08.0,D. Graham enters the game for T. Rozier,,21,21
77,1,3:08.0,M. Williams enters the game for P. Washington,,21,21
78,1,3:08.0,,C. Miles enters the game for R. Hachimura,21,21
79,1,3:08.0,,I. Smith enters the game for I. Thomas,21,21
80,1,3:02.0,,T. Bryant makes 2-pt layup at rim (assist by B. Beal),21,23
81,1,3:02.0,,Shooting foul by M. Williams (drawn by T. Bryant),21,23
82,1,3:02.0,,T. Bryant misses free throw 1 of 1,21,23
