,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:48.0,Turnover by J. Parker (bad pass),,0,0
1,1,11:32.0,,J. Randle misses 2-pt jump shot from 10 ft,0,0
2,1,11:30.0,Defensive rebound by D. Hunter,,0,0
3,1,11:22.0,T. Young misses 2-pt jump shot from 10 ft,,0,0
4,1,11:20.0,,Defensive rebound by F. Ntilikina,0,0
5,1,11:14.0,,J. Randle misses 2-pt layup from 3 ft,0,0
6,1,11:10.0,Defensive rebound by J. Parker,,0,0
7,1,11:07.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Parker),,3,0
8,1,10:47.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Gibson),3,3
9,1,10:33.0,D. Hunter misses 2-pt layup from 6 ft,,3,3
10,1,10:31.0,,Defensive rebound by M. Morris,3,3
11,1,10:25.0,,M. Morris makes 2-pt layup from 5 ft,3,5
12,1,10:25.0,,Shooting foul by D. Hunter (drawn by M. Morris),3,5
13,1,10:25.0,,M. Morris makes free throw 1 of 1,3,6
14,1,10:19.0,Personal foul by R. Barrett (drawn by T. Young),,3,6
15,1,10:04.0,T. Young misses 2-pt jump shot from 18 ft,,3,6
16,1,10:02.0,Offensive rebound by J. Parker,,3,6
17,1,10:01.0,J. Parker makes 2-pt layup from 1 ft,,5,6
18,1,9:50.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Randle),5,9
19,1,9:34.0,K. Huerter misses 2-pt layup from 4 ft,,5,9
20,1,9:33.0,Offensive rebound by K. Huerter,,5,9
21,1,9:29.0,Personal foul by M. Morris (drawn by D. Jones),,5,9
22,1,9:27.0,Personal foul by F. Ntilikina (drawn by T. Young),,5,9
23,1,9:18.0,J. Parker misses 3-pt jump shot from 26 ft,,5,9
24,1,9:16.0,,Defensive rebound by R. Barrett,5,9
25,1,9:06.0,,J. Randle misses 3-pt jump shot from 27 ft,5,9
26,1,9:04.0,Defensive rebound by D. Hunter,,5,9
27,1,8:57.0,T. Young makes 2-pt jump shot from 17 ft,,7,9
28,1,8:47.0,,Turnover by F. Ntilikina (bad pass; steal by K. Huerter),7,9
29,1,8:45.0,J. Parker makes 2-pt dunk from 1 ft (assist by K. Huerter),,9,9
30,1,8:31.0,,Personal foul by K. Huerter (drawn by R. Barrett),9,9
31,1,8:21.0,,J. Randle makes 2-pt layup from 1 ft (assist by F. Ntilikina),9,11
32,1,8:09.0,T. Young makes 2-pt jump shot from 12 ft,,11,11
33,1,7:56.0,,M. Morris misses 2-pt jump shot from 15 ft,11,11
34,1,7:52.0,Defensive rebound by J. Parker,,11,11
35,1,7:44.0,D. Hunter misses 3-pt jump shot from 24 ft,,11,11
36,1,7:43.0,Offensive rebound by D. Jones,,11,11
37,1,7:38.0,D. Hunter misses 3-pt jump shot from 25 ft,,11,11
38,1,7:33.0,,Defensive rebound by R. Barrett,11,11
39,1,7:26.0,,R. Barrett misses 2-pt layup from 4 ft (block by K. Huerter),11,11
40,1,7:25.0,,Offensive rebound by R. Barrett,11,11
41,1,7:24.0,,R. Barrett makes 2-pt layup from 1 ft,11,13
42,1,7:13.0,D. Jones misses 2-pt layup from 4 ft (block by T. Gibson),,11,13
43,1,7:12.0,Offensive rebound by D. Jones,,11,13
44,1,7:12.0,Shooting foul by T. Gibson (drawn by D. Jones),,11,13
45,1,7:12.0,D. Jones makes free throw 1 of 2,,12,13
46,1,7:12.0,D. Jones makes free throw 2 of 2,,13,13
47,1,7:09.0,,New York full timeout,13,13
48,1,7:09.0,V. Carter enters the game for D. Hunter,,13,13
49,1,7:09.0,A. Len enters the game for D. Jones,,13,13
50,1,7:09.0,C. Reddish enters the game for J. Parker,,13,13
51,1,7:09.0,,E. Payton enters the game for T. Gibson,13,13
52,1,7:09.0,,M. Robinson enters the game for M. Morris,13,13
53,1,6:52.0,,J. Randle makes 2-pt layup from 8 ft,13,15
54,1,6:37.0,Turnover by K. Huerter (bad pass; steal by R. Barrett),,13,15
55,1,6:35.0,,R. Barrett makes 2-pt layup from 2 ft,13,17
56,1,6:35.0,,Shooting foul by V. Carter (drawn by R. Barrett),13,17
57,1,6:35.0,,R. Barrett misses free throw 1 of 1,13,17
58,1,6:33.0,Defensive rebound by A. Len,,13,17
59,1,6:22.0,T. Young makes 3-pt jump shot from 26 ft,,16,17
60,1,6:06.0,,Shooting foul by C. Reddish (drawn by J. Randle),16,17
61,1,6:06.0,,J. Randle makes free throw 1 of 2,16,18
62,1,6:06.0,A. Crabbe enters the game for K. Huerter,,16,18
63,1,6:06.0,,J. Randle makes free throw 2 of 2,16,19
64,1,5:55.0,T. Young makes 2-pt jump shot from 10 ft,,18,19
