,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:54.0,,J. McGee misses 2-pt dunk from 2 ft,0,0
1,1,11:51.0,Defensive rebound by D. Murray,,0,0
2,1,11:41.0,D. DeRozan misses 2-pt jump shot from 11 ft,,0,0
3,1,11:37.0,,Defensive rebound by A. Davis,0,0
4,1,11:28.0,,A. Davis misses 2-pt jump shot from 10 ft,0,0
5,1,11:26.0,Defensive rebound by L. Aldridge,,0,0
6,1,11:11.0,B. Forbes misses 3-pt jump shot from 25 ft,,0,0
7,1,11:09.0,,Defensive rebound by D. Green,0,0
8,1,10:58.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by L. James),0,2
9,1,10:38.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,3,2
10,1,10:20.0,,A. Bradley misses 2-pt jump shot from 13 ft,3,2
11,1,10:17.0,Defensive rebound by D. DeRozan,,3,2
12,1,10:09.0,D. Murray misses 2-pt jump shot from 8 ft,,3,2
13,1,10:07.0,,Defensive rebound by L. James,3,2
14,1,9:45.0,,L. James misses 2-pt layup from 3 ft,3,2
15,1,9:42.0,Defensive rebound by L. Aldridge,,3,2
16,1,9:40.0,D. Murray misses 2-pt layup from 2 ft,,3,2
17,1,9:38.0,,Defensive rebound by A. Bradley,3,2
18,1,9:32.0,,Personal foul by D. DeRozan (drawn by J. McGee),3,2
19,1,9:15.0,,D. Green misses 3-pt jump shot from 23 ft,3,2
20,1,9:13.0,,Offensive rebound by D. Green,3,2
21,1,9:01.0,,A. Bradley misses 3-pt jump shot from 23 ft,3,2
22,1,8:57.0,Defensive rebound by D. DeRozan,,3,2
23,1,8:37.0,L. Aldridge misses 3-pt jump shot from 26 ft,,3,2
24,1,8:34.0,,Defensive rebound by J. McGee,3,2
25,1,8:28.0,,A. Davis misses 3-pt jump shot from 25 ft,3,2
26,1,8:26.0,,Offensive rebound by A. Davis,3,2
27,1,8:24.0,,Turnover by A. Davis (bad pass; steal by D. DeRozan),3,2
28,1,8:19.0,T. Lyles misses 2-pt jump shot from 23 ft,,3,2
29,1,8:15.0,,Defensive rebound by D. Green,3,2
30,1,8:12.0,,A. Davis makes 2-pt layup from 2 ft (assist by L. James),3,4
