,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:31.0,Z. LaVine makes 2-pt jump shot from 17 ft,,2,0
1,1,11:17.0,,Shooting foul by W. Carter (drawn by B. Adebayo),2,0
2,1,11:17.0,,B. Adebayo makes free throw 1 of 2,2,1
3,1,11:17.0,,B. Adebayo makes free throw 2 of 2,2,2
4,1,11:03.0,Z. LaVine misses 2-pt layup from 2 ft (block by J. Butler),,2,2
5,1,10:58.0,,Defensive rebound by B. Adebayo,2,2
6,1,10:58.0,,Turnover by B. Adebayo (bad pass; steal by K. Dunn),2,2
7,1,10:52.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by K. Dunn),,5,2
8,1,10:38.0,,D. Robinson misses 2-pt jump shot from 17 ft,5,2
9,1,10:35.0,Defensive rebound by W. Carter,,5,2
10,1,10:33.0,Personal foul by D. Robinson (drawn by K. Dunn),,5,2
11,1,10:26.0,T. Satoranský misses 2-pt jump shot from 3 ft,,5,2
12,1,10:21.0,,Defensive rebound by K. Nunn,5,2
13,1,10:10.0,,K. Nunn misses 2-pt layup from 2 ft,5,2
14,1,10:07.0,Defensive rebound by L. Markkanen,,5,2
15,1,9:59.0,L. Markkanen misses 3-pt jump shot from 26 ft,,5,2
16,1,9:57.0,,Defensive rebound by J. Butler,5,2
17,1,9:50.0,,D. Robinson misses 3-pt jump shot from 25 ft,5,2
18,1,9:47.0,Defensive rebound by L. Markkanen,,5,2
19,1,9:36.0,W. Carter misses 2-pt hook shot from 5 ft,,5,2
20,1,9:31.0,,Defensive rebound by D. Robinson,5,2
21,1,9:22.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),5,5
22,1,9:00.0,Z. LaVine misses 2-pt jump shot from 12 ft,,5,5
23,1,8:57.0,,Defensive rebound by M. Leonard,5,5
24,1,8:46.0,,Turnover by J. Butler (bad pass; steal by Z. LaVine),5,5
25,1,8:40.0,T. Satoranský misses 2-pt layup from 2 ft (block by B. Adebayo),,5,5
26,1,8:36.0,Offensive rebound by L. Markkanen,,5,5
27,1,8:35.0,L. Markkanen makes 2-pt layup from 2 ft,,7,5
28,1,8:21.0,,K. Nunn misses 3-pt jump shot from 23 ft,7,5
29,1,8:17.0,Defensive rebound by W. Carter,,7,5
30,1,8:12.0,Shooting foul by D. Robinson (drawn by K. Dunn),,7,5
31,1,8:12.0,K. Dunn makes free throw 1 of 2,,8,5
32,1,8:12.0,,T. Herro enters the game for D. Robinson,8,5
33,1,8:12.0,K. Dunn misses free throw 2 of 2,,8,5
34,1,8:09.0,,Defensive rebound by B. Adebayo,8,5
35,1,7:49.0,,J. Butler misses 2-pt jump shot from 6 ft,8,5
36,1,7:44.0,Defensive rebound by K. Dunn,,8,5
37,1,7:23.0,W. Carter makes 2-pt dunk from 1 ft (assist by T. Satoranský),,10,5
38,1,7:09.0,,Personal foul by K. Dunn (drawn by M. Leonard),10,5
39,1,6:59.0,,Offensive foul by B. Adebayo (drawn by W. Carter),10,5
40,1,6:59.0,,Turnover by B. Adebayo (offensive foul),10,5
41,1,6:59.0,,Miami full timeout,10,5
42,1,6:36.0,Z. LaVine misses 2-pt jump shot from 13 ft,,10,5
43,1,6:32.0,,Defensive rebound by B. Adebayo,10,5
44,1,6:19.0,,K. Nunn makes 2-pt layup from 1 ft (assist by B. Adebayo),10,7
45,1,5:59.0,T. Satoranský makes 2-pt jump shot from 14 ft,,12,7
46,1,5:38.0,,Turnover by K. Nunn (bad pass; steal by Z. LaVine),12,7
47,1,5:21.0,K. Dunn makes 2-pt jump shot from 8 ft,,14,7
48,1,4:57.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Nunn),14,9
49,1,4:39.0,Shooting foul by T. Herro (drawn by W. Carter),,14,9
50,1,4:39.0,W. Carter misses free throw 1 of 2,,14,9
51,1,4:39.0,Offensive rebound by Team,,14,9
52,1,4:39.0,C. White enters the game for K. Dunn,,14,9
53,1,4:39.0,,D. Jones enters the game for M. Leonard,14,9
54,1,4:39.0,W. Carter makes free throw 2 of 2,,15,9
55,1,4:30.0,,Personal foul by Z. LaVine (drawn by J. Butler),15,9
56,1,4:15.0,,D. Jones misses 2-pt jump shot from 21 ft,15,9
57,1,4:13.0,,Offensive rebound by B. Adebayo,15,9
58,1,4:08.0,,T. Herro misses 2-pt layup from 3 ft,15,9
59,1,4:05.0,,Offensive rebound by D. Jones,15,9
60,1,4:04.0,,J. Butler misses 3-pt jump shot from 27 ft,15,9
61,1,4:01.0,Defensive rebound by Z. LaVine,,15,9
62,1,3:53.0,Personal foul by D. Jones (drawn by T. Satoranský),,15,9
63,1,3:53.0,D. Gafford enters the game for W. Carter,,15,9
64,1,3:53.0,T. Young enters the game for L. Markkanen,,15,9
65,1,3:53.0,,K. Olynyk enters the game for B. Adebayo,15,9
66,1,3:42.0,T. Satoranský misses 3-pt jump shot from 26 ft,,15,9
67,1,3:40.0,,Defensive rebound by J. Butler,15,9
68,1,3:35.0,,Shooting foul by D. Gafford (drawn by J. Butler),15,9
69,1,3:35.0,,J. Butler makes free throw 1 of 2,15,10
70,1,3:35.0,R. Arcidiacono enters the game for T. Satoranský,,15,10
71,1,3:35.0,,J. Butler misses free throw 2 of 2,15,10
72,1,3:35.0,Defensive rebound by Z. LaVine,,15,10
73,1,3:24.0,T. Young makes 2-pt layup from 1 ft (assist by C. White),,17,10
74,1,3:24.0,Shooting foul by D. Jones (drawn by T. Young),,17,10
75,1,3:24.0,,C. Silva enters the game for D. Jones,17,10
76,1,3:24.0,T. Young misses free throw 1 of 1,,17,10
77,1,3:20.0,,Defensive rebound by C. Silva,17,10
78,1,3:10.0,,Shooting foul by D. Gafford (drawn by C. Silva),17,10
79,1,3:10.0,,C. Silva misses free throw 1 of 2,17,10
80,1,3:10.0,,Offensive rebound by Team,17,10
81,1,3:10.0,D. Valentine enters the game for Z. LaVine,,17,10
82,1,3:10.0,,C. Silva makes free throw 2 of 2,17,11
83,1,2:56.0,C. White makes 3-pt jump shot from 26 ft (assist by D. Valentine),,20,11
84,1,2:40.0,,Offensive foul by T. Herro (drawn by R. Arcidiacono),20,11
85,1,2:40.0,,Turnover by T. Herro (offensive foul),20,11
86,1,2:40.0,,Miami full timeout,20,11
87,1,2:28.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,20,11
88,1,2:24.0,,Defensive rebound by Team,20,11
89,1,2:12.0,,Shooting foul by D. Gafford (drawn by J. Butler),20,11
90,1,2:12.0,,J. Butler makes free throw 1 of 2,20,12
91,1,2:12.0,W. Carter enters the game for D. Gafford,,20,12
92,1,2:12.0,,J. Butler makes free throw 2 of 2,20,13
93,1,1:55.0,C. White misses 3-pt jump shot from 29 ft,,20,13
94,1,1:51.0,Offensive rebound by W. Carter,,20,13
95,1,1:49.0,T. Young misses 3-pt jump shot from 23 ft,,20,13
96,1,1:46.0,,Defensive rebound by T. Herro,20,13
97,1,1:40.0,,Shooting foul by D. Valentine (drawn by J. Butler),20,13
98,1,1:40.0,,J. Butler misses free throw 1 of 2,20,13
99,1,1:40.0,,Offensive rebound by Team,20,13
100,1,1:40.0,,J. Butler makes free throw 2 of 2,20,14
101,1,1:22.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,23,14
102,1,1:03.0,,K. Olynyk misses 2-pt jump shot from 14 ft,23,14
103,1,0:59.0,,Offensive rebound by C. Silva,23,14
104,1,0:50.0,,C. Silva misses 2-pt jump shot from 14 ft,23,14
105,1,0:45.0,Defensive rebound by T. Young,,23,14
106,1,0:32.0,T. Young makes 2-pt hook shot from 9 ft,,25,14
107,1,0:19.0,,J. Butler makes 2-pt jump shot from 7 ft,25,16
108,1,0:02.0,Turnover by C. White (bad pass),,25,16
109,1,0:00.0,,K. Nunn misses 3-pt jump shot from 35 ft,25,16
110,1,0:00.0,,Offensive rebound by Team,25,16
111,2,11:42.0,,T. Herro makes 2-pt jump shot from 11 ft,25,18
112,2,11:22.0,T. Young misses 2-pt hook shot from 5 ft,,25,18
113,2,11:19.0,,Defensive rebound by K. Nunn,25,18
114,2,11:10.0,,K. Nunn makes 2-pt jump shot from 14 ft,25,20
