,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:49.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,0
1,1,11:44.0,Offensive rebound by O. Anunoby,,0,0
2,1,11:42.0,P. Siakam misses 3-pt jump shot from 26 ft,,0,0
3,1,11:40.0,,Defensive rebound by J. Collins,0,0
4,1,11:34.0,,K. Huerter misses 3-pt jump shot from 26 ft,0,0
5,1,11:31.0,Defensive rebound by P. Siakam,,0,0
6,1,11:28.0,Shooting foul by C. Reddish (drawn by P. Siakam),,0,0
7,1,11:28.0,P. Siakam makes free throw 1 of 2,,1,0
8,1,11:28.0,P. Siakam makes free throw 2 of 2,,2,0
9,1,11:19.0,,Turnover by D. Hunter (bad pass),2,0
10,1,11:00.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,0
11,1,10:53.0,Offensive rebound by O. Anunoby,,2,0
12,1,10:53.0,O. Anunoby makes 2-pt dunk at rim,,4,0
13,1,10:45.0,,Turnover by J. Collins (out of bounds lost ball),4,0
14,1,10:36.0,M. Gasol misses 3-pt jump shot from 26 ft,,4,0
15,1,10:33.0,Offensive rebound by K. Lowry,,4,0
16,1,10:31.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,7,0
17,1,10:29.0,,Atlanta full timeout,7,0
18,1,10:21.0,,D. Hunter misses 3-pt jump shot from 26 ft,7,0
19,1,10:15.0,Defensive rebound by M. Gasol,,7,0
20,1,10:06.0,P. Siakam makes 2-pt layup at rim,,9,0
21,1,9:51.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by D. Hunter),9,3
22,1,9:33.0,Turnover by F. VanVleet (bad pass),,9,3
23,1,9:31.0,Loose ball foul by M. Gasol (drawn by J. Collins),,9,3
24,1,9:15.0,,K. Huerter misses 2-pt jump shot from 10 ft,9,3
25,1,9:11.0,Defensive rebound by P. Siakam,,9,3
26,1,9:07.0,P. Siakam misses 2-pt layup from 1 ft,,9,3
27,1,9:05.0,,Defensive rebound by K. Huerter,9,3
28,1,9:02.0,,C. Reddish misses 2-pt jump shot from 18 ft,9,3
29,1,8:59.0,Defensive rebound by K. Lowry,,9,3
30,1,8:46.0,F. VanVleet makes 2-pt layup from 1 ft,,11,3
31,1,8:39.0,,Personal foul by F. VanVleet (drawn by T. Young),11,3
32,1,8:29.0,,Turnover by D. Hunter (traveling),11,3
33,1,8:07.0,F. VanVleet misses 3-pt jump shot from 25 ft,,11,3
34,1,8:04.0,,Defensive rebound by C. Reddish,11,3
35,1,7:59.0,,Offensive foul by T. Young (drawn by M. Gasol),11,3
36,1,7:59.0,,Turnover by T. Young (offensive foul),11,3
37,1,7:59.0,,B. Fernando enters the game for K. Huerter,11,3
38,1,7:43.0,F. VanVleet misses 2-pt jump shot from 20 ft,,11,3
39,1,7:40.0,,Defensive rebound by C. Reddish,11,3
40,1,7:29.0,,B. Fernando makes 2-pt dunk from 1 ft (assist by T. Young),11,5
41,1,7:19.0,F. VanVleet misses 3-pt jump shot from 26 ft,,11,5
42,1,7:15.0,,Defensive rebound by C. Reddish,11,5
43,1,7:06.0,,Turnover by B. Fernando (lost ball; steal by K. Lowry),11,5
44,1,7:02.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by K. Lowry),,14,5
45,1,6:47.0,,B. Fernando makes 2-pt layup from 3 ft (assist by T. Young),14,7
46,1,6:38.0,Personal foul by C. Reddish (drawn by F. VanVleet),,14,7
47,1,6:38.0,N. Powell enters the game for F. VanVleet,,14,7
48,1,6:38.0,,J. Teague enters the game for C. Reddish,14,7
49,1,6:38.0,Turnover by K. Lowry (bad pass),,14,7
50,1,6:22.0,,Shooting foul by K. Lowry (drawn by T. Young),14,7
51,1,6:22.0,,T. Young makes free throw 1 of 2,14,8
52,1,6:22.0,,T. Young makes free throw 2 of 2,14,9
53,1,6:02.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,16,9
54,1,5:53.0,,T. Young makes 3-pt jump shot from 30 ft,16,12
55,1,5:39.0,Shooting foul by D. Hunter (drawn by M. Gasol),,16,12
56,1,5:39.0,M. Gasol makes free throw 1 of 2,,17,12
57,1,5:39.0,S. Ibaka enters the game for P. Siakam,,17,12
58,1,5:39.0,M. Gasol makes free throw 2 of 2,,18,12
59,1,5:32.0,,Personal foul by N. Powell (drawn by T. Young),18,12
60,1,5:32.0,P. Siakam enters the game for M. Gasol,,18,12
61,1,5:32.0,,D. Bembry enters the game for D. Hunter,18,12
62,1,5:24.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),18,14
63,1,5:17.0,Personal foul by D. Bembry (drawn by K. Lowry),,18,14
64,1,5:07.0,K. Lowry misses 3-pt jump shot from 26 ft,,18,14
65,1,5:03.0,,Defensive rebound by J. Collins,18,14
