,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,G. Temple makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,3,0
1,1,11:31.0,,Personal foul by G. Temple (drawn by J. Holiday),3,0
2,1,11:25.0,,D. Favors misses 2-pt jump shot from 19 ft,3,0
3,1,11:22.0,Defensive rebound by G. Temple,,3,0
4,1,11:13.0,S. Dinwiddie misses 2-pt layup from 1 ft,,3,0
5,1,11:11.0,,Defensive rebound by D. Favors,3,0
6,1,11:07.0,,K. Williams misses 3-pt jump shot from 23 ft,3,0
7,1,11:03.0,Defensive rebound by J. Allen,,3,0
8,1,10:56.0,G. Temple misses 3-pt jump shot from 25 ft,,3,0
9,1,10:53.0,,Defensive rebound by D. Favors,3,0
10,1,10:45.0,,D. Favors misses 2-pt layup from 1 ft,3,0
11,1,10:43.0,Defensive rebound by J. Harris,,3,0
12,1,10:31.0,J. Harris misses 3-pt jump shot from 26 ft,,3,0
13,1,10:27.0,Offensive rebound by J. Allen,,3,0
14,1,10:23.0,Shooting foul by B. Ingram (drawn by S. Dinwiddie),,3,0
15,1,10:23.0,S. Dinwiddie misses free throw 1 of 2,,3,0
16,1,10:23.0,Offensive rebound by Team,,3,0
17,1,10:23.0,S. Dinwiddie makes free throw 2 of 2,,4,0
18,1,10:10.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Favors),4,3
19,1,9:47.0,J. Harris misses 2-pt jump shot from 4 ft (block by D. Favors),,4,3
20,1,9:45.0,Offensive rebound by T. Prince,,4,3
21,1,9:44.0,Turnover by Team (shot clock),,4,3
22,1,9:29.0,,B. Ingram misses 2-pt jump shot from 16 ft,4,3
23,1,9:26.0,,Offensive rebound by D. Favors,4,3
24,1,9:20.0,,B. Ingram misses 2-pt layup from 3 ft (block by J. Allen),4,3
25,1,9:15.0,,Offensive rebound by B. Ingram,4,3
26,1,9:15.0,,B. Ingram misses 2-pt layup from 4 ft (block by J. Allen),4,3
27,1,9:14.0,,Offensive rebound by L. Ball,4,3
28,1,9:13.0,,Shooting foul by T. Prince (drawn by L. Ball),4,3
29,1,9:13.0,,L. Ball misses free throw 1 of 3,4,3
30,1,9:13.0,,Offensive rebound by Team,4,3
31,1,9:13.0,,L. Ball makes free throw 2 of 3,4,4
32,1,9:13.0,,L. Ball misses free throw 3 of 3,4,4
33,1,9:11.0,Defensive rebound by J. Allen,,4,4
34,1,9:00.0,S. Dinwiddie makes 2-pt layup from 3 ft,,6,4
35,1,8:52.0,,B. Ingram misses 2-pt layup from 3 ft (block by J. Allen),6,4
36,1,8:49.0,,Offensive rebound by B. Ingram,6,4
37,1,8:47.0,,K. Williams misses 3-pt jump shot from 23 ft,6,4
38,1,8:45.0,Defensive rebound by T. Prince,,6,4
39,1,8:27.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by J. Holiday),,6,4
40,1,8:27.0,,Defensive rebound by J. Holiday,6,4
41,1,8:11.0,,L. Ball misses 2-pt jump shot from 16 ft,6,4
42,1,8:07.0,Defensive rebound by J. Allen,,6,4
43,1,7:48.0,J. Harris makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,8,4
44,1,7:41.0,,Personal foul by J. Harris (drawn by D. Favors),8,4
45,1,7:41.0,,J. Hayes enters the game for D. Favors,8,4
46,1,7:25.0,,J. Holiday makes 2-pt layup from 2 ft (assist by L. Ball),8,6
47,1,7:06.0,T. Prince misses 3-pt jump shot from 23 ft,,8,6
48,1,7:04.0,,Defensive rebound by L. Ball,8,6
49,1,6:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,6
50,1,6:55.0,Defensive rebound by T. Prince,,8,6
51,1,6:48.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,8,6
52,1,6:45.0,,Defensive rebound by J. Hayes,8,6
53,1,6:34.0,,B. Ingram makes 2-pt layup from 2 ft (assist by J. Holiday),8,8
54,1,6:34.0,Brooklyn full timeout,,8,8
55,1,6:34.0,D. Nwaba enters the game for G. Temple,,8,8
56,1,6:17.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,10,8
57,1,6:04.0,,J. Holiday misses 2-pt layup from 2 ft,10,8
58,1,5:58.0,,Offensive rebound by J. Hayes,10,8
59,1,5:58.0,,J. Hayes makes 2-pt dunk at rim,10,10
60,1,5:36.0,T. Prince misses 3-pt jump shot from 25 ft,,10,10
61,1,5:34.0,,Defensive rebound by J. Hayes,10,10
62,1,5:24.0,,B. Ingram misses 2-pt layup from 2 ft (block by J. Allen),10,10
63,1,5:19.0,,Offensive rebound by K. Williams,10,10
64,1,5:14.0,,K. Williams misses 3-pt jump shot from 24 ft,10,10
65,1,5:08.0,Defensive rebound by J. Harris,,10,10
66,1,5:05.0,Turnover by J. Allen (off goaltending),,10,10
67,1,4:56.0,,J. Holiday misses 2-pt layup from 2 ft (block by J. Harris),10,10
68,1,4:53.0,Defensive rebound by D. Nwaba,,10,10
69,1,4:38.0,T. Prince misses 3-pt jump shot from 28 ft,,10,10
70,1,4:34.0,,Defensive rebound by B. Ingram,10,10
71,1,4:20.0,,Turnover by L. Ball (bad pass; steal by S. Dinwiddie),10,10
72,1,4:20.0,D. Jordan enters the game for J. Allen,,10,10
73,1,4:20.0,T. Luwawu-Cabarrot enters the game for J. Harris,,10,10
74,1,4:20.0,,J. Hart enters the game for J. Holiday,10,10
75,1,4:05.0,D. Nwaba makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,13,10
76,1,3:50.0,,J. Hayes makes 2-pt jump shot from 8 ft (assist by L. Ball),13,12
77,1,3:50.0,,Shooting foul by D. Jordan (drawn by J. Hayes),13,12
78,1,3:50.0,W. Chandler enters the game for T. Prince,,13,12
79,1,3:50.0,,N. Alexander-Walker enters the game for L. Ball,13,12
80,1,3:50.0,,J. Hayes makes free throw 1 of 1,13,13
81,1,3:42.0,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by D. Jordan),,16,13
82,1,3:18.0,,J. Hart misses 2-pt jump shot from 16 ft,16,13
83,1,3:12.0,Defensive rebound by D. Nwaba,,16,13
84,1,3:07.0,D. Nwaba misses 2-pt layup from 3 ft,,16,13
85,1,3:04.0,,Defensive rebound by J. Hart,16,13
86,1,2:55.0,,J. Hart makes 3-pt jump shot from 23 ft (assist by B. Ingram),16,16
87,1,2:42.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,16,16
88,1,2:40.0,,Defensive rebound by N. Alexander-Walker,16,16
89,1,2:33.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Hayes),16,16
90,1,2:33.0,,New Orleans full timeout,16,16
91,1,2:33.0,T. Pinson enters the game for S. Dinwiddie,,16,16
92,1,2:33.0,,N. Melli enters the game for K. Williams,16,16
93,1,2:33.0,,J. Hayes makes free throw 1 of 2,16,17
