,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:48.0,Shooting foul by B. Hield (drawn by G. Harris),,0,0
1,1,11:48.0,G. Harris makes free throw 1 of 2,,1,0
2,1,11:48.0,G. Harris makes free throw 2 of 2,,2,0
3,1,11:33.0,,R. Holmes makes 2-pt layup from 2 ft (assist by B. Hield),2,2
4,1,11:16.0,N. Jokić misses 2-pt jump shot from 11 ft,,2,2
5,1,11:14.0,,Defensive rebound by R. Holmes,2,2
6,1,11:01.0,,B. Hield misses 2-pt jump shot from 22 ft,2,2
7,1,10:58.0,Defensive rebound by G. Harris,,2,2
8,1,10:50.0,P. Millsap makes 2-pt jump shot from 12 ft,,4,2
9,1,10:32.0,,Personal foul by G. Harris (drawn by R. Holmes),4,2
10,1,10:22.0,,B. Hield makes 2-pt jump shot from 11 ft,4,4
11,1,10:04.0,Personal foul by R. Holmes (drawn by N. Jokić),,4,4
12,1,9:56.0,P. Millsap misses 2-pt layup from 3 ft (block by N. Bjelica),,4,4
13,1,9:53.0,,Defensive rebound by C. Joseph,4,4
14,1,9:50.0,,H. Barnes misses 3-pt jump shot from 24 ft,4,4
15,1,9:45.0,Defensive rebound by W. Barton,,4,4
16,1,9:43.0,W. Barton misses 2-pt jump shot from 3 ft,,4,4
17,1,9:41.0,Offensive rebound by W. Barton,,4,4
18,1,9:40.0,W. Barton misses 2-pt layup from 2 ft,,4,4
19,1,9:40.0,,Defensive rebound by B. Hield,4,4
20,1,9:31.0,,Turnover by N. Bjelica (lost ball; steal by P. Millsap),4,4
21,1,9:25.0,J. Murray misses 3-pt jump shot from 26 ft,,4,4
22,1,9:23.0,Offensive rebound by N. Jokić,,4,4
23,1,9:20.0,N. Jokić makes 2-pt layup from 1 ft,,6,4
24,1,9:06.0,,H. Barnes makes 2-pt layup from 2 ft (assist by N. Bjelica),6,6
25,1,8:46.0,J. Murray misses 3-pt jump shot from 25 ft,,6,6
26,1,8:46.0,,Defensive rebound by R. Holmes,6,6
27,1,8:26.0,,B. Hield misses 2-pt jump shot from 16 ft,6,6
28,1,8:21.0,Defensive rebound by J. Murray,,6,6
29,1,8:15.0,W. Barton misses 3-pt jump shot from 25 ft,,6,6
30,1,8:12.0,Offensive rebound by N. Jokić,,6,6
31,1,8:06.0,G. Harris misses 3-pt jump shot from 25 ft,,6,6
32,1,8:03.0,,Defensive rebound by B. Hield,6,6
33,1,7:51.0,,Turnover by H. Barnes (bad pass; steal by G. Harris),6,6
34,1,7:33.0,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Murray),,9,6
35,1,7:19.0,,Personal foul by J. Murray (drawn by C. Joseph),9,6
36,1,7:05.0,,Turnover by Team (shot clock),9,6
37,1,6:46.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),,11,6
38,1,6:36.0,,Turnover by C. Joseph (lost ball; steal by J. Murray),11,6
39,1,6:21.0,Turnover by N. Jokić (bad pass),,11,6
40,1,6:21.0,,Sacramento full timeout,11,6
41,1,6:21.0,,B. Bogdanović enters the game for H. Barnes,11,6
42,1,6:21.0,,D. Dedmon enters the game for R. Holmes,11,6
43,1,6:04.0,,C. Joseph misses 2-pt jump shot from 10 ft,11,6
44,1,6:02.0,Defensive rebound by N. Jokić,,11,6
45,1,5:40.0,Turnover by W. Barton (bad pass; steal by D. Dedmon),,11,6
46,1,5:35.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,11,6
47,1,5:31.0,,Offensive rebound by B. Bogdanović,11,6
48,1,5:28.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,11,6
49,1,5:25.0,Defensive rebound by W. Barton,,11,6
50,1,5:17.0,W. Barton makes 2-pt dunk from 2 ft,,13,6
51,1,5:03.0,,D. Dedmon misses 2-pt jump shot from 4 ft,13,6
52,1,5:00.0,Defensive rebound by W. Barton,,13,6
53,1,4:50.0,Personal foul by N. Bjelica (drawn by P. Millsap),,13,6
54,1,4:42.0,G. Harris makes 2-pt dunk from 2 ft (assist by N. Jokić),,15,6
55,1,4:25.0,,N. Bjelica misses 2-pt jump shot from 7 ft,15,6
56,1,4:21.0,Defensive rebound by J. Murray,,15,6
57,1,4:16.0,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),,17,6
58,1,4:16.0,Shooting foul by B. Hield (drawn by G. Harris),,17,6
59,1,4:16.0,J. Grant enters the game for P. Millsap,,17,6
60,1,4:16.0,,H. Barnes enters the game for B. Hield,17,6
61,1,4:16.0,G. Harris misses free throw 1 of 1,,17,6
62,1,4:13.0,,Defensive rebound by N. Bjelica,17,6
63,1,4:04.0,,C. Joseph makes 2-pt layup from 2 ft (assist by B. Bogdanović),17,8
64,1,3:51.0,G. Harris makes 2-pt layup from 2 ft,,19,8
65,1,3:51.0,Shooting foul by D. Dedmon (drawn by G. Harris),,19,8
66,1,3:51.0,J. Hernangómez enters the game for W. Barton,,19,8
67,1,3:51.0,G. Harris makes free throw 1 of 1,,20,8
68,1,3:32.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,20,8
69,1,3:28.0,Defensive rebound by J. Hernangómez,,20,8
70,1,3:20.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,23,8
71,1,3:19.0,,Sacramento full timeout,23,8
72,1,3:19.0,,J. James enters the game for N. Bjelica,23,8
73,1,3:09.0,,Def 3 sec tech foul by Team,23,8
74,1,3:09.0,,C. Joseph makes technical free throw,23,9
75,1,3:03.0,,B. Bogdanović makes 2-pt jump shot from 21 ft,23,11
76,1,2:43.0,G. Harris makes 3-pt jump shot from 26 ft,,26,11
77,1,2:31.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,26,13
78,1,2:13.0,Shooting foul by D. Dedmon (drawn by J. Hernangómez),,26,13
79,1,2:13.0,J. Hernangómez makes free throw 1 of 2,,27,13
80,1,2:13.0,M. Morris enters the game for N. Jokić,,27,13
81,1,2:13.0,M. Plumlee enters the game for J. Murray,,27,13
82,1,2:13.0,,R. Holmes enters the game for D. Dedmon,27,13
83,1,2:13.0,J. Hernangómez misses free throw 2 of 2,,27,13
84,1,2:10.0,,Defensive rebound by J. James,27,13
85,1,1:56.0,,C. Joseph misses 2-pt jump shot from 7 ft,27,13
86,1,1:54.0,Defensive rebound by M. Plumlee,,27,13
87,1,1:41.0,J. Grant misses 2-pt jump shot from 10 ft,,27,13
88,1,1:39.0,,Defensive rebound by Team,27,13
89,1,1:23.0,,Shooting foul by G. Harris (drawn by H. Barnes),27,13
90,1,1:23.0,,H. Barnes makes free throw 1 of 2,27,14
91,1,1:23.0,,H. Barnes makes free throw 2 of 2,27,15
92,1,1:14.0,G. Harris misses 2-pt layup from 4 ft,,27,15
93,1,1:13.0,Offensive rebound by G. Harris,,27,15
94,1,1:10.0,M. Morris misses 3-pt jump shot from 26 ft,,27,15
95,1,1:05.0,,Defensive rebound by C. Joseph,27,15
96,1,1:04.0,,Turnover by C. Joseph (lost ball; steal by M. Plumlee),27,15
97,1,1:00.0,Turnover by M. Morris (bad pass; steal by C. Joseph),,27,15
98,1,0:52.0,,Shooting foul by J. Grant (drawn by H. Barnes),27,15
99,1,0:52.0,,H. Barnes misses free throw 1 of 2,27,15
100,1,0:52.0,,Offensive rebound by Team,27,15
101,1,0:52.0,M. Beasley enters the game for G. Harris,,27,15
102,1,0:52.0,,H. Barnes makes free throw 2 of 2,27,16
103,1,0:39.0,J. Grant misses 2-pt jump shot from 20 ft,,27,16
104,1,0:30.0,,Defensive rebound by J. James,27,16
105,1,0:29.0,,Shooting foul by J. Grant (drawn by R. Holmes),27,16
106,1,0:29.0,,R. Holmes makes free throw 1 of 2,27,17
107,1,0:29.0,,R. Holmes misses free throw 2 of 2,27,17
108,1,0:27.0,,Offensive rebound by J. James,27,17
109,1,0:26.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,27,17
110,1,0:25.0,Defensive rebound by J. Hernangómez,,27,17
111,1,0:01.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,27,17
112,1,0:01.0,Offensive rebound by Team,,27,17
113,2,11:44.0,,J. James makes 2-pt jump shot from 13 ft (assist by R. Holmes),27,19
114,2,11:27.0,J. Grant misses 3-pt jump shot from 26 ft,,27,19
115,2,11:23.0,,Defensive rebound by J. James,27,19
116,2,11:10.0,,H. Barnes misses 2-pt jump shot from 5 ft (block by J. Hernangómez),27,19
117,2,11:07.0,Defensive rebound by M. Plumlee,,27,19
118,2,11:05.0,Turnover by M. Plumlee (bad pass; steal by Y. Ferrell),,27,19
119,2,11:00.0,,H. Barnes misses 2-pt layup from 2 ft,27,19
120,2,10:59.0,,Offensive rebound by H. Barnes,27,19
121,2,10:59.0,,H. Barnes makes 2-pt layup from 2 ft,27,21
122,2,10:59.0,,Shooting foul by M. Plumlee (drawn by H. Barnes),27,21
123,2,10:59.0,,H. Barnes makes free throw 1 of 1,27,22
124,2,10:41.0,M. Beasley misses 2-pt jump shot from 23 ft,,27,22
