,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:44.0,F. VanVleet misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Birch,0,0
2,1,11:26.0,,M. Fultz makes 3-pt jump shot from 24 ft (assist by E. Fournier),0,3
3,1,11:09.0,N. Powell misses 3-pt jump shot from 26 ft,,0,3
4,1,11:06.0,,Defensive rebound by A. Gordon,0,3
5,1,10:58.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),0,6
6,1,10:31.0,F. VanVleet misses 2-pt layup from 5 ft,,0,6
7,1,10:27.0,,Defensive rebound by K. Birch,0,6
8,1,10:16.0,,J. Isaac misses 2-pt jump shot from 10 ft,0,6
9,1,10:14.0,,Offensive rebound by K. Birch,0,6
10,1,10:11.0,,M. Fultz misses 2-pt layup from 1 ft (block by N. Powell),0,6
11,1,10:05.0,Defensive rebound by M. Gasol,,0,6
12,1,10:00.0,F. VanVleet misses 3-pt jump shot from 26 ft,,0,6
13,1,9:56.0,,Defensive rebound by A. Gordon,0,6
14,1,9:48.0,,A. Gordon misses 2-pt jump shot from 10 ft,0,6
15,1,9:45.0,Defensive rebound by P. Siakam,,0,6
16,1,9:34.0,M. Gasol misses 3-pt jump shot from 26 ft,,0,6
17,1,9:30.0,,Defensive rebound by E. Fournier,0,6
18,1,9:18.0,,K. Birch misses 2-pt hook shot from 3 ft,0,6
19,1,9:15.0,Defensive rebound by P. Siakam,,0,6
20,1,9:09.0,P. Siakam misses 2-pt layup from 3 ft (block by J. Isaac),,0,6
21,1,9:04.0,Offensive rebound by P. Siakam,,0,6
22,1,9:03.0,N. Powell makes 2-pt jump shot from 5 ft (assist by P. Siakam),,2,6
23,1,8:48.0,,M. Fultz makes 2-pt jump shot from 10 ft,2,8
24,1,8:36.0,Personal foul by J. Isaac (drawn by P. Siakam),,2,8
25,1,8:25.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by F. VanVleet),,4,8
26,1,8:14.0,,Turnover by M. Fultz (bad pass; steal by F. VanVleet),4,8
27,1,8:10.0,F. VanVleet makes 2-pt layup from 1 ft,,6,8
28,1,7:52.0,,K. Birch makes 2-pt dunk at rim (assist by E. Fournier),6,10
29,1,7:26.0,F. VanVleet misses 2-pt jump shot from 8 ft (block by K. Birch),,6,10
30,1,7:22.0,Offensive rebound by P. Siakam,,6,10
31,1,7:19.0,P. Siakam makes 3-pt jump shot from 25 ft,,9,10
32,1,7:08.0,,E. Fournier makes 2-pt jump shot from 15 ft (assist by M. Fultz),9,12
33,1,6:56.0,P. Siakam misses 3-pt jump shot from 26 ft,,9,12
34,1,6:56.0,,Defensive rebound by J. Isaac,9,12
35,1,6:36.0,,E. Fournier misses 3-pt jump shot from 26 ft,9,12
36,1,6:34.0,Defensive rebound by M. Gasol,,9,12
37,1,6:23.0,M. Gasol misses 2-pt hook shot from 8 ft,,9,12
38,1,6:20.0,,Defensive rebound by E. Fournier,9,12
39,1,6:15.0,,E. Fournier misses 3-pt jump shot from 26 ft,9,12
40,1,6:12.0,Defensive rebound by O. Anunoby,,9,12
41,1,5:56.0,P. Siakam misses 2-pt jump shot from 5 ft,,9,12
42,1,5:53.0,,Defensive rebound by K. Birch,9,12
43,1,5:45.0,,Turnover by M. Fultz (lost ball; steal by F. VanVleet),9,12
44,1,5:40.0,P. Siakam misses 3-pt jump shot from 26 ft,,9,12
45,1,5:36.0,,Defensive rebound by K. Birch,9,12
46,1,5:17.0,,M. Fultz misses 3-pt jump shot from 23 ft,9,12
47,1,5:14.0,Defensive rebound by P. Siakam,,9,12
48,1,5:08.0,F. VanVleet misses 2-pt layup from 3 ft (block by K. Birch),,9,12
49,1,5:06.0,,Defensive rebound by A. Gordon,9,12
50,1,5:06.0,,Shooting foul by M. Gasol (drawn by A. Gordon),9,12
51,1,5:06.0,,Orlando full timeout,9,12
52,1,5:06.0,,D. Augustin enters the game for E. Fournier,9,12
53,1,5:06.0,,T. Ross enters the game for M. Fultz,9,12
54,1,5:06.0,,A. Gordon makes free throw 1 of 2,9,13
55,1,5:06.0,,A. Gordon makes free throw 2 of 2,9,14
56,1,4:52.0,N. Powell misses 3-pt jump shot from 27 ft,,9,14
57,1,4:50.0,,Defensive rebound by A. Gordon,9,14
58,1,4:42.0,,Def 3 sec tech foul by Team,9,14
59,1,4:42.0,,D. Augustin makes technical free throw,9,15
60,1,4:42.0,T. Davis enters the game for O. Anunoby,,9,15
