,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:45.0,T. Harris misses 2-pt jump shot from 17 ft,,0,0
1,1,11:41.0,,Defensive rebound by B. Beal,0,0
2,1,11:27.0,,I. Bonga misses 3-pt jump shot from 27 ft,0,0
3,1,11:22.0,Defensive rebound by A. Horford,,0,0
4,1,11:19.0,Offensive foul by J. Embiid (drawn by I. Bonga),,0,0
5,1,11:19.0,Turnover by J. Embiid (offensive foul),,0,0
6,1,10:54.0,,Turnover by Team (shot clock),0,0
7,1,10:35.0,T. Harris misses 2-pt jump shot from 7 ft,,0,0
8,1,10:34.0,,Defensive rebound by Team,0,0
9,1,10:28.0,,I. Smith misses 2-pt jump shot from 7 ft,0,0
10,1,10:25.0,Defensive rebound by A. Horford,,0,0
11,1,10:18.0,A. Horford misses 2-pt jump shot from 5 ft,,0,0
12,1,10:15.0,,Defensive rebound by M. Wagner,0,0
13,1,10:07.0,,Shooting foul by A. Horford (drawn by M. Wagner),0,0
14,1,10:07.0,,M. Wagner makes free throw 1 of 2,0,1
15,1,10:07.0,,M. Wagner misses free throw 2 of 2,0,1
16,1,10:04.0,Defensive rebound by B. Simmons,,0,1
17,1,9:55.0,J. Embiid makes 2-pt jump shot from 14 ft (assist by A. Horford),,2,1
18,1,9:44.0,,R. Hachimura misses 3-pt jump shot from 26 ft,2,1
19,1,9:41.0,Defensive rebound by A. Horford,,2,1
20,1,9:31.0,A. Horford misses 3-pt jump shot from 25 ft,,2,1
21,1,9:29.0,Offensive rebound by J. Embiid,,2,1
22,1,9:27.0,J. Embiid makes 2-pt layup from 2 ft,,4,1
23,1,9:15.0,,Turnover by B. Beal (lost ball; steal by B. Simmons),4,1
24,1,9:11.0,B. Simmons makes 2-pt layup at rim,,6,1
25,1,8:59.0,,R. Hachimura misses 2-pt layup from 7 ft,6,1
26,1,8:56.0,Defensive rebound by T. Harris,,6,1
27,1,8:51.0,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),,8,1
28,1,8:37.0,,B. Beal misses 2-pt jump shot from 20 ft,8,1
29,1,8:34.0,Defensive rebound by J. Embiid,,8,1
30,1,8:29.0,Shooting foul by M. Wagner (drawn by B. Simmons),,8,1
31,1,8:29.0,B. Simmons misses free throw 1 of 2,,8,1
32,1,8:29.0,Offensive rebound by Team,,8,1
33,1,8:29.0,B. Simmons misses free throw 2 of 2,,8,1
34,1,8:27.0,,Defensive rebound by I. Bonga,8,1
35,1,8:17.0,,Turnover by B. Beal (bad pass; steal by B. Simmons),8,1
36,1,8:09.0,Turnover by A. Horford (bad pass; steal by I. Bonga),,8,1
37,1,8:05.0,,B. Beal makes 2-pt dunk from 1 ft (assist by I. Bonga),8,3
38,1,7:43.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),,11,3
39,1,7:33.0,,Shooting foul by B. Simmons (drawn by B. Beal),11,3
40,1,7:33.0,,B. Beal misses free throw 1 of 3,11,3
41,1,7:33.0,,Offensive rebound by Team,11,3
42,1,7:33.0,,B. Beal makes free throw 2 of 3,11,4
43,1,7:33.0,,B. Beal makes free throw 3 of 3,11,5
44,1,7:19.0,Shooting foul by I. Bonga (drawn by J. Embiid),,11,5
45,1,7:19.0,J. Embiid misses free throw 1 of 2,,11,5
46,1,7:19.0,Offensive rebound by Team,,11,5
47,1,7:19.0,J. Embiid makes free throw 2 of 2,,12,5
48,1,7:03.0,,R. Hachimura makes 2-pt layup from 2 ft (assist by I. Smith),12,7
49,1,6:48.0,J. Embiid makes 2-pt layup from 3 ft (assist by T. Harris),,14,7
50,1,6:29.0,,Washington full timeout,14,7
51,1,6:29.0,J. Ennis enters the game for J. Embiid,,14,7
52,1,6:29.0,M. Scott enters the game for F. Korkmaz,,14,7
53,1,6:26.0,,Turnover by I. Bonga (bad pass),14,7
54,1,6:09.0,Turnover by T. Harris (bad pass; steal by R. Hachimura),,14,7
55,1,6:05.0,,B. Beal misses 3-pt jump shot from 26 ft,14,7
56,1,6:02.0,Defensive rebound by A. Horford,,14,7
57,1,5:56.0,T. Harris makes 2-pt jump shot from 20 ft,,16,7
58,1,5:46.0,,M. Wagner misses 3-pt jump shot from 27 ft,16,7
59,1,5:43.0,Defensive rebound by B. Simmons,,16,7
60,1,5:38.0,T. Harris misses 3-pt jump shot from 29 ft,,16,7
61,1,5:34.0,,Defensive rebound by M. Wagner,16,7
62,1,5:28.0,,R. Hachimura makes 2-pt layup from 2 ft (assist by I. Smith),16,9
63,1,5:13.0,A. Horford makes 3-pt jump shot from 25 ft (assist by B. Simmons),,19,9
64,1,5:13.0,,Washington full timeout,19,9
65,1,5:13.0,,D. Bertāns enters the game for I. Bonga,19,9
66,1,5:13.0,,T. Brown enters the game for R. Hachimura,19,9
67,1,5:13.0,,I. Mahinmi enters the game for M. Wagner,19,9
68,1,5:03.0,,Offensive foul by I. Mahinmi (drawn by M. Scott),19,9
69,1,5:03.0,,Turnover by I. Mahinmi (offensive foul),19,9
70,1,4:47.0,Turnover by B. Simmons (lost ball; steal by T. Brown),,19,9
