,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,Shooting foul by P. Beverley (drawn by B. Forbes),,0,0
1,1,11:47.0,B. Forbes makes free throw 1 of 2,,1,0
2,1,11:47.0,B. Forbes makes free throw 2 of 2,,2,0
3,1,11:29.0,,P. George makes 3-pt jump shot from 24 ft (assist by P. Beverley),2,3
4,1,11:13.0,D. DeRozan misses 2-pt jump shot from 21 ft,,2,3
5,1,11:11.0,,Defensive rebound by P. George,2,3
6,1,11:04.0,,Turnover by P. George (bad pass; steal by D. DeRozan),2,3
7,1,11:00.0,D. DeRozan makes 2-pt layup from 2 ft,,4,3
8,1,10:51.0,,Turnover by P. Beverley (bad pass),4,3
9,1,10:37.0,L. Aldridge misses 2-pt jump shot from 13 ft,,4,3
10,1,10:33.0,,Defensive rebound by M. Harkless,4,3
11,1,10:27.0,,M. Harkless misses 2-pt layup from 3 ft (block by L. Aldridge),4,3
12,1,10:27.0,,Offensive rebound by M. Harkless,4,3
13,1,10:27.0,,Personal foul by T. Lyles (drawn by I. Zubac),4,3
14,1,10:14.0,,P. Beverley misses 3-pt jump shot from 28 ft,4,3
15,1,10:10.0,Defensive rebound by D. Murray,,4,3
16,1,10:01.0,D. DeRozan misses 2-pt jump shot from 3 ft,,4,3
17,1,9:59.0,,Defensive rebound by I. Zubac,4,3
18,1,9:55.0,,Personal foul by B. Forbes (drawn by M. Harkless),4,3
19,1,9:52.0,,P. George misses 2-pt jump shot from 15 ft,4,3
20,1,9:50.0,Defensive rebound by T. Lyles,,4,3
21,1,9:45.0,D. Murray misses 2-pt jump shot from 11 ft,,4,3
22,1,9:41.0,,Defensive rebound by P. Beverley,4,3
23,1,9:32.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by K. Leonard),4,6
24,1,9:14.0,L. Aldridge misses 3-pt jump shot from 27 ft,,4,6
25,1,9:12.0,,Defensive rebound by K. Leonard,4,6
