,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:37.0,D. Fox makes 3-pt jump shot from 26 ft (assist by B. Hield),,3,0
1,1,11:15.0,,Turnover by S. Mykhailiuk (bad pass; steal by B. Hield),3,0
2,1,11:12.0,H. Barnes misses 2-pt layup from 3 ft,,3,0
3,1,11:09.0,Offensive rebound by N. Bjelica,,3,0
4,1,11:09.0,N. Bjelica makes 2-pt layup from 1 ft,,5,0
5,1,10:54.0,,Turnover by S. Mykhailiuk (bad pass; steal by N. Bjelica),5,0
6,1,10:49.0,Turnover by N. Bjelica (lost ball; steal by S. Mykhailiuk),,5,0
7,1,10:46.0,,T. Maker makes 2-pt hook shot from 6 ft,5,2
8,1,10:46.0,,Shooting foul by D. Dedmon (drawn by T. Maker),5,2
9,1,10:46.0,,T. Maker makes free throw 1 of 1,5,3
10,1,10:31.0,H. Barnes misses 2-pt jump shot from 8 ft,,5,3
11,1,10:29.0,,Defensive rebound by D. Rose,5,3
12,1,10:21.0,,D. Rose makes 2-pt layup from 3 ft,5,5
13,1,9:54.0,B. Hield misses 2-pt jump shot from 23 ft,,5,5
14,1,9:52.0,,Defensive rebound by M. Morris,5,5
15,1,9:39.0,,M. Morris misses 2-pt jump shot from 8 ft,5,5
16,1,9:37.0,Defensive rebound by N. Bjelica,,5,5
17,1,9:28.0,D. Fox misses 2-pt jump shot from 10 ft,,5,5
18,1,9:26.0,,Defensive rebound by D. Rose,5,5
19,1,9:17.0,,D. Rose misses 2-pt jump shot from 14 ft,5,5
20,1,9:15.0,Defensive rebound by B. Hield,,5,5
21,1,9:11.0,B. Hield makes 2-pt layup from 2 ft,,7,5
22,1,8:45.0,,Turnover by T. Maker (lost ball; steal by D. Fox),7,5
23,1,8:40.0,B. Hield misses 2-pt layup from 3 ft (block by S. Mykhailiuk),,7,5
24,1,8:37.0,,Defensive rebound by S. Mykhailiuk,7,5
25,1,8:34.0,,T. Snell misses 3-pt jump shot from 27 ft,7,5
26,1,8:32.0,,Offensive rebound by T. Maker,7,5
27,1,8:29.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,7,5
28,1,8:27.0,Defensive rebound by D. Dedmon,,7,5
29,1,8:20.0,D. Fox misses 2-pt jump shot from 9 ft,,7,5
30,1,8:18.0,,Defensive rebound by T. Maker,7,5
31,1,8:16.0,,Turnover by T. Maker (lost ball; steal by D. Fox),7,5
32,1,8:14.0,Shooting foul by T. Maker (drawn by D. Fox),,7,5
33,1,8:14.0,D. Fox misses free throw 1 of 2,,7,5
34,1,8:14.0,Offensive rebound by Team,,7,5
35,1,8:14.0,D. Fox misses free throw 2 of 2,,7,5
36,1,8:12.0,,Defensive rebound by M. Morris,7,5
37,1,8:02.0,,Shooting foul by D. Fox (drawn by D. Rose),7,5
38,1,8:02.0,,D. Rose makes free throw 1 of 2,7,6
39,1,8:02.0,,D. Rose makes free throw 2 of 2,7,7
40,1,7:54.0,Personal foul by D. Rose (drawn by H. Barnes),,7,7
41,1,7:45.0,D. Dedmon misses 2-pt jump shot from 14 ft,,7,7
42,1,7:42.0,,Defensive rebound by M. Morris,7,7
43,1,7:27.0,,Turnover by T. Maker (bad pass),7,7
44,1,7:07.0,B. Hield makes 2-pt jump shot from 20 ft (assist by N. Bjelica),,9,7
45,1,6:56.0,,Turnover by S. Mykhailiuk (lost ball; steal by D. Fox),9,7
46,1,6:50.0,D. Fox misses 2-pt jump shot from 6 ft,,9,7
47,1,6:48.0,,Defensive rebound by T. Maker,9,7
48,1,6:42.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by D. Rose),9,10
49,1,6:29.0,B. Hield misses 3-pt jump shot from 26 ft,,9,10
50,1,6:26.0,,Defensive rebound by M. Morris,9,10
51,1,6:20.0,,D. Rose misses 2-pt layup from 4 ft,9,10
52,1,6:18.0,Defensive rebound by N. Bjelica,,9,10
53,1,6:14.0,D. Fox misses 2-pt layup from 5 ft (block by T. Maker),,9,10
