,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:48.0,N. Powell makes 2-pt layup from 1 ft (assist by M. Gasol),,2,0
1,1,11:23.0,,J. Parker misses 3-pt jump shot from 25 ft,2,0
2,1,11:20.0,Defensive rebound by M. Gasol,,2,0
3,1,11:12.0,O. Anunoby misses 2-pt jump shot from 7 ft (block by D. Jones),,2,0
4,1,11:08.0,,Defensive rebound by T. Young,2,0
5,1,11:07.0,,Turnover by T. Young (bad pass; steal by M. Gasol),2,0
6,1,11:00.0,N. Powell makes 3-pt jump shot from 25 ft (assist by P. Siakam),,5,0
7,1,10:37.0,,D. Jones misses 2-pt layup from 8 ft,5,0
8,1,10:35.0,,Offensive rebound by D. Bembry,5,0
9,1,10:35.0,,Shooting foul by N. Powell (drawn by D. Bembry),5,0
10,1,10:35.0,,D. Bembry makes free throw 1 of 2,5,1
11,1,10:35.0,,D. Bembry misses free throw 2 of 2,5,1
12,1,10:29.0,Defensive rebound by O. Anunoby,,5,1
13,1,10:19.0,N. Powell misses 3-pt jump shot from 26 ft,,5,1
14,1,10:13.0,,Defensive rebound by J. Parker,5,1
15,1,9:54.0,,J. Parker misses 2-pt layup from 5 ft,5,1
16,1,9:52.0,Defensive rebound by M. Gasol,,5,1
17,1,9:44.0,O. Anunoby misses 2-pt layup from 2 ft,,5,1
18,1,9:41.0,,Defensive rebound by J. Parker,5,1
19,1,9:38.0,,D. Hunter makes 2-pt jump shot from 14 ft (assist by J. Parker),5,3
20,1,9:17.0,M. Gasol misses 2-pt jump shot from 11 ft,,5,3
21,1,9:15.0,,Defensive rebound by D. Bembry,5,3
22,1,9:08.0,,D. Jones makes 2-pt layup from 4 ft (assist by T. Young),5,5
23,1,8:42.0,F. VanVleet misses 3-pt jump shot from 26 ft,,5,5
24,1,8:41.0,Offensive rebound by Team,,5,5
25,1,8:41.0,Turnover by Team (shot clock),,5,5
26,1,8:22.0,,T. Young makes 3-pt jump shot from 26 ft (assist by D. Bembry),5,8
27,1,8:09.0,Turnover by N. Powell (step out of bounds),,5,8
28,1,7:49.0,,J. Parker misses 2-pt layup from 2 ft,5,8
29,1,7:49.0,Defensive rebound by Team,,5,8
30,1,7:49.0,,Loose ball foul by J. Parker (drawn by M. Gasol),5,8
31,1,7:25.0,O. Anunoby misses 3-pt jump shot from 23 ft,,5,8
32,1,7:23.0,,Defensive rebound by J. Parker,5,8
33,1,7:18.0,,D. Hunter makes 2-pt layup from 1 ft (assist by J. Parker),5,10
34,1,7:12.0,F. VanVleet makes 2-pt layup from 2 ft,,7,10
35,1,7:12.0,Shooting foul by J. Parker (drawn by F. VanVleet),,7,10
36,1,7:12.0,F. VanVleet makes free throw 1 of 1,,8,10
37,1,7:02.0,,Personal foul by M. Gasol (drawn by T. Young),8,10
38,1,7:02.0,,V. Carter enters the game for D. Jones,8,10
39,1,7:02.0,,A. Len enters the game for J. Parker,8,10
40,1,6:48.0,,V. Carter misses 2-pt layup from 1 ft,8,10
41,1,6:44.0,,Offensive rebound by A. Len,8,10
42,1,6:44.0,,A. Len misses 2-pt layup from 1 ft,8,10
43,1,6:44.0,Defensive rebound by M. Gasol,,8,10
44,1,6:40.0,M. Gasol misses 3-pt jump shot from 25 ft,,8,10
45,1,6:38.0,,Defensive rebound by T. Young,8,10
46,1,6:22.0,,D. Hunter misses 2-pt jump shot from 12 ft,8,10
47,1,6:18.0,Defensive rebound by M. Gasol,,8,10
48,1,6:09.0,N. Powell misses 3-pt jump shot from 25 ft,,8,10
49,1,6:07.0,,Defensive rebound by D. Bembry,8,10
50,1,5:56.0,,Turnover by A. Len (bad pass),8,10
51,1,5:56.0,,Atlanta full timeout,8,10
52,1,5:56.0,,A. Crabbe enters the game for D. Hunter,8,10
53,1,5:36.0,F. VanVleet makes 3-pt jump shot from 26 ft,,11,10
54,1,5:15.0,,T. Young makes 2-pt layup at rim (assist by A. Len),11,12
55,1,4:56.0,N. Powell makes 2-pt dunk from 1 ft (assist by M. Gasol),,13,12
56,1,4:44.0,,A. Len makes 2-pt jump shot from 12 ft (assist by T. Young),13,14
57,1,4:20.0,M. Gasol misses 2-pt jump shot from 13 ft,,13,14
58,1,4:18.0,,Defensive rebound by T. Young,13,14
59,1,4:11.0,,T. Young makes 2-pt layup from 2 ft,13,16
60,1,4:00.0,P. Siakam makes 3-pt jump shot from 27 ft,,16,16
61,1,3:43.0,,Turnover by A. Crabbe (traveling),16,16
62,1,3:43.0,C. Boucher enters the game for O. Anunoby,,16,16
