,QUARTER,TIME_REMAINING,DENVER_ACTION,BROOKLYN_ACTION,DENVER_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,Shooting foul by N. Jokić (drawn by J. Allen),0,0
1,1,11:41.0,,J. Allen makes free throw 1 of 2,0,1
2,1,11:41.0,,J. Allen misses free throw 2 of 2,0,1
3,1,11:38.0,Defensive rebound by P. Millsap,,0,1
4,1,11:25.0,N. Jokić misses 2-pt jump shot from 5 ft,,0,1
5,1,11:21.0,,Defensive rebound by J. Harris,0,1
6,1,11:12.0,,T. Prince misses 3-pt jump shot from 23 ft,0,1
7,1,11:08.0,Defensive rebound by N. Jokić,,0,1
8,1,10:59.0,P. Millsap misses 2-pt jump shot from 6 ft,,0,1
9,1,10:57.0,,Defensive rebound by T. Prince,0,1
10,1,10:47.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Harris),0,4
11,1,10:23.0,N. Jokić misses 2-pt jump shot from 15 ft,,0,4
12,1,10:20.0,,Defensive rebound by S. Dinwiddie,0,4
13,1,10:12.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,0,4
14,1,10:09.0,Defensive rebound by N. Jokić,,0,4
15,1,10:00.0,G. Harris misses 3-pt jump shot from 25 ft,,0,4
16,1,9:58.0,,Defensive rebound by G. Temple,0,4
17,1,9:47.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),0,7
18,1,9:28.0,N. Jokić makes 2-pt jump shot from 5 ft,,2,7
19,1,9:16.0,,T. Prince misses 3-pt jump shot from 26 ft,2,7
20,1,9:16.0,Defensive rebound by N. Jokić,,2,7
21,1,9:05.0,P. Millsap misses 2-pt layup from 4 ft,,2,7
22,1,9:04.0,,Defensive rebound by Team,2,7
23,1,8:48.0,,G. Temple makes 2-pt layup from 2 ft (assist by J. Harris),2,9
24,1,8:33.0,J. Murray misses 2-pt jump shot from 16 ft,,2,9
25,1,8:29.0,,Defensive rebound by S. Dinwiddie,2,9
26,1,8:24.0,,Turnover by S. Dinwiddie (bad pass; steal by W. Barton),2,9
27,1,8:19.0,G. Harris makes 3-pt jump shot from 22 ft (assist by W. Barton),,5,9
28,1,8:02.0,,T. Prince misses 2-pt layup from 7 ft,5,9
29,1,8:01.0,Defensive rebound by Team,,5,9
30,1,7:48.0,Turnover by J. Murray (bad pass; steal by J. Allen),,5,9
31,1,7:32.0,,S. Dinwiddie makes 2-pt layup from 3 ft (assist by G. Temple),5,11
32,1,7:32.0,Denver full timeout,,5,11
33,1,7:23.0,Personal foul by J. Harris (drawn by G. Harris),,5,11
34,1,7:14.0,P. Millsap misses 3-pt jump shot from 26 ft,,5,11
35,1,7:11.0,Offensive rebound by N. Jokić,,5,11
36,1,7:01.0,Turnover by N. Jokić (bad pass; steal by G. Temple),,5,11
37,1,6:53.0,,G. Temple makes 2-pt layup from 2 ft (assist by T. Prince),5,13
38,1,6:35.0,N. Jokić makes 2-pt jump shot from 12 ft (assist by J. Murray),,7,13
39,1,6:23.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),7,15
40,1,6:04.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,10,15
41,1,5:46.0,,T. Prince misses 2-pt layup from 1 ft,10,15
42,1,5:44.0,Defensive rebound by N. Jokić,,10,15
43,1,5:40.0,J. Murray misses 3-pt jump shot from 26 ft,,10,15
44,1,5:38.0,,Defensive rebound by S. Dinwiddie,10,15
45,1,5:27.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),10,18
46,1,5:09.0,J. Murray makes 2-pt jump shot from 4 ft,,12,18
47,1,4:58.0,,J. Harris misses 3-pt jump shot from 26 ft,12,18
48,1,4:58.0,Defensive rebound by P. Millsap,,12,18
49,1,4:36.0,N. Jokić misses 2-pt jump shot from 13 ft,,12,18
50,1,4:33.0,,Defensive rebound by J. Allen,12,18
51,1,4:33.0,,D. Musa enters the game for J. Harris,12,18
52,1,4:33.0,,I. Shumpert enters the game for G. Temple,12,18
53,1,4:11.0,,Turnover by S. Dinwiddie (lost ball; steal by W. Barton),12,18
54,1,4:01.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,15,18
55,1,4:00.0,,Brooklyn full timeout,15,18
56,1,4:00.0,J. Grant enters the game for W. Barton,,15,18
57,1,4:00.0,J. Hernangómez enters the game for P. Millsap,,15,18
58,1,4:00.0,,D. Nwaba enters the game for T. Prince,15,18
59,1,3:42.0,,Shooting foul by J. Hernangómez (drawn by S. Dinwiddie),15,18
60,1,3:42.0,,S. Dinwiddie makes free throw 1 of 2,15,19
61,1,3:42.0,,D. Jordan enters the game for J. Allen,15,19
62,1,3:42.0,,S. Dinwiddie misses free throw 2 of 2,15,19
63,1,3:40.0,Defensive rebound by N. Jokić,,15,19
64,1,3:24.0,Offensive foul by J. Grant (drawn by D. Nwaba),,15,19
65,1,3:24.0,Turnover by J. Grant (offensive foul),,15,19
66,1,3:24.0,,T. Pinson enters the game for S. Dinwiddie,15,19
67,1,3:10.0,,D. Musa makes 2-pt layup from 2 ft (assist by D. Jordan),15,21
68,1,3:03.0,G. Harris misses 3-pt jump shot from 27 ft,,15,21
69,1,3:03.0,,Defensive rebound by D. Jordan,15,21
70,1,2:52.0,,Turnover by T. Pinson (step out of bounds),15,21
71,1,2:52.0,M. Beasley enters the game for G. Harris,,15,21
72,1,2:52.0,M. Plumlee enters the game for N. Jokić,,15,21
73,1,2:37.0,J. Murray makes 2-pt jump shot from 11 ft,,17,21
74,1,2:11.0,,D. Nwaba misses 2-pt layup from 5 ft,17,21
75,1,2:10.0,,Offensive rebound by D. Jordan,17,21
76,1,2:10.0,,D. Jordan makes 2-pt layup at rim,17,23
77,1,1:55.0,J. Murray makes 2-pt jump shot from 15 ft,,19,23
78,1,1:34.0,,D. Musa makes 2-pt jump shot from 11 ft,19,25
79,1,1:11.0,Turnover by J. Murray (lost ball; steal by T. Pinson),,19,25
80,1,1:11.0,,Personal take foul by J. Murray (drawn by T. Pinson),19,25
81,1,1:11.0,M. Morris enters the game for J. Murray,,19,25
82,1,0:54.0,,D. Musa misses 3-pt jump shot from 26 ft,19,25
83,1,0:52.0,Defensive rebound by M. Beasley,,19,25
84,1,0:36.0,M. Beasley makes 2-pt jump shot from 14 ft,,21,25
85,1,0:26.0,,D. Nwaba misses 3-pt jump shot from 23 ft,21,25
86,1,0:22.0,Defensive rebound by M. Beasley,,21,25
87,1,0:02.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,21,25
88,1,0:02.0,,Defensive rebound by T. Pinson,21,25
89,2,11:44.0,M. Morris misses 3-pt jump shot from 26 ft,,21,25
90,2,11:41.0,,Defensive rebound by D. Jordan,21,25
91,2,11:34.0,,I. Shumpert makes 2-pt jump shot from 11 ft (assist by D. Jordan),21,27
92,2,11:14.0,Personal foul by D. Nwaba (drawn by J. Grant),,21,27
93,2,11:06.0,Shooting foul by D. Jordan (drawn by J. Hernangómez),,21,27
94,2,11:06.0,J. Hernangómez makes free throw 1 of 2,,22,27
95,2,11:06.0,J. Hernangómez makes free throw 2 of 2,,23,27
96,2,10:49.0,,G. Temple misses 2-pt jump shot from 12 ft,23,27
97,2,10:46.0,Defensive rebound by M. Plumlee,,23,27
