,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
0,1,11:47.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,3,0
1,1,11:27.0,,Turnover by K. Love (lost ball; steal by R. Westbrook),3,0
2,1,11:23.0,J. Harden makes 3-pt jump shot from 30 ft (assist by R. Westbrook),,6,0
3,1,11:03.0,,K. Love makes 2-pt jump shot from 16 ft (assist by C. Osman),6,2
4,1,10:55.0,Offensive foul by P. Tucker (drawn by C. Sexton),,6,2
5,1,10:55.0,Turnover by P. Tucker (offensive foul),,6,2
6,1,10:40.0,,K. Love makes 2-pt jump shot from 21 ft,6,4
7,1,10:40.0,,Shooting foul by P. Tucker (drawn by K. Love),6,4
8,1,10:40.0,,K. Love misses free throw 1 of 1,6,4
9,1,10:37.0,Defensive rebound by C. Capela,,6,4
10,1,10:28.0,Turnover by J. Harden (step out of bounds),,6,4
11,1,10:20.0,,Personal foul by R. Westbrook (drawn by C. Sexton),6,4
12,1,10:11.0,,K. Love misses 2-pt jump shot from 18 ft,6,4
13,1,10:09.0,Defensive rebound by C. Capela,,6,4
14,1,10:03.0,J. Harden misses 2-pt layup from 5 ft (block by C. Osman),,6,4
15,1,10:00.0,,Defensive rebound by T. Thompson,6,4
16,1,9:58.0,,C. Sexton makes 2-pt layup from 1 ft,6,6
17,1,9:39.0,R. Westbrook misses 2-pt jump shot from 20 ft,,6,6
18,1,9:35.0,,Defensive rebound by C. Osman,6,6
19,1,9:31.0,,Turnover by C. Osman (bad pass),6,6
20,1,9:19.0,J. Harden makes 3-pt jump shot from 27 ft,,9,6
21,1,9:03.0,,C. Osman misses 3-pt jump shot from 25 ft,9,6
22,1,9:01.0,Defensive rebound by C. Capela,,9,6
23,1,8:59.0,D. House makes 2-pt dunk at rim (assist by J. Harden),,11,6
24,1,8:55.0,,Turnover by D. Garland (bad pass),11,6
25,1,8:42.0,P. Tucker misses 3-pt jump shot from 24 ft,,11,6
26,1,8:40.0,,Defensive rebound by T. Thompson,11,6
27,1,8:33.0,,D. Garland makes 2-pt layup from 1 ft,11,8
28,1,8:15.0,R. Westbrook misses 3-pt jump shot from 24 ft,,11,8
29,1,8:13.0,,Defensive rebound by D. Garland,11,8
30,1,8:09.0,,D. Garland misses 3-pt jump shot from 27 ft,11,8
31,1,8:05.0,Defensive rebound by C. Capela,,11,8
32,1,8:04.0,Shooting foul by K. Love (drawn by R. Westbrook),,11,8
33,1,8:04.0,R. Westbrook makes free throw 1 of 2,,12,8
34,1,8:04.0,R. Westbrook makes free throw 2 of 2,,13,8
35,1,7:50.0,,C. Sexton misses 2-pt layup from 1 ft (block by C. Capela),13,8
36,1,7:46.0,Defensive rebound by J. Harden,,13,8
37,1,7:43.0,J. Harden misses 3-pt jump shot from 25 ft,,13,8
38,1,7:34.0,Offensive rebound by C. Capela,,13,8
39,1,7:34.0,C. Capela makes 2-pt layup at rim,,15,8
40,1,7:23.0,,K. Love makes 2-pt jump shot from 14 ft (assist by C. Sexton),15,10
41,1,7:15.0,D. House misses 3-pt jump shot from 23 ft,,15,10
42,1,7:12.0,,Defensive rebound by C. Osman,15,10
43,1,7:06.0,,C. Sexton makes 2-pt jump shot from 6 ft (assist by C. Osman),15,12
44,1,6:44.0,Turnover by J. Harden (bad pass; steal by K. Love),,15,12
45,1,6:40.0,,K. Love makes 2-pt layup from 1 ft (assist by D. Garland),15,14
46,1,6:34.0,Turnover by J. Harden (bad pass; steal by C. Osman),,15,14
47,1,6:30.0,,D. Garland makes 3-pt jump shot from 25 ft (assist by C. Osman),15,17
48,1,6:12.0,J. Harden makes 2-pt layup from 2 ft (assist by P. Tucker),,17,17
49,1,5:59.0,,C. Sexton misses 2-pt jump shot from 14 ft,17,17
50,1,5:56.0,Defensive rebound by C. Capela,,17,17
51,1,5:51.0,Shooting foul by C. Osman (drawn by J. Harden),,17,17
52,1,5:51.0,,Cleveland full timeout,17,17
53,1,5:51.0,B. McLemore enters the game for P. Tucker,,17,17
54,1,5:51.0,T. Sefolosha enters the game for R. Westbrook,,17,17
55,1,5:51.0,J. Harden makes free throw 1 of 2,,18,17
56,1,5:51.0,J. Harden makes free throw 2 of 2,,19,17
57,1,5:31.0,,C. Osman misses 3-pt jump shot from 24 ft,19,17
58,1,5:29.0,Defensive rebound by B. McLemore,,19,17
59,1,5:23.0,J. Harden misses 3-pt jump shot from 25 ft,,19,17
60,1,5:18.0,,Defensive rebound by K. Love,19,17
61,1,5:09.0,,C. Sexton misses 2-pt jump shot from 4 ft,19,17
62,1,5:07.0,Defensive rebound by D. House,,19,17
63,1,5:04.0,Personal foul by C. Sexton (drawn by J. Harden),,19,17
64,1,4:52.0,J. Harden makes 2-pt jump shot at rim,,21,17
65,1,4:29.0,,T. Thompson makes 2-pt hook shot from 5 ft,21,19
66,1,4:23.0,D. House misses 3-pt jump shot from 25 ft,,21,19
67,1,4:20.0,,Defensive rebound by K. Love,21,19
