,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
0,1,11:49.0,,R. O'Neale misses 3-pt jump shot from 23 ft,0,0
1,1,11:46.0,Defensive rebound by J. Lamb,,0,0
2,1,11:28.0,J. Lamb misses 3-pt jump shot from 25 ft,,0,0
3,1,11:25.0,,Defensive rebound by R. O'Neale,0,0
4,1,11:20.0,,D. Mitchell makes 2-pt layup from 3 ft,0,2
5,1,11:04.0,M. Brogdon makes 2-pt layup from 4 ft (assist by D. Sabonis),,2,2
6,1,10:50.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by J. Ingles),2,4
7,1,10:31.0,D. Sabonis makes 2-pt hook shot from 2 ft,,4,4
8,1,10:18.0,,D. Mitchell misses 2-pt jump shot from 6 ft,4,4
9,1,10:15.0,,Offensive rebound by B. Bogdanović,4,4
10,1,10:02.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by R. O'Neale),4,6
11,1,9:47.0,Turnover by T. Warren (step out of bounds),,4,6
12,1,9:31.0,,Turnover by B. Bogdanović (lost ball; steal by M. Turner),4,6
13,1,9:24.0,Turnover by D. Sabonis (bad pass),,4,6
14,1,9:07.0,,D. Mitchell misses 2-pt jump shot from 17 ft,4,6
15,1,9:05.0,Defensive rebound by D. Sabonis,,4,6
16,1,8:58.0,T. Warren makes 2-pt jump shot from 16 ft,,6,6
17,1,8:38.0,,J. Ingles makes 3-pt jump shot from 25 ft,6,9
18,1,8:22.0,M. Brogdon misses 3-pt jump shot from 27 ft,,6,9
19,1,8:20.0,,Defensive rebound by Team,6,9
20,1,8:10.0,,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles),6,11
21,1,7:53.0,Turnover by M. Turner (3 sec),,6,11
22,1,7:42.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),6,13
23,1,7:28.0,T. Warren makes 2-pt jump shot from 16 ft (assist by M. Brogdon),,8,13
24,1,7:16.0,,Turnover by J. Ingles (bad pass; steal by T. Warren),8,13
25,1,7:13.0,Personal foul by R. O'Neale (drawn by T. Warren),,8,13
26,1,7:03.0,D. Sabonis makes 2-pt jump shot from 22 ft (assist by M. Brogdon),,10,13
27,1,6:43.0,,Turnover by B. Bogdanović (bad pass; steal by J. Lamb),10,13
28,1,6:38.0,Turnover by J. Lamb (bad pass; steal by D. Mitchell),,10,13
29,1,6:21.0,,R. O'Neale makes 3-pt jump shot from 24 ft (assist by D. Mitchell),10,16
30,1,6:05.0,Turnover by M. Brogdon (bad pass; steal by D. Mitchell),,10,16
31,1,6:01.0,,R. O'Neale makes 2-pt dunk from 3 ft (assist by D. Mitchell),10,18
32,1,5:53.0,Indiana full timeout,,10,18
33,1,5:53.0,,J. Clarkson enters the game for D. Mitchell,10,18
34,1,5:53.0,,G. Niang enters the game for R. O'Neale,10,18
35,1,5:38.0,M. Turner makes 2-pt jump shot from 8 ft (assist by M. Brogdon),,12,18
36,1,5:25.0,,Turnover by G. Niang (turnover),12,18
37,1,5:25.0,J. Holiday enters the game for D. Sabonis,,12,18
38,1,5:13.0,M. Turner misses 3-pt jump shot from 26 ft,,12,18
39,1,5:09.0,,Defensive rebound by J. Clarkson,12,18
40,1,5:01.0,,Turnover by J. Clarkson (bad pass; steal by J. Holiday),12,18
41,1,4:56.0,T. Warren misses 2-pt jump shot from 10 ft,,12,18
42,1,4:51.0,Offensive rebound by J. Lamb,,12,18
43,1,4:51.0,J. Lamb misses 2-pt layup from 2 ft,,12,18
44,1,4:50.0,Offensive rebound by J. Holiday,,12,18
45,1,4:50.0,J. Holiday misses 2-pt layup from 3 ft (block by G. Niang),,12,18
46,1,4:50.0,,Defensive rebound by J. Clarkson,12,18
47,1,4:47.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,12,18
48,1,4:44.0,Defensive rebound by M. Turner,,12,18
49,1,4:36.0,J. Lamb misses 2-pt jump shot from 15 ft,,12,18
50,1,4:31.0,Offensive rebound by Team,,12,18
51,1,4:24.0,M. Brogdon misses 2-pt jump shot from 17 ft,,12,18
52,1,4:22.0,,Defensive rebound by J. Ingles,12,18
53,1,4:14.0,,G. Niang misses 3-pt jump shot from 23 ft,12,18
54,1,4:10.0,Defensive rebound by M. Brogdon,,12,18
55,1,4:08.0,Turnover by M. Brogdon (bad pass),,12,18
56,1,4:08.0,A. Holiday enters the game for M. Brogdon,,12,18
57,1,4:08.0,T. McConnell enters the game for J. Lamb,,12,18
58,1,4:08.0,,M. Conley enters the game for J. Ingles,12,18
59,1,3:50.0,,J. Clarkson makes 3-pt jump shot from 28 ft (assist by M. Conley),12,21
60,1,3:29.0,A. Holiday makes 2-pt jump shot from 20 ft,,14,21
61,1,3:14.0,,B. Bogdanović makes 2-pt layup from 3 ft,14,23
62,1,2:55.0,T. Warren misses 2-pt layup from 4 ft,,14,23
63,1,2:53.0,,Defensive rebound by J. Clarkson,14,23
64,1,2:45.0,,Turnover by G. Niang (traveling),14,23
65,1,2:45.0,,Utah full timeout,14,23
66,1,2:45.0,G. Bitadze enters the game for M. Turner,,14,23
67,1,2:45.0,D. McDermott enters the game for T. Warren,,14,23
68,1,2:45.0,,T. Bradley enters the game for B. Bogdanović,14,23
69,1,2:45.0,,D. Mitchell enters the game for R. Gobert,14,23
70,1,2:45.0,,R. O'Neale enters the game for G. Niang,14,23
71,1,2:33.0,A. Holiday makes 2-pt jump shot from 12 ft,,16,23
72,1,2:17.0,,M. Conley makes 2-pt jump shot from 10 ft,16,25
73,1,2:06.0,G. Bitadze makes 2-pt jump shot from 17 ft (assist by D. McDermott),,18,25
74,1,1:54.0,,R. O'Neale misses 3-pt jump shot from 26 ft,18,25
75,1,1:51.0,Defensive rebound by G. Bitadze,,18,25
76,1,1:41.0,A. Holiday makes 2-pt jump shot from 11 ft (assist by T. McConnell),,20,25
77,1,1:24.0,,J. Clarkson makes 2-pt layup from 3 ft,20,27
78,1,1:13.0,G. Bitadze misses 2-pt jump shot from 13 ft,,20,27
79,1,1:09.0,,Defensive rebound by M. Conley,20,27
80,1,0:56.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. O'Neale),20,29
81,1,0:45.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by T. McConnell),,23,29
82,1,0:29.0,,M. Conley misses 3-pt jump shot from 25 ft,23,29
83,1,0:26.0,Defensive rebound by Team,,23,29
84,1,0:10.0,Personal foul by M. Conley (drawn by T. McConnell),,23,29
85,1,0:05.0,G. Bitadze misses 2-pt jump shot from 9 ft,,23,29
86,1,0:02.0,,Defensive rebound by R. O'Neale,23,29
87,1,0:00.0,,Turnover by R. O'Neale (lost ball; steal by T. McConnell),23,29
88,2,11:44.0,Turnover by D. Sabonis (bad pass; steal by J. Ingles),,23,29
89,2,11:40.0,,T. Bradley makes 2-pt layup from 2 ft (assist by J. Ingles),23,31
90,2,11:25.0,A. Holiday misses 3-pt jump shot from 25 ft,,23,31
91,2,11:22.0,,Defensive rebound by T. Bradley,23,31
92,2,11:14.0,,T. Bradley misses 2-pt layup from 2 ft,23,31
93,2,11:12.0,Defensive rebound by D. Sabonis,,23,31
94,2,10:59.0,T. McConnell misses 2-pt jump shot from 10 ft,,23,31
95,2,10:57.0,Offensive rebound by D. Sabonis,,23,31
96,2,10:56.0,D. Sabonis misses 2-pt layup from 2 ft,,23,31
97,2,10:53.0,Offensive rebound by D. Sabonis,,23,31
98,2,10:53.0,D. Sabonis makes 2-pt layup at rim,,25,31
99,2,10:27.0,,J. Clarkson misses 3-pt jump shot from 25 ft,25,31
100,2,10:24.0,Defensive rebound by J. Holiday,,25,31
101,2,10:05.0,D. Sabonis makes 2-pt hook shot from 3 ft,,27,31
102,2,9:59.0,,D. Mitchell misses 2-pt layup from 2 ft (block by J. Holiday),27,31
103,2,9:59.0,,Offensive rebound by Team,27,31
104,2,9:51.0,,J. Clarkson misses 3-pt jump shot from 25 ft,27,31
105,2,9:46.0,Defensive rebound by D. Sabonis,,27,31
106,2,9:43.0,D. McDermott misses 3-pt jump shot from 23 ft,,27,31
107,2,9:39.0,,Defensive rebound by G. Niang,27,31
108,2,9:32.0,,G. Niang makes 2-pt jump shot from 4 ft,27,33
109,2,9:19.0,D. McDermott misses 2-pt jump shot from 21 ft,,27,33
110,2,9:17.0,,Defensive rebound by J. Clarkson,27,33
111,2,9:08.0,,J. Clarkson misses 2-pt layup from 3 ft (block by J. Holiday),27,33
112,2,9:06.0,,Offensive rebound by J. Clarkson,27,33
